iter	MultiClass
0	2.930491358
1	2.873618406
2	2.820707172
3	2.77760009
4	2.736246574
5	2.698864565
6	2.656238924
7	2.622090521
8	2.593172327
9	2.569202329
10	2.530171136
11	2.501942685
12	2.476028218
13	2.455454551
14	2.434566335
15	2.406573123
16	2.388868803
17	2.366893503
18	2.347750237
19	2.326619599
20	2.308313597
21	2.291574188
22	2.272927009
23	2.251169904
24	2.227425935
25	2.210178891
26	2.190347013
27	2.168765264
28	2.15658732
29	2.143656192
30	2.131054122
31	2.115929208
32	2.10596565
33	2.087433427
34	2.074559842
35	2.062600023
36	2.047406571
37	2.035670513
38	2.022425437
39	2.006359268
40	1.994576732
41	1.9824682
42	1.969670327
43	1.957114927
44	1.947497368
45	1.936923019
46	1.923866578
47	1.91148017
48	1.90450691
49	1.895802676
50	1.885068739
51	1.874663145
52	1.865373878
53	1.853268333
54	1.843052378
55	1.834646081
56	1.827963038
57	1.821915411
58	1.814760537
59	1.808530532
60	1.800941774
61	1.792185942
62	1.786087656
63	1.774728045
64	1.767096768
65	1.760661422
66	1.751863328
67	1.744372067
68	1.734020986
69	1.724081783
70	1.716830628
71	1.709588672
72	1.703644489
73	1.69861222
74	1.692575813
75	1.684699553
76	1.677689202
77	1.670771956
78	1.663087769
79	1.659821173
80	1.649912811
81	1.646548147
82	1.63640168
83	1.630236389
84	1.622557594
85	1.61594993
86	1.607780897
87	1.600316988
88	1.597337273
89	1.590594189
90	1.585568614
91	1.576873216
92	1.573830083
93	1.566568244
94	1.559932097
95	1.555594609
96	1.548908628
97	1.54366861
98	1.536085571
99	1.53180623
100	1.525334349
101	1.521011392
102	1.516478309
103	1.512187419
104	1.50535668
105	1.501117699
106	1.494565445
107	1.488940355
108	1.485255138
109	1.47879098
110	1.474838175
111	1.469833122
112	1.466392418
113	1.460903887
114	1.45448639
115	1.45043
116	1.446679155
117	1.444165906
118	1.441119358
119	1.436445845
120	1.431483052
121	1.428268899
122	1.422967789
123	1.418781468
124	1.414534258
125	1.408262745
126	1.404012973
127	1.401359095
128	1.397756823
129	1.392253425
130	1.389389133
131	1.382451395
132	1.378504558
133	1.374730338
134	1.371769616
135	1.368607235
136	1.365554471
137	1.363558771
138	1.359375982
139	1.354873476
140	1.349975142
141	1.345776743
142	1.342403382
143	1.339791827
144	1.335031781
145	1.331626811
146	1.3291364
147	1.326264117
148	1.322811642
149	1.320887272
150	1.318351917
151	1.316138261
152	1.312315394
153	1.308827393
154	1.305011111
155	1.301327978
156	1.296373312
157	1.293588404
158	1.290238051
159	1.286398373
160	1.284089287
161	1.282349618
162	1.279897974
163	1.278019557
164	1.275671777
165	1.272760555
166	1.271413725
167	1.267365757
168	1.265161974
169	1.26253378
170	1.260785713
