iter	Passed	Remaining
0	522	522078
1	993	495737
2	1429	474973
3	1862	463850
4	2336	464903
5	2861	474062
6	3373	478619
7	3870	479954
8	4377	482060
9	4897	484876
10	5441	489277
11	5911	486740
12	6373	483858
13	6842	481927
14	7321	480746
15	7806	480128
16	8252	477198
17	8717	475563
18	9147	472322
19	9593	470092
20	10024	467338
21	10455	464783
22	10885	462393
23	11333	460891
24	11831	461436
25	12296	460644
26	12801	461341
27	13280	461029
28	13769	461049
29	14281	461779
30	14749	461048
31	15416	466337
32	16128	472611
33	16824	478003
34	17624	485941
35	18258	488930
36	18878	491364
37	19567	495362
38	20111	495571
39	20661	495879
40	21221	496381
41	21801	497279
42	22372	497920
43	22932	498258
44	23479	498287
45	24019	498143
46	24503	496838
47	24982	495493
48	25551	495905
49	26115	496190
50	26592	494836
51	27046	493082
52	27511	491574
53	27986	490289
54	28435	488565
55	28871	486685
56	29315	484993
57	29755	483266
58	30209	481813
59	30700	480967
60	31143	479402
61	31584	477842
62	32029	476369
63	32466	474822
64	32903	473308
65	33337	471777
66	33774	470322
67	34214	468939
68	34647	467495
69	35079	466057
70	35515	464704
71	35951	463368
72	36388	462082
73	36824	460803
74	37255	459489
75	37690	458241
76	38121	456959
77	38555	455750
78	38994	454604
79	39429	453438
80	39874	452405
81	40303	451203
82	40744	450153
83	41178	449038
84	41616	447990
85	42056	446969
86	42490	445910
87	42930	444911
88	43362	443860
89	43818	443051
90	44257	442088
91	44694	441117
92	45130	440140
93	45565	439169
94	45998	438199
95	46430	437215
96	46871	436341
97	47303	435384
98	47738	434468
99	48177	433601
100	48606	432647
101	49070	432013
102	49548	431507
103	49996	430738
104	50429	429847
105	50865	428994
106	51391	428901
107	51900	428657
108	52335	427805
109	52776	427009
110	53214	426194
111	53654	425405
112	54094	424615
113	54530	423806
114	54966	423002
115	55400	422188
116	55838	421412
117	56279	420663
118	56717	419903
119	57151	419112
120	57584	418321
121	58020	417557
122	58458	416813
123	58895	416069
124	59346	415423
125	59787	414713
126	60223	413978
127	60658	413238
128	61089	412471
129	61548	411900
130	62037	411528
131	62480	410854
132	62919	410158
133	63355	409445
134	63796	408771
135	64252	408189
136	64720	407693
137	65175	407109
138	65642	406605
139	66093	406000
140	66528	405305
141	67087	405359
142	67756	406065
143	68443	406856
144	69095	407424
145	69735	407906
146	70446	408778
147	71021	408855
148	71469	408193
149	71912	407506
150	72352	406805
151	72786	406071
152	73258	405552
153	73716	404960
154	74155	404265
155	74591	403558
156	75031	402874
157	75475	402217
158	75914	401536
159	76354	400861
160	76790	400168
161	77240	399553
162	77686	398919
163	78154	398396
164	78622	397879
165	79064	397225
166	79499	396546
167	79945	395919
168	80381	395248
169	80824	394613
170	81290	394091
