name,elevation
Adelaide Street Circuit,51.0
Ain-Diab Circuit,26.0
Aintree Motor Racing Circuit,19.0
Albert Park Circuit,8.0
Algarve International Circuit,102.0
Autódromo do Estoril,134.0
Autódromo Hermanos Rodríguez,2239.0
Autódromo Internacional do Rio de Janeiro,9.0
Autodromo Internazionale del Mugello,262.0
Autodromo Internazionale Enzo e Dino Ferrari,53.0
Autodromo José Carlos Pace,754.0
Autodromo Nazionale di Monza,183.0
Autódromo Oscar y Juan Gálvez,1.0
AVUS,48.0
Bahrain International Circuit,9.0
Baku City Circuit,-15.0
Brands Hatch Circuit,144.0
Buddh International Circuit,195.0
Bugatti Au Mans,82.0
Charade Circuit,809.0
Circuit Bremgarten,525.0
Circuit de Barcelona-Catalunya,85.0
Circuit de Monaco,70.0
Circuit de Nevers Magny-Cours,220.0
Circuit de Pedralbes,86.0
Circuit de Reims-Gueux,90.0
Circuit de Spa-Francorchamps,373.0
Circuit Dijon-Prenois,481.0
Circuit Gilles-Villeneuve,13.0
Circuit Mont-Tremblant,210.0
Circuit of the Americas,161.0
Circuit Paul Ricard,435.0
Circuit Zandvoort,6.0
Circuit Zolder,39.0
Circuito da Boavista,83.0
Circuito de Monsanto,88.0
Circuito Permanente de Jerez,37.0
Circuito Permanente del Jarama,609.0
Dallas Fair Park,149.0
Detroit Street Circuit,186.0
Donington Park,63.0
Fuji Speedway,554.0
Hockenheimring,116.0
Hungaroring,232.0
Indianapolis Motor Speedway,224.0
Intercity Istanbul Park,138.0
Jeddah Corniche Circuit,6.0
Korea International Circuit,0.0
Kyalami Grand Prix Circuit,1469.0
Las Vegas Strip Circuit,637.0
Long Beach Street Circuit,13.0
Lusail International Circuit,16.0
Madring †,676.0
Marina Bay Street Circuit,18.0
Miami International Autodrome,13.0
Montjuïc circuit,102.0
Nivelles-Baulers,112.0
Nürburgring,606.0
Pescara Circuit,6.0
Phoenix Street Circuit,351.0
Prince George Circuit,15.0
Red Bull Ring,683.0
Riverside International Raceway,502.0
Rouen-Les-Essarts,131.0
Scandinavian Raceway,154.0
Sebring Raceway,20.0
Sepang International Circuit,45.0
Shanghai International Circuit,7.0
Silverstone Circuit,156.0
Sochi Autodrom,-3.0
Suzuka International Racing Course,200.0
Valencia Street Circuit,147.0
Watkins Glen International,491.0
Yas Marina Circuit,3.0
Zeltweg Airfield,674.0
