race_id,driver_id,avg_pit_time_last_5,avg_pit_time_last_10
1,6,0 days 00:00:24.837633371,0 days 00:00:24.837633371
1,12,0 days 00:00:24.837633371,0 days 00:00:24.837633371
1,57,0 days 00:00:24.837633371,0 days 00:00:24.837633371
1,60,0 days 00:00:21.421000,0 days 00:00:21.421000
1,67,0 days 00:00:24.837633371,0 days 00:00:24.837633371
1,70,0 days 00:00:24.837633371,0 days 00:00:24.837633371
1,75,0 days 00:00:24.837633371,0 days 00:00:24.837633371
1,79,0 days 00:00:24.837633371,0 days 00:00:24.837633371
1,83,0 days 00:00:21.821000,0 days 00:00:21.821000
1,87,0 days 00:00:23.054000,0 days 00:00:23.054000
1,93,0 days 00:00:22.628000,0 days 00:00:22.628000
1,94,0 days 00:00:21.440000,0 days 00:00:21.440000
1,100,0 days 00:00:22.573000,0 days 00:00:22.573000
1,101,0 days 00:00:22.327000,0 days 00:00:22.327000
1,103,0 days 00:00:25.504000,0 days 00:00:25.504000
1,105,0 days 00:00:22.213000,0 days 00:00:22.213000
1,106,0 days 00:00:22.242000,0 days 00:00:22.242000
2,6,0 days 00:00:21.421000,0 days 00:00:21.421000
2,12,0 days 00:00:23.783000,0 days 00:00:23.783000
2,57,0 days 00:00:21.821000,0 days 00:00:21.821000
2,60,0 days 00:00:21.787000,0 days 00:00:21.787000
2,67,0 days 00:00:24.530666667,0 days 00:00:24.530666667
2,70,0 days 00:00:23.541000,0 days 00:00:23.541000
2,75,0 days 00:00:23.659500,0 days 00:00:23.659500
2,83,0 days 00:00:21.664000,0 days 00:00:21.664000
2,87,0 days 00:00:23.544500,0 days 00:00:23.544500
2,89,0 days 00:00:24.837633371,0 days 00:00:24.837633371
2,93,0 days 00:00:24.818000,0 days 00:00:24.818000
2,94,0 days 00:00:20.953000,0 days 00:00:20.953000
2,100,0 days 00:00:23.777500,0 days 00:00:23.777500
2,101,0 days 00:00:23.286500,0 days 00:00:23.286500
2,103,0 days 00:00:26.837666667,0 days 00:00:26.837666667
2,104,0 days 00:00:24.835000,0 days 00:00:24.835000
2,105,0 days 00:00:27.051666667,0 days 00:00:27.051666667
2,106,0 days 00:00:23.547000,0 days 00:00:23.547000
2,107,0 days 00:00:24.672000,0 days 00:00:24.672000
3,6,0 days 00:00:23.219500,0 days 00:00:23.219500
3,12,0 days 00:00:24.049000,0 days 00:00:24.049000
3,57,0 days 00:00:23.061500,0 days 00:00:23.061500
3,60,0 days 00:00:23.155500,0 days 00:00:23.155500
3,67,0 days 00:00:24.567200,0 days 00:00:24.567200
3,70,0 days 00:00:23.779500,0 days 00:00:23.779500
3,75,0 days 00:00:23.713000,0 days 00:00:23.713000
3,79,0 days 00:00:22.241000,0 days 00:00:22.241000
3,83,0 days 00:00:23.884500,0 days 00:00:23.884500
3,87,0 days 00:00:23.906000,0 days 00:00:23.906000
3,89,0 days 00:00:25.194000,0 days 00:00:25.194000
3,93,0 days 00:00:24.719500,0 days 00:00:24.719500
3,94,0 days 00:00:24.683000,0 days 00:00:24.683000
3,100,0 days 00:00:24.228666667,0 days 00:00:24.228666667
3,101,0 days 00:00:23.612500,0 days 00:00:23.612500
3,103,0 days 00:00:26.287750,0 days 00:00:26.287750
3,104,0 days 00:00:24.580666667,0 days 00:00:24.580666667
3,105,0 days 00:00:25.856000,0 days 00:00:25.856000
3,106,0 days 00:00:23.945000,0 days 00:00:23.945000
3,107,0 days 00:00:24.693666667,0 days 00:00:24.693666667
4,6,0 days 00:00:24.841000,0 days 00:00:24.841000
4,12,0 days 00:00:30.593400,0 days 00:00:30.593400
4,57,0 days 00:00:22.241000,0 days 00:00:22.241000
4,60,0 days 00:00:22.339250,0 days 00:00:22.339250
4,67,0 days 00:00:24.046200,0 days 00:00:24.042285714
4,75,0 days 00:00:24.593600,0 days 00:00:24.215833333
4,79,0 days 00:00:22.391000,0 days 00:00:22.391000
4,83,0 days 00:00:23.288666667,0 days 00:00:23.288666667
4,87,0 days 00:00:26.059800,0 days 00:00:26.059800
4,89,0 days 00:00:30.018600,0 days 00:00:30.018600
4,93,0 days 00:00:23.928600,0 days 00:00:23.918500
4,94,0 days 00:00:24.161250,0 days 00:00:24.161250
4,100,0 days 00:00:22.322200,0 days 00:00:22.738000
4,103,0 days 00:00:24.409000,0 days 00:00:24.591500
4,104,0 days 00:00:25.834800,0 days 00:00:25.834800
4,105,0 days 00:00:22.876000,0 days 00:00:24.441875
4,106,0 days 00:00:23.597600,0 days 00:00:23.371666667
5,12,0 days 00:00:30.353000,0 days 00:00:29.056333333
5,57,0 days 00:00:22.058600,0 days 00:00:22.058600
5,60,0 days 00:00:22.089400,0 days 00:00:22.039000
5,75,0 days 00:00:24.382200,0 days 00:00:24.238375
5,79,0 days 00:00:21.774500,0 days 00:00:21.774500
5,83,0 days 00:00:22.514499999,0 days 00:00:22.514499999
5,87,0 days 00:00:26.018800,0 days 00:00:25.346166667
5,89,0 days 00:00:27.979400,0 days 00:00:27.515166667
5,93,0 days 00:00:22.968400,0 days 00:00:23.496857143
5,94,0 days 00:00:23.282000,0 days 00:00:23.282000
5,100,0 days 00:00:21.491600,0 days 00:00:22.518000
5,101,0 days 00:00:23.417400,0 days 00:00:23.417400
5,103,0 days 00:00:24.376800,0 days 00:00:24.112142857
5,105,0 days 00:00:21.991600,0 days 00:00:23.923800
5,106,0 days 00:00:23.436400,0 days 00:00:23.180000
5,107,0 days 00:00:23.243000,0 days 00:00:23.481166667
6,6,0 days 00:00:24.102600,0 days 00:00:24.102600
6,12,0 days 00:00:29.698600,0 days 00:00:28.008428571
6,57,0 days 00:00:22.111400,0 days 00:00:22.063000
6,60,0 days 00:00:22.039200,0 days 00:00:22.358142857
6,67,0 days 00:00:23.187800,0 days 00:00:23.977111111
6,70,0 days 00:00:23.683000,0 days 00:00:23.683000
6,75,0 days 00:00:24.259400,0 days 00:00:24.016555555
6,79,0 days 00:00:21.743200,0 days 00:00:21.743200
6,83,0 days 00:00:22.654200,0 days 00:00:22.654200
6,87,0 days 00:00:25.581000,0 days 00:00:24.999142857
6,89,0 days 00:00:27.842400,0 days 00:00:26.741571429
6,93,0 days 00:00:22.388800,0 days 00:00:23.360875
6,94,0 days 00:00:23.439400,0 days 00:00:23.025000
6,100,0 days 00:00:23.371600,0 days 00:00:23.437700
6,101,0 days 00:00:28.628600,0 days 00:00:27.499500
6,103,0 days 00:00:25.463000,0 days 00:00:25.512700
6,104,0 days 00:00:25.125200,0 days 00:00:25.076833333
6,105,0 days 00:00:21.672000,0 days 00:00:23.949700
6,106,0 days 00:00:22.722800,0 days 00:00:23.031875
6,107,0 days 00:00:24.985600,0 days 00:00:24.636888889
7,6,0 days 00:00:24.671000,0 days 00:00:24.129333333
7,12,0 days 00:00:29.630600,0 days 00:00:27.537500
7,57,0 days 00:00:21.998800,0 days 00:00:22.302428571
7,60,0 days 00:00:22.230200,0 days 00:00:22.558875
7,67,0 days 00:00:23.505200,0 days 00:00:24.036200
7,70,0 days 00:00:24.200000,0 days 00:00:23.938000
7,75,0 days 00:00:24.863800,0 days 00:00:24.728700
7,79,0 days 00:00:22.363600,0 days 00:00:22.209666667
7,83,0 days 00:00:23.125400,0 days 00:00:22.881833333
7,87,0 days 00:00:25.502600,0 days 00:00:24.903875
7,89,0 days 00:00:23.879200,0 days 00:00:26.435250
7,93,0 days 00:00:22.576600,0 days 00:00:23.529000
7,94,0 days 00:00:22.185400,0 days 00:00:23.180142857
7,100,0 days 00:00:28.331400,0 days 00:00:25.326800
7,101,0 days 00:00:28.617400,0 days 00:00:27.094285714
7,104,0 days 00:00:24.993000,0 days 00:00:24.965285714
7,106,0 days 00:00:22.469000,0 days 00:00:23.125000
7,107,0 days 00:00:25.688400,0 days 00:00:24.729500
8,6,0 days 00:00:24.396400,0 days 00:00:24.060142857
8,12,0 days 00:00:23.244200,0 days 00:00:26.918800
8,57,0 days 00:00:22.173000,0 days 00:00:22.431500
8,60,0 days 00:00:25.286400,0 days 00:00:23.661200
8,67,0 days 00:00:23.638200,0 days 00:00:24.170800
8,70,0 days 00:00:24.213400,0 days 00:00:24.021285714
8,79,0 days 00:00:22.411000,0 days 00:00:22.362428571
8,83,0 days 00:00:23.831000,0 days 00:00:23.627625
8,87,0 days 00:00:25.709600,0 days 00:00:24.804333333
8,89,0 days 00:00:23.509399999,0 days 00:00:26.112333333
8,93,0 days 00:00:22.836400,0 days 00:00:23.617700
8,94,0 days 00:00:22.269800,0 days 00:00:23.174750
8,100,0 days 00:00:28.843200,0 days 00:00:25.167400
8,103,0 days 00:00:26.486000,0 days 00:00:25.447500
8,105,0 days 00:00:22.262000,0 days 00:00:24.152700
8,106,0 days 00:00:22.523800,0 days 00:00:23.179100
8,107,0 days 00:00:25.987800,0 days 00:00:24.615400
9,6,0 days 00:00:24.671600,0 days 00:00:24.088750
9,12,0 days 00:00:23.927600,0 days 00:00:27.140300
9,57,0 days 00:00:22.942800,0 days 00:00:22.500700
9,60,0 days 00:00:27.081400,0 days 00:00:24.585400
9,67,0 days 00:00:25.292400,0 days 00:00:24.669300
9,75,0 days 00:00:24.372600,0 days 00:00:24.601300
9,79,0 days 00:00:23.139600,0 days 00:00:22.532888889
9,87,0 days 00:00:23.671800,0 days 00:00:24.865800
9,89,0 days 00:00:21.842600,0 days 00:00:25.930600
9,93,0 days 00:00:24.075800,0 days 00:00:23.522100
9,94,0 days 00:00:22.629600,0 days 00:00:23.310333333
9,100,0 days 00:00:32.187800,0 days 00:00:27.779700
9,101,0 days 00:00:28.768800,0 days 00:00:26.876625
9,103,0 days 00:00:27.720000,0 days 00:00:24.822300
9,104,0 days 00:00:25.024400,0 days 00:00:24.858000
9,106,0 days 00:00:23.317400,0 days 00:00:23.457500
9,107,0 days 00:00:24.717000,0 days 00:00:24.606600
10,6,0 days 00:00:26.464400,0 days 00:00:25.283500
10,12,0 days 00:00:24.786600,0 days 00:00:27.208600
10,57,0 days 00:00:22.721800,0 days 00:00:22.416600
10,60,0 days 00:00:27.951800,0 days 00:00:25.091000
10,67,0 days 00:00:25.165200,0 days 00:00:24.328700
10,70,0 days 00:00:24.340200,0 days 00:00:24.145625
10,75,0 days 00:00:25.739400,0 days 00:00:24.999400
10,79,0 days 00:00:23.798200,0 days 00:00:23.080900
10,83,0 days 00:00:25.925800,0 days 00:00:24.409666667
10,87,0 days 00:00:23.743800,0 days 00:00:24.881300
10,89,0 days 00:00:23.146800,0 days 00:00:25.563100
10,93,0 days 00:00:25.701000,0 days 00:00:24.138800
10,94,0 days 00:00:24.263000,0 days 00:00:23.851200
10,100,0 days 00:00:29.060600,0 days 00:00:28.696000
10,101,0 days 00:00:28.618000,0 days 00:00:26.393333333
10,103,0 days 00:00:25.402400,0 days 00:00:24.588400
10,104,0 days 00:00:24.075400,0 days 00:00:24.955100
10,106,0 days 00:00:23.184200,0 days 00:00:23.310300
10,107,0 days 00:00:24.659800,0 days 00:00:24.822700
11,6,0 days 00:00:26.609200,0 days 00:00:25.502800
11,12,0 days 00:00:23.683400,0 days 00:00:23.805500
11,57,0 days 00:00:23.770400,0 days 00:00:22.884600
11,60,0 days 00:00:28.880800,0 days 00:00:25.904700
11,67,0 days 00:00:24.861400,0 days 00:00:24.249800
11,70,0 days 00:00:23.718400,0 days 00:00:23.959200
11,75,0 days 00:00:25.630800,0 days 00:00:25.649600
11,83,0 days 00:00:25.895600,0 days 00:00:24.510499999
11,87,0 days 00:00:26.113400,0 days 00:00:25.911500
11,89,0 days 00:00:24.368200,0 days 00:00:26.105300
11,93,0 days 00:00:24.656800,0 days 00:00:24.366300
11,94,0 days 00:00:23.342200,0 days 00:00:22.985900
11,100,0 days 00:00:29.160600,0 days 00:00:28.700200
11,101,0 days 00:00:29.972600,0 days 00:00:26.695000
11,103,0 days 00:00:23.661200,0 days 00:00:25.073600
11,104,0 days 00:00:24.873200,0 days 00:00:24.933100
11,105,0 days 00:00:22.607000,0 days 00:00:22.353400
11,106,0 days 00:00:22.944400,0 days 00:00:22.734100
11,107,0 days 00:00:25.320400,0 days 00:00:25.654100
12,6,0 days 00:00:26.332800,0 days 00:00:24.656200
12,12,0 days 00:00:23.551200,0 days 00:00:23.726100
12,57,0 days 00:00:22.899000,0 days 00:00:22.536000
12,60,0 days 00:00:26.089800,0 days 00:00:25.688100
12,67,0 days 00:00:22.812600,0 days 00:00:24.052500
12,70,0 days 00:00:22.366600,0 days 00:00:23.353400
12,75,0 days 00:00:25.839600,0 days 00:00:25.351700
12,79,0 days 00:00:24.742600,0 days 00:00:23.576800
12,83,0 days 00:00:27.796400,0 days 00:00:25.227900
12,87,0 days 00:00:26.576800,0 days 00:00:25.124300
12,89,0 days 00:00:23.278000,0 days 00:00:23.578600
12,93,0 days 00:00:23.495800,0 days 00:00:24.178400
12,100,0 days 00:00:23.773400,0 days 00:00:27.980600
12,101,0 days 00:00:24.304600,0 days 00:00:26.466600
12,103,0 days 00:00:22.251199999,0 days 00:00:24.902600
12,104,0 days 00:00:23.954200,0 days 00:00:24.489300
12,105,0 days 00:00:22.077800,0 days 00:00:22.034700
12,107,0 days 00:00:24.408000,0 days 00:00:25.438700
13,6,0 days 00:00:22.460400,0 days 00:00:24.934600
13,57,0 days 00:00:21.958400,0 days 00:00:22.450600
13,60,0 days 00:00:23.640200,0 days 00:00:25.324700
13,67,0 days 00:00:20.940200,0 days 00:00:23.504000
13,75,0 days 00:00:24.969000,0 days 00:00:24.713300
13,83,0 days 00:00:24.934400,0 days 00:00:25.898200
13,87,0 days 00:00:25.488600,0 days 00:00:25.169500
13,89,0 days 00:00:22.183400,0 days 00:00:22.013000
13,93,0 days 00:00:20.150000,0 days 00:00:23.291700
13,94,0 days 00:00:21.213600,0 days 00:00:22.738300
13,100,0 days 00:00:20.736800,0 days 00:00:25.410800
13,101,0 days 00:00:22.669400,0 days 00:00:25.719100
13,103,0 days 00:00:21.559800,0 days 00:00:23.481100
13,104,0 days 00:00:22.180800,0 days 00:00:23.128099999
13,105,0 days 00:00:20.701200,0 days 00:00:21.481600
13,107,0 days 00:00:23.081600,0 days 00:00:23.870700
14,6,0 days 00:00:25.621200,0 days 00:00:26.115200
14,57,0 days 00:00:22.237400,0 days 00:00:22.479600
14,60,0 days 00:00:23.164400,0 days 00:00:26.022600
14,67,0 days 00:00:21.550200,0 days 00:00:23.372000
14,70,0 days 00:00:22.282800,0 days 00:00:23.446700
14,75,0 days 00:00:23.870200,0 days 00:00:24.804800
14,79,0 days 00:00:24.153600,0 days 00:00:23.444100
14,83,0 days 00:00:25.576600,0 days 00:00:25.736100
14,87,0 days 00:00:26.385800,0 days 00:00:25.176200
14,89,0 days 00:00:22.748200,0 days 00:00:23.558200
14,93,0 days 00:00:20.889400,0 days 00:00:23.135100
14,94,0 days 00:00:20.081800,0 days 00:00:22.561300
14,100,0 days 00:00:21.459000,0 days 00:00:25.309800
14,101,0 days 00:00:22.809000,0 days 00:00:25.713500
14,103,0 days 00:00:20.585200,0 days 00:00:22.660800
14,104,0 days 00:00:20.818200,0 days 00:00:23.294700
14,106,0 days 00:00:22.069800,0 days 00:00:22.693600
14,107,0 days 00:00:21.904600,0 days 00:00:23.548300
15,6,0 days 00:00:26.396000,0 days 00:00:26.072500
15,12,0 days 00:00:22.176400,0 days 00:00:23.481500
15,57,0 days 00:00:21.186600,0 days 00:00:22.478500
15,60,0 days 00:00:24.293200,0 days 00:00:25.191500
15,67,0 days 00:00:21.958400,0 days 00:00:23.409900
15,70,0 days 00:00:23.023600,0 days 00:00:23.371000
15,75,0 days 00:00:25.803600,0 days 00:00:25.705900
15,79,0 days 00:00:24.724600,0 days 00:00:23.932100
15,83,0 days 00:00:23.673400,0 days 00:00:25.734900
15,87,0 days 00:00:28.601400,0 days 00:00:27.887900
15,89,0 days 00:00:24.095200,0 days 00:00:23.686600
15,93,0 days 00:00:22.116800,0 days 00:00:23.386800
