race_id,driver_id,best_time_FP1,best_time_FP2,best_time_FP3,lap_count_FP1,lap_count_FP2,lap_count_FP3,position_FP1,position_FP2,position_FP3,recorded_lap_time_FP1,recorded_lap_time_FP2,recorded_lap_time_FP3,participated_FP1,participated_FP2,participated_FP3
1,6,84.875,84.214,88.499,23,39,13,4,4,2,True,True,True,True,True,True
1,12,85.896,85.2,94.298,16,28,13,8,8,10,True,True,True,True,True,True
1,57,84.026,83.931,94.225,27,35,7,1,1,8,True,True,True,True,True,True
1,60,84.995,84.451,86.067,22,38,15,5,5,1,True,True,True,True,True,True
1,67,85.73,84.648,96.171,24,34,6,7,6,15,True,True,True,True,True,True
1,70,86.583,85.463,98.482,25,35,8,13,13,18,True,True,True,True,True,True
1,75,86.767,85.413,103.4061,26,30,1,16,12,20,True,True,False,True,True,True
1,79,85.063,84.721,94.043,25,28,14,6,7,6,True,True,True,True,True,True
1,83,84.577,84.159,94.174,29,34,14,2,3,7,True,True,True,True,True,True
1,87,87.035,85.246,96.807,13,30,7,17,9,17,True,True,True,True,True,True
1,89,87.964,86.814,88.89,28,31,14,19,19,3,True,True,True,True,True,True
1,93,85.922,85.39,93.172,23,35,11,9,11,5,True,True,True,True,True,True
1,94,84.771,84.058,91.68,26,34,8,3,2,4,True,True,True,True,True,True
1,100,86.482,85.285,94.233,15,34,15,10,10,9,True,True,True,True,True,True
1,101,86.605,85.888,103.4061,30,33,1,14,15,19,True,True,False,True,True,True
1,103,86.636,85.543,95.828,30,32,8,15,14,14,True,True,True,True,True,True
1,104,86.494,85.945,94.99,25,39,16,11,17,11,True,True,True,True,True,True
1,105,87.745,85.925,95.438,16,41,16,18,16,12,True,True,True,True,True,True
1,106,88.853,86.815,96.448,28,35,12,20,20,16,True,True,True,True,True,True
1,107,86.536,85.974,95.589,25,37,16,12,18,13,True,True,True,True,True,True
2,6,91.458,89.817,89.868,18,32,15,3,1,1,True,True,True,True,True,True
2,12,93.223,91.282,91.445,24,29,13,11,9,10,True,True,True,True,True,True
2,57,92.272,90.472,90.691,21,32,14,5,4,4,True,True,True,True,True,True
2,60,91.47,89.828,90.719,17,37,8,4,2,5,True,True,True,True,True,True
2,67,92.516,91.591,91.513,23,33,14,6,11,12,True,True,True,True,True,True
2,70,93.104,91.22,91.144,18,34,11,10,7,7,True,True,True,True,True,True
2,75,93.662,91.868,91.564,26,34,14,18,14,14,True,True,True,True,True,True
2,79,91.06,90.751,90.452,14,31,8,1,6,3,True,True,True,True,True,True
2,83,91.364,90.38,90.781,24,31,16,2,3,6,True,True,True,True,True,True
2,87,92.971,91.969,91.737,19,35,14,9,15,15,True,True,True,True,True,True
2,89,93.508,92.733,91.859,22,32,17,17,19,16,True,True,True,True,True,True
2,93,92.885,91.601,91.2,21,34,12,8,12,8,True,True,True,True,True,True
2,94,98.4837,90.745,90.393,2,32,8,20,5,2,False,True,True,True,True,True
2,100,93.364,91.422,91.86,25,35,14,13,10,17,True,True,True,True,True,True
2,101,93.794,91.809,91.554,23,31,17,19,13,13,True,True,True,True,True,True
2,103,93.379,92.382,92.865,22,30,12,14,17,20,True,True,True,True,True,True
2,104,92.779,91.232,91.438,26,38,18,7,8,9,True,True,True,True,True,True
2,105,93.497,92.908,91.46,27,38,18,16,20,11,True,True,True,True,True,True
2,106,93.278,92.372,92.047,20,37,19,12,16,18,True,True,True,True,True,True
2,107,93.467,92.474,92.463,29,37,11,15,18,19,True,True,True,True,True,True
3,6,94.358,93.489,93.469,14,26,21,2,2,2,True,True,True,True,True,True
3,12,96.044,94.632,94.851,29,23,13,12,10,12,True,True,True,True,True,True
3,57,93.999,93.482,94.057,22,26,14,1,1,5,True,True,True,True,True,True
3,60,94.861,93.59,93.018,18,27,14,6,4,1,True,True,True,True,True,True
3,67,95.718,96.471,95.756,21,26,6,9,19,20,True,True,True,True,True,True
3,70,95.8,94.313,94.841,18,30,16,10,6,11,True,True,True,True,True,True
3,75,96.051,94.792,94.445,28,30,14,13,11,7,True,True,True,True,True,True
3,79,94.537,94.557,95.061,22,26,4,4,9,15,True,True,True,True,True,True
3,83,94.457,93.515,93.761,28,27,16,3,3,3,True,True,True,True,True,True
3,87,95.178,94.458,94.329,21,26,25,7,7,6,True,True,True,True,True,True
3,89,96.909,95.624,95.679,21,29,13,19,17,19,True,True,True,True,True,True
3,93,95.616,94.473,94.582,23,28,20,8,8,9,True,True,True,True,True,True
3,94,94.668,93.823,93.969,22,26,14,5,5,4,True,True,True,True,True,True
3,100,96.756,95.163,94.977,25,22,16,18,14,13,True,True,True,True,True,True
3,101,96.351,94.874,94.456,32,30,16,14,13,8,True,True,True,True,True,True
3,103,97.277,97.147,95.375,28,19,16,20,20,17,True,True,True,True,True,True
3,104,96.037,94.849,95.079,21,33,16,11,12,16,True,True,True,True,True,True
3,105,96.715,95.333,94.991,23,37,20,16,15,14,True,True,True,True,True,True
3,106,96.723,95.916,95.497,23,26,14,17,18,18,True,True,True,True,True,True
3,107,96.691,95.34,94.741,31,31,13,15,16,10,True,True,True,True,True,True
4,6,106.861,102.864,103.493,10,33,17,15,2,3,True,True,True,True,True,True
4,12,106.465,103.7,104.763,25,34,12,7,6,11,True,True,True,True,True,True
4,57,105.2,103.603,103.452,24,31,16,4,5,2,True,True,True,True,True,True
4,60,106.513,104.127,103.091,18,38,17,10,11,1,True,True,True,True,True,True
4,67,106.856,104.425,105.261,23,27,12,14,13,15,True,True,True,True,True,True
4,70,106.749,104.091,105.456,11,33,11,13,10,17,True,True,True,True,True,True
4,75,105.075,104.142,103.936,26,31,9,3,12,6,True,True,True,True,True,True
4,79,104.277,102.795,104.861,24,35,17,2,1,12,True,True,True,True,True,True
4,83,104.242,103.57,103.569,26,25,20,1,4,5,True,True,True,True,True,True
4,87,107.434,103.977,103.958,18,29,11,18,9,7,True,True,True,True,True,True
4,89,107.073,106.042,105.91,21,9,17,17,20,19,True,True,True,True,True,True
4,93,108.741,103.834,105.432,11,36,15,20,8,16,True,True,True,True,True,True
4,94,105.559,102.911,103.519,11,27,17,6,3,4,True,True,True,True,True,True
4,100,107.967,105.288,105.505,21,29,13,19,19,18,True,True,True,True,True,True
4,101,105.237,103.814,104.22,29,30,11,5,7,9,True,True,True,True,True,True
4,103,106.59,104.459,104.123,26,31,8,11,14,8,True,True,True,True,True,True
4,104,106.492,104.712,104.905,18,39,16,9,15,13,True,True,True,True,True,True
4,105,106.747,105.051,106.186,32,36,11,12,18,20,True,True,True,True,True,True
4,106,106.875,104.94,105.218,21,30,15,16,16,14,True,True,True,True,True,True
4,107,106.48,105.007,104.534,28,33,9,8,17,10,True,True,True,True,True,True
5,6,79.499,78.829,77.581,19,16,17,5,6,4,True,True,True,True,True,True
5,12,79.858,80.035,78.847,26,35,14,6,12,9,True,True,True,True,True,True
5,56,81.51,0.0,0.0,24,0,0,19,21,21,True,False,False,True,False,False
5,57,78.997,78.259,77.281,22,39,15,2,1,1,True,True,True,True,True,True
5,60,79.098,78.585,77.55,24,34,16,3,4,3,True,True,True,True,True,True
5,67,79.906,79.579,78.706,24,24,16,8,7,7,True,True,True,True,True,True
5,70,81.159,80.183,78.905,26,43,16,17,13,11,True,True,True,True,True,True
5,75,80.924,79.962,79.376,36,28,17,13,10,16,True,True,True,True,True,True
5,79,79.871,78.392,77.981,11,41,16,7,2,5,True,True,True,True,True,True
5,83,78.148,78.611,77.294,32,39,19,1,5,2,True,True,True,True,True,True
5,87,80.637,79.643,78.357,28,39,15,11,8,6,True,True,True,True,True,True
5,89,80.984,80.501,79.744,18,37,17,14,15,18,True,True,True,True,True,True
5,93,81.053,80.672,78.783,28,31,16,15,17,8,True,True,True,True,True,True
5,94,79.187,78.533,79.013,26,39,5,4,3,12,True,True,True,True,True,True
5,100,80.083,79.722,79.236,28,32,17,9,9,14,True,True,True,True,True,True
5,101,81.144,80.024,79.121,27,38,20,16,11,13,True,True,True,True,True,True
5,103,82.756,81.556,79.9,15,35,15,20,19,19,True,True,True,True,True,True
5,104,80.508,80.373,78.886,29,32,17,10,14,10,True,True,True,True,True,True
5,105,81.373,81.265,79.428,28,34,23,18,18,17,True,True,True,True,True,True
5,106,80.665,80.514,79.292,23,29,19,12,16,15,True,True,True,True,True,True
5,107,0.0,82.06,79.909,0,36,13,21,20,20,False,True,True,False,True,True
6,6,73.066,72.543,72.142,38,36,26,5,5,4,True,True,True,True,True,True
6,12,74.637,73.115,73.279,16,42,25,17,9,15,True,True,True,True,True,True
6,57,72.48,72.536,72.273,34,34,26,3,4,5,True,True,True,True,True,True
6,60,73.041,72.413,72.023,40,42,23,4,3,3,True,True,True,True,True,True
6,67,73.943,73.763,73.881,24,37,21,9,18,18,True,True,True,True,True,True
6,70,74.134,73.047,73.112,38,30,26,13,7,14,True,True,True,True,True,True
6,75,73.717,73.37,73.025,39,39,22,8,12,13,True,True,True,True,True,True
6,79,72.126,71.841,71.786,36,33,23,1,1,1,True,True,True,True,True,True
6,83,73.502,72.642,72.356,39,38,27,7,6,6,True,True,True,True,True,True
6,87,78.801,73.572,74.192,7,41,20,20,16,19,True,True,True,True,True,True
6,89,75.206,74.173,74.221,39,46,28,19,20,20,True,True,True,True,True,True
6,93,73.456,73.2,72.85,40,34,24,6,10,9,True,True,True,True,True,True
6,94,72.28,72.035,71.787,25,41,14,2,2,2,True,True,True,True,True,True
6,100,74.291,73.077,72.874,37,40,25,15,8,11,True,True,True,True,True,True
6,101,74.0,73.382,72.94,39,47,23,11,13,12,True,True,True,True,True,True
6,103,74.782,74.011,73.595,43,34,26,18,19,16,True,True,True,True,True,True
6,104,74.24,73.41,72.761,38,32,23,14,14,8,True,True,True,True,True,True
6,105,74.034,73.222,72.752,46,47,25,12,11,7,True,True,True,True,True,True
6,106,74.521,73.575,73.644,39,45,25,16,17,17,True,True,True,True,True,True
6,107,73.962,73.547,72.854,40,44,23,10,15,10,True,True,True,True,True,True
7,6,73.727,72.328,71.65,28,42,21,6,2,3,True,True,True,True,True,True
7,12,73.9,73.866,73.225,27,30,19,7,10,13,True,True,True,True,True,True
7,57,73.39,72.777,71.706,29,39,23,2,4,4,True,True,True,True,True,True
7,60,73.574,72.985,71.648,19,24,22,4,5,2,True,True,True,True,True,True
7,67,75.119,73.62,73.014,21,34,16,12,7,9,True,True,True,True,True,True
7,70,81.00225,73.967,72.946,3,37,21,20,14,8,False,True,True,True,True,True
7,75,0.0,73.754,72.903,0,40,16,21,9,7,False,True,True,False,True,True
7,79,73.518,72.603,72.153,24,17,29,3,3,5,True,True,True,True,True,True
7,83,73.617,73.061,72.255,31,40,27,5,6,6,True,True,True,True,True,True
7,87,75.579,73.956,73.488,21,39,21,15,13,17,True,True,True,True,True,True
7,89,75.386,74.108,73.925,30,41,20,13,15,19,True,True,True,True,True,True
7,93,74.116,74.433,73.331,24,9,22,8,17,14,True,True,True,True,True,True
7,94,73.302,72.198,71.599,26,39,14,1,1,1,True,True,True,True,True,True
7,100,74.311,74.167,73.034,19,14,21,9,16,10,True,True,True,True,True,True
7,101,75.071,73.747,73.064,29,40,18,11,8,11,True,True,True,True,True,True
7,103,76.259,74.703,73.968,16,40,17,18,19,20,True,True,True,True,True,True
7,104,75.004,74.486,73.334,31,39,19,10,18,15,True,True,True,True,True,True
7,105,75.756,73.889,73.076,38,42,24,16,12,12,True,True,True,True,True,True
7,106,75.439,73.884,73.452,30,39,19,14,11,16,True,True,True,True,True,True
7,107,75.768,74.782,73.818,30,35,18,17,20,18,True,True,True,True,True,True
7,111,77.145,0.0,0.0,28,0,0,19,21,21,True,False,False,True,False,False
8,6,93.003,93.426,109.711,23,29,3,4,4,13,True,True,True,True,True,True
8,12,94.862,94.4,96.365,20,24,4,16,8,4,True,True,True,True,True,True
8,57,92.231,92.539,100.743,25,27,3,1,1,12,True,True,True,True,True,True
8,60,93.172,93.689,96.756,19,35,5,5,5,5,True,True,True,True,True,True
8,67,93.318,93.699,130.29765,22,30,1,6,6,18,True,True,False,True,True,True
8,70,94.993,95.067,130.29765,24,30,2,18,11,19,True,True,False,True,True,True
8,75,93.719,96.08,99.641,26,13,4,9,19,9,True,True,True,True,True,True
8,79,92.527,93.243,99.738,25,31,3,3,2,10,True,True,True,True,True,True
8,83,92.371,94.156,93.666,29,7,3,2,7,1,True,True,True,True,True,True
8,87,94.108,94.457,130.29765,23,33,1,10,9,16,True,True,False,True,True,True
8,89,94.592,0.0,98.45,21,0,3,14,20,8,True,False,True,True,False,True
8,93,94.258,95.086,94.953,25,33,3,11,12,2,True,True,True,True,True,True
8,94,93.331,93.271,130.29765,15,24,3,7,3,20,True,True,False,True,True,True
8,100,95.021,95.172,97.547,24,28,4,19,13,6,True,True,True,True,True,True
8,101,94.484,95.705,100.087,14,25,4,12,16,11,True,True,True,True,True,True
8,103,94.881,95.936,122.399,28,34,4,17,17,14,True,True,True,True,True,True
8,104,93.685,94.535,98.317,23,35,5,8,10,7,True,True,True,True,True,True
8,105,94.664,95.697,130.29765,25,31,3,15,15,17,True,True,False,True,True,True
8,106,94.513,95.583,95.012,21,33,5,13,14,3,True,True,True,True,True,True
8,107,95.105,95.97,124.093,25,35,5,20,18,15,True,True,True,True,True,True
9,6,65.776,65.265,64.47,31,42,22,6,6,4,True,True,True,True,True,True
9,12,66.612,66.429,65.448,30,33,19,17,19,14,True,True,True,True,True,True
9,56,67.424,0.0,0.0,38,0,0,20,21,21,True,False,False,True,False,False
9,57,64.839,64.579,64.099,39,37,24,1,1,2,True,True,True,True,True,True
9,60,65.18,64.815,64.07,29,53,22,4,3,1,True,True,True,True,True,True
9,67,66.028,65.429,64.916,31,38,17,7,7,7,True,True,True,True,True,True
9,70,66.479,66.273,65.228,35,42,19,15,15,11,True,True,True,True,True,True
9,75,66.455,66.354,65.502,42,48,24,14,18,15,True,True,True,True,True,True
9,79,65.483,65.031,64.891,22,48,18,5,4,6,True,True,True,True,True,True
9,83,64.966,64.755,64.204,39,42,24,2,2,3,True,True,True,True,True,True
9,87,66.404,65.559,65.013,23,41,16,12,8,8,True,True,True,True,True,True
9,89,66.4,66.199,65.699,32,29,27,11,14,16,True,True,True,True,True,True
9,93,66.427,65.999,65.086,29,38,22,13,11,9,True,True,True,True,True,True
9,94,65.072,65.125,64.791,42,48,14,3,5,5,True,True,True,True,True,True
9,100,66.698,65.93,65.837,30,47,16,18,10,18,True,True,True,True,True,True
9,101,66.055,66.133,65.444,40,43,21,8,13,13,True,True,True,True,True,True
9,103,66.567,66.626,66.029,32,44,23,16,20,19,True,True,True,True,True,True
9,104,66.394,65.758,65.264,36,31,25,10,9,12,True,True,True,True,True,True
9,105,66.871,66.332,65.705,45,55,23,19,17,17,True,True,True,True,True,True
9,106,66.215,66.096,65.219,31,30,25,9,12,10,True,True,True,True,True,True
9,107,0.0,66.326,66.318,0,49,22,21,16,20,False,True,True,False,True,True
10,6,88.218,88.045,86.815,24,34,14,5,4,2,True,True,True,True,True,True
10,12,90.322,89.306,89.07,19,31,17,15,6,13,True,True,True,True,True,True
10,57,87.487,87.739,86.722,24,32,15,1,2,1,True,True,True,True,True,True
10,60,87.998,87.552,87.851,22,36,8,3,1,4,True,True,True,True,True,True
10,67,89.352,0.0,88.554,12,0,18,7,20,9,True,False,True,True,False,True
10,70,90.701,89.354,89.094,18,35,12,18,7,14,True,True,True,True,True,True
10,75,89.812,89.522,89.066,23,32,15,8,9,12,True,True,True,True,True,True
10,79,88.144,88.408,88.018,30,31,15,4,5,6,True,True,True,True,True,True
10,83,87.854,87.909,87.364,27,30,17,2,3,3,True,True,True,True,True,True
10,87,90.065,89.617,88.418,20,33,16,14,12,8,True,True,True,True,True,True
10,89,89.942,90.046,88.814,25,32,17,11,14,10,True,True,True,True,True,True
10,93,90.358,89.563,89.133,22,36,15,16,11,15,True,True,True,True,True,True
10,94,88.325,94.9242,88.012,24,2,22,6,19,5,True,False,True,True,True,True
10,100,90.416,90.121,90.004,25,31,17,17,17,18,True,True,True,True,True,True
10,101,89.815,89.467,88.917,24,33,14,9,8,11,True,True,True,True,True,True
10,103,89.878,90.069,89.829,25,34,13,10,15,16,True,True,True,True,True,True
10,104,90.004,89.831,90.05,31,16,4,12,13,19,True,True,True,True,True,True
10,105,90.749,90.404,94.5525,31,36,3,19,18,20,True,True,False,True,True,True
10,106,90.027,89.557,88.146,27,30,18,13,10,7,True,True,True,True,True,True
10,107,91.017,90.103,89.984,22,36,17,20,16,17,True,True,True,True,True,True
11,6,74.267,73.427,97.755,24,41,4,6,5,8,True,True,True,True,True,True
11,12,75.544,74.836,103.31265,13,38,1,12,17,13,True,True,False,True,True,True
11,57,73.529,73.111,103.31265,29,39,2,2,2,20,True,True,False,True,True,True
11,60,73.796,73.31,95.573,23,46,5,4,4,4,True,True,True,True,True,True
11,67,74.691,73.973,103.31265,29,34,2,7,6,10,True,True,False,True,True,True
11,70,75.282,74.496,96.873,32,31,4,10,9,7,True,True,True,True,True,True
11,75,75.415,74.552,103.31265,29,38,1,11,11,19,True,True,False,True,True,True
11,79,73.525,74.682,103.31265,22,36,1,1,13,15,True,True,False,True,True,True
11,83,73.903,73.19,103.31265,30,39,2,5,3,17,True,True,False,True,True,True
11,87,74.853,74.189,103.31265,28,36,2,8,7,11,True,True,False,True,True,True
11,89,0.0,74.783,95.0,0,38,9,21,14,2,False,True,True,False,True,True
11,93,75.769,74.592,103.31265,10,43,2,14,12,16,True,True,False,True,True,True
11,94,73.714,73.085,103.31265,34,18,1,3,1,12,True,True,False,True,True,True
11,100,76.149,75.454,103.31265,14,34,2,20,20,14,True,True,False,True,True,True
11,101,0.0,74.508,103.31265,0,39,2,22,10,18,False,True,False,False,True,True
11,102,76.136,0.0,0.0,23,0,0,19,21,21,True,False,False,True,False,False
11,103,75.629,75.269,98.393,32,36,7,13,18,9,True,True,True,True,True,True
11,104,76.071,74.793,95.659,32,44,6,18,15,5,True,True,True,True,True,True
11,105,75.864,74.83,96.151,36,45,6,15,16,6,True,True,True,True,True,True
11,106,75.097,74.374,94.577,25,41,8,9,8,1,True,True,True,True,True,True
11,107,75.876,75.408,95.334,34,41,9,16,19,3,True,True,True,True,True,True
11,111,76.023,0.0,0.0,27,0,0,17,22,22,True,False,False,True,False,False
12,6,77.948,77.153,76.373,23,40,16,4,4,3,True,True,True,True,True,True
12,12,79.69,78.857,78.467,24,38,15,12,12,14,True,True,True,True,True,True
12,57,78.036,77.587,76.749,28,43,17,5,5,4,True,True,True,True,True,True
12,60,77.692,76.834,76.17,24,45,16,2,1,1,True,True,True,True,True,True
12,67,78.975,78.065,78.084,17,39,19,7,7,9,True,True,True,True,True,True
12,70,79.025,78.913,78.083,14,23,18,8,14,8,True,True,True,True,True,True
12,75,80.159,78.85,78.962,27,42,18,17,11,19,True,True,True,True,True,True
12,79,77.613,77.061,76.803,30,36,11,1,3,5,True,True,True,True,True,True
12,83,78.47,77.868,76.229,20,46,17,6,6,2,True,True,True,True,True,True
12,87,79.187,78.88,78.23,29,35,17,10,13,11,True,True,True,True,True,True
12,89,80.697,79.043,78.842,12,42,18,20,16,18,True,True,True,True,True,True
12,93,79.128,78.495,77.754,32,38,17,9,8,7,True,True,True,True,True,True
12,94,77.701,76.908,76.946,29,35,14,3,2,6,True,True,True,True,True,True
12,100,80.151,79.712,78.789,28,38,14,16,19,17,True,True,True,True,True,True
12,101,80.065,78.761,78.512,30,41,20,15,10,15,True,True,True,True,True,True
12,102,80.293,0.0,0.0,31,0,0,18,21,21,True,False,False,True,False,False
12,103,80.012,79.645,79.132,33,45,20,14,18,20,True,True,True,True,True,True
12,104,79.352,78.518,78.139,30,43,22,11,9,10,True,True,True,True,True,True
12,105,79.841,78.916,78.252,32,41,19,13,15,12,True,True,True,True,True,True
12,106,0.0,79.137,78.376,0,38,19,21,17,13,False,True,True,False,True,True
12,107,80.307,79.77,78.63,28,45,17,19,20,16,True,True,True,True,True,True
13,6,104.718,103.355,102.724,17,29,15,4,1,2,True,True,True,True,True,True
13,12,0.0,106.153,106.942,0,28,16,21,16,19,False,True,True,False,True,True
13,57,104.676,103.523,102.798,22,28,10,3,2,3,True,True,True,True,True,True
13,60,104.358,104.129,102.661,19,31,13,1,5,1,True,True,True,True,True,True
13,67,106.387,105.817,105.814,20,29,12,12,12,12,True,True,True,True,True,True
13,70,105.951,105.753,105.464,19,28,17,8,11,9,True,True,True,True,True,True
13,75,106.169,104.662,105.341,21,27,10,9,7,8,True,True,True,True,True,True
13,79,105.558,104.25,104.479,4,31,13,6,6,6,True,True,True,True,True,True
13,83,104.724,103.803,103.464,25,29,13,5,3,4,True,True,True,True,True,True
13,87,107.012,106.078,106.087,21,29,12,17,14,14,True,True,True,True,True,True
13,89,106.557,105.537,105.536,19,24,11,14,9,11,True,True,True,True,True,True
13,93,106.21,105.481,105.925,19,29,13,10,8,13,True,True,True,True,True,True
13,94,104.509,104.046,104.048,20,25,10,2,4,5,True,True,True,True,True,True
13,100,107.452,106.496,107.061,13,25,14,20,20,20,True,True,True,True,True,True
13,101,105.786,105.935,105.485,22,24,13,7,13,10,True,True,True,True,True,True
13,103,106.965,106.47,106.502,25,34,10,16,19,17,True,True,True,True,True,True
13,104,106.3,106.08,106.182,25,33,16,11,15,15,True,True,True,True,True,True
13,105,106.932,106.337,106.259,23,35,17,15,17,16,True,True,True,True,True,True
13,106,106.554,105.622,104.963,20,25,12,13,10,7,True,True,True,True,True,True
13,107,107.367,106.451,106.63,23,35,11,19,18,18,True,True,True,True,True,True
13,108,107.364,0.0,0.0,26,0,0,18,21,21,True,False,False,True,False,False
14,6,94.55,81.375,80.682,28,31,16,2,2,3,True,True,True,True,True,True
14,12,97.426,83.741,82.892,14,23,23,14,18,17,True,True,True,True,True,True
14,57,96.546,81.392,80.59,6,31,14,11,3,2,True,True,True,True,True,True
14,60,97.867,81.105,80.509,4,27,18,17,1,1,True,True,True,True,True,True
14,67,97.683,83.077,82.357,13,31,16,15,11,10,True,True,True,True,True,True
14,70,96.107,83.063,83.149,15,30,10,9,10,19,True,True,True,True,True,True
14,75,94.0,82.942,82.486,18,32,13,1,8,11,True,True,True,True,True,True
14,79,95.207,82.296,82.31,13,28,15,5,6,8,True,True,True,True,True,True
14,83,96.238,81.803,81.112,8,35,18,10,4,4,True,True,True,True,True,True
14,87,97.066,83.233,82.011,13,28,15,13,13,6,True,True,True,True,True,True
14,89,97.79,88.2882,82.882,11,2,25,16,20,16,True,False,True,True,True,True
14,93,95.995,83.193,82.737,15,32,15,8,12,13,True,True,True,True,True,True
14,94,95.665,82.154,81.388,10,28,15,7,5,5,True,True,True,True,True,True
14,100,0.0,84.084,82.987,0,30,16,21,19,18,False,True,True,False,True,True
14,101,94.593,82.93,82.055,17,30,16,3,7,7,True,True,True,True,True,True
14,103,98.253,83.566,82.86,8,29,19,19,17,15,True,True,True,True,True,True
14,104,95.438,83.402,82.631,19,34,20,6,14,12,True,True,True,True,True,True
14,105,95.024,83.531,83.164,17,16,19,4,16,20,True,True,True,True,True,True
14,106,96.648,82.965,82.313,10,20,17,12,9,9,True,True,True,True,True,True
14,107,97.929,83.514,82.778,10,28,20,18,15,14,True,True,True,True,True,True
14,108,98.282,0.0,0.0,9,0,0,20,21,21,True,False,False,True,False,False
15,6,100.486,98.699,98.416,21,35,16,4,1,2,True,True,True,True,True,True
15,12,102.63,100.459,100.254,23,31,10,14,8,10,True,True,True,True,True,True
15,57,101.232,98.71,98.558,28,20,14,6,2,3,True,True,True,True,True,True
15,60,99.997,100.633,98.054,23,12,19,3,9,1,True,True,True,True,True,True
15,67,102.108,100.384,99.747,21,33,14,10,7,7,True,True,True,True,True,True
15,70,101.105,100.668,100.45,26,35,17,5,10,11,True,True,True,True,True,True
15,75,102.412,100.774,100.231,25,30,14,12,11,9,True,True,True,True,True,True
15,79,99.711,99.309,99.186,27,33,14,1,4,5,True,True,True,True,True,True
15,83,101.429,99.368,98.603,28,33,17,8,5,4,True,True,True,True,True,True
15,87,102.452,101.154,100.559,20,32,13,13,15,12,True,True,True,True,True,True
15,89,102.408,100.812,101.953,23,37,18,11,12,19,True,True,True,True,True,True
15,93,101.329,100.274,100.591,23,36,14,7,6,13,True,True,True,True,True,True
