date,driver_id,team_id,position,driver_name,points,year,round,position_status
2001-03-04,1,1,1,Michael Schumacher,10.0,2001,1,CLAS
2001-03-04,2,2,2,David Coulthard,6.0,2001,1,CLAS
2001-03-04,3,1,3,Rubens Barrichello,4.0,2001,1,CLAS
2001-03-04,4,3,4,Nick Heidfeld,3.0,2001,1,CLAS
2001-03-04,5,4,5,Heinz-Harald Frentzen,2.0,2001,1,CLAS
2001-03-04,6,3,6,Kimi Räikkönen,1.0,2001,1,CLAS
2001-03-04,7,5,7,Olivier Panis,0.0,2001,1,CLAS
2001-03-04,8,6,8,Luciano Burti,0.0,2001,1,CLAS
2001-03-04,9,7,9,Jean Alesi,0.0,2001,1,CLAS
2001-03-04,10,8,10,Jos Verstappen,0.0,2001,1,CLAS
2001-03-04,11,6,11,Eddie Irvine,0.0,2001,1,CLAS
2001-03-04,12,9,12,Fernando Alonso,0.0,2001,1,CLAS
2001-03-04,13,10,13,Giancarlo Fisichella,0.0,2001,1,CLAS
2001-03-04,14,10,14,Jenson Button,0.0,2001,1,CLAS
2001-03-04,15,11,15,Juan Pablo Montoya,0.0,2001,1,NC
2001-03-04,16,4,16,Jarno Trulli,0.0,2001,1,NC
2001-03-04,17,2,17,Mika Hakkinen,0.0,2001,1,NC
2001-03-04,18,11,18,Ralf Schumacher,0.0,2001,1,NC
2001-03-04,19,5,19,Jacques Villeneuve,0.0,2001,1,NC
2001-03-04,20,9,20,Tarso Marques,0.0,2001,1,NC
2001-03-04,21,8,21,Enrique Bernoldi,0.0,2001,1,NC
2001-03-04,22,7,22,Gaston Mazzacane,0.0,2001,1,NC
2001-03-18,1,1,1,Michael Schumacher,10.0,2001,2,CLAS
2001-03-18,3,1,2,Rubens Barrichello,6.0,2001,2,CLAS
2001-03-18,2,2,3,David Coulthard,4.0,2001,2,CLAS
2001-03-18,5,4,4,Heinz-Harald Frentzen,3.0,2001,2,CLAS
2001-03-18,18,11,5,Ralf Schumacher,2.0,2001,2,CLAS
2001-03-18,17,2,6,Mika Hakkinen,1.0,2001,2,CLAS
2001-03-18,10,8,7,Jos Verstappen,0.0,2001,2,CLAS
2001-03-18,16,4,8,Jarno Trulli,0.0,2001,2,CLAS
2001-03-18,9,7,9,Jean Alesi,0.0,2001,2,CLAS
2001-03-18,8,6,10,Luciano Burti,0.0,2001,2,CLAS
2001-03-18,14,10,11,Jenson Button,0.0,2001,2,CLAS
2001-03-18,22,7,12,Gaston Mazzacane,0.0,2001,2,CLAS
2001-03-18,12,9,13,Fernando Alonso,0.0,2001,2,CLAS
2001-03-18,20,9,14,Tarso Marques,0.0,2001,2,CLAS
2001-03-18,13,10,15,Giancarlo Fisichella,0.0,2001,2,NC
2001-03-18,19,5,16,Jacques Villeneuve,0.0,2001,2,NC
2001-03-18,4,3,17,Nick Heidfeld,0.0,2001,2,NC
2001-03-18,21,8,18,Enrique Bernoldi,0.0,2001,2,NC
2001-03-18,15,11,19,Juan Pablo Montoya,0.0,2001,2,NC
2001-03-18,11,6,20,Eddie Irvine,0.0,2001,2,NC
2001-03-18,7,5,21,Olivier Panis,0.0,2001,2,NC
2001-03-18,6,3,22,Kimi Räikkönen,0.0,2001,2,NC
2001-04-01,2,2,1,David Coulthard,10.0,2001,3,CLAS
2001-04-01,1,1,2,Michael Schumacher,6.0,2001,3,CLAS
2001-04-01,4,3,3,Nick Heidfeld,4.0,2001,3,CLAS
2001-04-01,7,5,4,Olivier Panis,3.0,2001,3,CLAS
2001-04-01,16,4,5,Jarno Trulli,2.0,2001,3,CLAS
2001-04-01,13,10,6,Giancarlo Fisichella,1.0,2001,3,CLAS
2001-04-01,19,5,7,Jacques Villeneuve,0.0,2001,3,CLAS
2001-04-01,9,7,8,Jean Alesi,0.0,2001,3,CLAS
2001-04-01,20,9,9,Tarso Marques,0.0,2001,3,CLAS
2001-04-01,14,10,10,Jenson Button,0.0,2001,3,CLAS
2001-04-01,5,4,11,Heinz-Harald Frentzen,0.0,2001,3,CLAS
2001-04-01,6,3,12,Kimi Räikkönen,0.0,2001,3,NC
2001-04-01,22,7,13,Gaston Mazzacane,0.0,2001,3,NC
2001-04-01,18,11,14,Ralf Schumacher,0.0,2001,3,NC
2001-04-01,11,6,15,Eddie Irvine,0.0,2001,3,NC
2001-04-01,15,11,16,Juan Pablo Montoya,0.0,2001,3,NC
2001-04-01,10,8,17,Jos Verstappen,0.0,2001,3,NC
2001-04-01,8,6,18,Luciano Burti,0.0,2001,3,NC
2001-04-01,12,9,19,Fernando Alonso,0.0,2001,3,NC
2001-04-01,21,8,20,Enrique Bernoldi,0.0,2001,3,NC
2001-04-01,3,1,21,Rubens Barrichello,0.0,2001,3,NC
2001-04-01,17,2,22,Mika Hakkinen,0.0,2001,3,NC
2001-04-15,18,11,1,Ralf Schumacher,10.0,2001,4,CLAS
2001-04-15,2,2,2,David Coulthard,6.0,2001,4,CLAS
2001-04-15,3,1,3,Rubens Barrichello,4.0,2001,4,CLAS
2001-04-15,17,2,4,Mika Hakkinen,3.0,2001,4,CLAS
2001-04-15,16,4,5,Jarno Trulli,2.0,2001,4,CLAS
2001-04-15,5,4,6,Heinz-Harald Frentzen,1.0,2001,4,CLAS
2001-04-15,4,3,7,Nick Heidfeld,0.0,2001,4,CLAS
2001-04-15,7,5,8,Olivier Panis,0.0,2001,4,CLAS
2001-04-15,9,7,9,Jean Alesi,0.0,2001,4,CLAS
2001-04-15,21,8,10,Enrique Bernoldi,0.0,2001,4,CLAS
2001-04-15,8,6,11,Luciano Burti,0.0,2001,4,CLAS
2001-04-15,14,10,12,Jenson Button,0.0,2001,4,CLAS
2001-04-15,20,9,13,Tarso Marques,0.0,2001,4,NC
2001-04-15,15,11,14,Juan Pablo Montoya,0.0,2001,4,NC
2001-04-15,11,6,15,Eddie Irvine,0.0,2001,4,NC
2001-04-15,13,10,16,Giancarlo Fisichella,0.0,2001,4,NC
2001-04-15,19,5,17,Jacques Villeneuve,0.0,2001,4,NC
2001-04-15,22,7,18,Gaston Mazzacane,0.0,2001,4,NC
2001-04-15,1,1,19,Michael Schumacher,0.0,2001,4,NC
2001-04-15,6,3,20,Kimi Räikkönen,0.0,2001,4,NC
2001-04-15,10,8,21,Jos Verstappen,0.0,2001,4,NC
2001-04-15,12,9,22,Fernando Alonso,0.0,2001,4,NC
2001-04-29,1,1,1,Michael Schumacher,10.0,2001,5,CLAS
2001-04-29,15,11,2,Juan Pablo Montoya,6.0,2001,5,CLAS
2001-04-29,19,5,3,Jacques Villeneuve,4.0,2001,5,CLAS
2001-04-29,16,4,4,Jarno Trulli,3.0,2001,5,CLAS
2001-04-29,2,2,5,David Coulthard,2.0,2001,5,CLAS
2001-04-29,4,3,6,Nick Heidfeld,1.0,2001,5,CLAS
2001-04-29,7,5,7,Olivier Panis,0.0,2001,5,CLAS
2001-04-29,6,3,8,Kimi Räikkönen,0.0,2001,5,CLAS
2001-04-29,17,2,9,Mika Hakkinen,0.0,2001,5,CLAS
2001-04-29,9,7,10,Jean Alesi,0.0,2001,5,CLAS
2001-04-29,8,7,11,Luciano Burti,0.0,2001,5,CLAS
2001-04-29,10,8,12,Jos Verstappen,0.0,2001,5,CLAS
