race_id,driver_id,start_position
1,57,1
1,6,2
1,60,3
1,94,4
1,87,5
1,67,6
1,70,7
1,79,8
1,93,9
1,12,10
1,100,11
1,75,12
1,103,13
1,101,14
1,83,15
1,105,16
1,89,17
1,106,18
1,107,19
1,104,20
2,60,1
2,6,2
2,83,3
2,79,4
2,104,5
2,87,6
2,70,7
2,101,8
2,57,9
2,93,10
2,105,11
2,75,12
2,12,13
2,100,14
2,94,15
2,67,16
2,89,17
2,107,18
2,106,19
2,103,20
3,60,1
3,6,2
3,83,3
3,57,4
3,94,5
3,79,6
3,70,7
3,75,8
3,93,9
3,67,10
3,87,11
3,101,12
3,12,13
3,100,14
3,105,15
3,107,16
3,104,17
3,103,18
3,106,19
3,89,20
4,60,1
4,57,2
4,83,3
4,79,4
4,94,5
4,6,6
4,101,7
4,75,8
4,93,9
4,103,10
4,107,11
4,12,12
4,106,13
4,70,14
4,87,15
4,100,16
4,104,17
4,89,18
4,105,19
4,67,20
5,57,1
5,83,2
5,60,3
5,6,4
5,94,5
5,79,6
5,87,7
5,12,8
5,93,9
5,67,10
5,100,11
5,104,12
5,101,13
5,106,14
5,75,15
5,70,16
5,89,17
5,103,18
5,107,19
5,105,20
6,79,1
6,60,2
6,57,3
6,6,4
6,83,5
6,101,6
6,12,7
6,93,8
6,75,9
6,104,10
6,70,11
6,100,12
6,107,13
6,106,14
6,105,15
6,89,16
6,103,17
6,67,18
6,87,19
6,94,20
7,60,1
7,83,2
7,94,3
7,57,4
7,6,5
7,79,6
7,70,7
7,101,8
7,93,9
7,75,10
7,87,11
7,105,12
7,106,13
7,12,14
7,100,15
7,103,16
7,107,17
7,89,18
7,104,19
7,67,20
8,57,1
8,83,2
8,60,3
8,94,4
8,79,5
8,6,6
8,93,7
8,106,8
8,87,9
8,67,10
8,101,11
8,70,12
8,75,13
8,104,14
8,89,15
8,12,16
8,100,17
8,107,18
8,103,19
8,105,20
9,83,1
9,57,2
9,6,3
9,94,4
9,67,5
9,60,6
9,79,7
9,87,8
9,93,9
9,70,10
9,101,11
9,104,12
9,103,13
9,100,14
9,75,15
9,107,16
9,106,17
9,89,18
9,105,19
9,12,20
10,57,1
10,60,2
10,6,3
10,83,4
10,94,5
10,79,6
10,87,7
10,67,8
10,106,9
10,101,10
10,70,11
10,75,12
10,12,13
10,104,14
10,89,15
10,93,16
10,100,17
11,60,1
11,83,2
11,6,3
11,94,4
11,87,5
11,67,6
11,70,7
11,93,8
11,106,9
11,75,10
11,12,11
11,107,12
11,89,13
11,57,14
11,101,15
11,105,16
11,103,17
11,100,18
11,79,19
11,104,20
12,57,1
12,83,2
12,6,3
12,60,4
12,93,5
12,104,6
12,94,7
12,105,8
12,87,9
12,67,10
12,12,11
12,79,12
12,70,13
12,89,14
12,100,15
12,106,16
12,101,17
12,75,18
12,107,19
12,103,20
13,57,1
13,60,2
13,101,3
13,75,4
13,67,5
13,6,6
13,94,7
13,79,8
13,87,9
13,104,10
13,105,11
13,106,12
13,89,13
13,12,14
13,107,15
13,103,16
13,83,17
13,70,18
13,93,19
13,100,20
14,6,1
14,60,2
14,57,3
14,83,4
14,94,5
14,67,6
14,93,7
14,101,8
14,104,9
14,103,10
14,87,11
14,107,12
14,12,13
14,75,14
14,106,15
14,105,16
14,100,17
14,89,18
14,79,19
14,70,20
15,57,1
15,94,2
15,60,3
15,83,4
15,6,5
15,79,6
15,75,7
15,67,8
15,101,9
15,70,10
15,12,11
15,93,12
15,106,13
15,89,14
15,104,15
15,87,16
15,105,17
15,100,18
15,107,19
15,103,20
16,83,1
16,57,2
16,60,3
16,6,4
16,87,5
16,101,6
16,106,7
16,75,8
16,67,9
16,89,10
16,93,11
16,70,12
16,107,13
16,103,14
16,100,15
16,12,16
16,104,17
16,79,18
16,94,19
16,105,20
17,57,1
17,83,2
17,94,3
17,6,4
17,67,5
17,105,6
17,104,7
17,60,8
17,75,9
17,106,10
17,101,11
17,87,12
17,93,13
17,103,14
17,79,15
17,70,16
17,107,17
17,12,18
17,100,19
17,89,20
18,57,1
18,6,2
18,83,3
18,79,4
18,60,5
18,101,6
18,70,7
18,67,8
18,106,9
18,75,10
18,93,11
18,87,12
18,12,13
18,107,14
18,103,15
18,89,16
18,100,17
18,94,18
18,104,19
18,105,20
19,79,1
19,94,2
19,57,3
19,60,4
19,83,5
19,6,6
19,70,7
19,93,8
19,106,9
19,89,10
19,101,11
19,12,12
19,75,13
19,105,14
