race_id,driver_id,team_id,fastest_lap_time,lap_number
1,79,3,1:25.945,54
1,6,1,1:26.373,57
1,57,2,1:26.444,50
1,60,1,1:26.469,53
1,94,3,1:26.880,54
1,100,4,1:26.958,57
1,12,4,1:26.978,57
1,83,2,1:27.019,54
1,70,5,1:27.081,57
1,101,6,1:27.600,57
1,75,6,1:27.633,51
1,93,5,1:27.944,51
1,105,9,1:28.176,57
1,103,8,1:28.511,55
1,106,7,1:28.759,56
1,67,10,1:28.805,23
1,87,10,1:29.534,21
1,104,9,1:30.649,13
1,89,7,1:32.210,4
1,107,8,1:32.573,3
2,83,2,1:33.740,22
2,57,2,1:33.953,51
2,67,10,1:34.053,47
2,12,4,1:34.168,47
2,87,10,1:34.327,29
2,6,1,1:34.337,22
2,60,1,1:34.453,21
2,107,8,1:34.563,42
2,70,5,1:34.667,50
2,105,9,1:34.689,44
2,104,9,1:34.863,46
2,101,6,1:35.043,38
2,106,7,1:35.058,40
2,75,6,1:35.075,35
2,89,7,1:35.093,26
2,100,4,1:35.131,30
2,103,8,1:35.266,32
2,93,5,1:35.535,35
3,79,3,1:35.785,55
3,94,3,1:36.206,50
3,6,1,1:36.456,48
3,57,2,1:36.878,20
3,70,5,1:36.881,56
3,83,2,1:36.987,50
3,12,4,1:37.234,56
3,67,10,1:37.410,51
3,60,1,1:37.479,24
3,75,6,1:37.673,54
3,93,5,1:37.754,54
3,101,6,1:37.985,47
3,100,4,1:38.137,54
3,87,10,1:38.152,54
3,104,9,1:38.367,54
3,89,7,1:38.386,52
3,103,8,1:38.500,54
3,107,8,1:38.624,47
3,106,7,1:38.808,23
3,105,9,1:39.376,50
4,83,2,1:45.149,37
4,57,2,1:45.412,35
4,79,3,1:45.419,34
4,60,1,1:45.530,38
4,94,3,1:45.771,31
4,75,6,1:46.206,51
4,6,1,1:46.523,50
4,103,8,1:46.815,50
4,93,5,1:46.856,50
4,67,10,1:46.880,34
4,106,7,1:47.403,31
4,12,4,1:47.449,32
4,100,4,1:47.666,50
4,89,7,1:47.925,51
4,104,9,1:48.035,38
4,87,10,1:48.155,35
4,105,9,1:48.288,51
4,70,5,1:48.867,10
5,79,3,1:18.441,61
5,60,1,1:19.128,61
5,57,2,1:19.133,64
5,94,3,1:19.422,62
5,83,2,1:19.478,56
5,87,10,1:20.246,64
5,12,4,1:20.727,64
5,75,6,1:21.128,43
5,93,5,1:21.324,61
5,105,9,1:21.439,63
5,6,1,1:21.531,23
5,103,8,1:22.095,60
5,101,6,1:22.117,36
5,106,7,1:22.122,51
5,89,7,1:22.487,50
5,100,4,1:22.594,38
5,107,8,1:22.680,57
6,94,3,1:14.260,60
6,67,10,1:14.822,74
6,103,8,1:14.944,61
6,107,8,1:15.325,75
6,79,3,1:15.562,13
6,70,5,1:16.061,57
6,60,1,1:16.065,14
6,57,2,1:16.270,15
6,83,2,1:16.312,21
6,6,1,1:16.392,13
6,100,4,1:16.864,76
6,89,7,1:16.936,19
6,12,4,1:17.018,23
6,101,6,1:17.027,63
6,104,9,1:17.099,68
6,105,9,1:17.172,15
6,87,10,1:17.476,20
6,93,5,1:17.491,19
6,75,6,1:17.546,24
6,106,7,1:17.710,17
7,94,3,1:13.864,65
7,60,1,1:13.964,57
7,83,2,1:13.992,51
7,6,1,1:14.075,59
7,79,3,1:14.159,59
7,57,2,1:14.183,66
7,75,6,1:15.100,64
7,87,10,1:15.401,65
7,67,10,1:15.470,56
7,106,7,1:15.480,65
7,70,5,1:15.588,64
7,101,6,1:15.610,61
7,93,5,1:15.666,61
7,104,9,1:15.699,67
7,100,4,1:15.765,55
7,107,8,1:15.924,53
7,12,4,1:16.180,33
7,89,7,1:16.403,62
8,83,2,1:34.225,41
8,94,3,1:34.275,47
8,6,1,1:34.398,48
8,60,1,1:34.485,42
8,57,2,1:34.509,49
8,12,4,1:35.133,48
8,79,3,1:35.382,37
8,87,10,1:35.425,50
8,93,5,1:35.638,46
8,67,10,1:35.695,47
8,70,5,1:35.873,46
8,106,7,1:35.977,45
8,89,7,1:36.494,37
8,100,4,1:36.675,48
8,105,9,1:36.839,40
8,107,8,1:38.300,35
8,75,6,1:38.319,25
8,103,8,1:38.319,35
9,6,1,1:06.957,71
9,60,1,1:07.082,67
9,57,2,1:07.241,58
9,94,3,1:07.442,70
9,79,3,1:07.591,46
9,89,7,1:08.216,67
9,87,10,1:08.476,70
9,75,6,1:08.504,66
9,12,4,1:08.661,69
9,93,5,1:08.766,37
9,101,6,1:08.850,64
9,100,4,1:08.894,63
9,107,8,1:08.971,64
9,106,7,1:09.006,68
9,83,2,1:09.044,12
9,67,10,1:09.071,17
9,105,9,1:09.171,42
9,103,8,1:09.203,68
9,104,9,1:09.295,38
9,70,5,1:10.380,7
10,60,1,1:30.696,47
10,6,1,1:30.795,51
10,57,2,1:31.245,52
10,83,2,1:31.377,43
10,79,3,1:31.589,46
10,94,3,1:32.007,42
10,70,5,1:33.405,48
10,104,9,1:33.465,48
10,75,6,1:33.472,48
10,12,4,1:33.482,52
10,100,4,1:33.551,48
10,87,10,1:33.604,48
10,101,6,1:33.606,48
10,89,7,1:33.675,26
10,103,8,1:33.869,48
10,67,10,1:34.391,28
10,93,5,1:34.602,25
10,107,8,1:34.620,52
10,106,7,1:35.209,3
11,57,2,1:15.545,66
11,83,2,1:15.721,65
11,94,3,1:15.852,66
11,6,1,1:15.990,64
11,67,10,1:16.716,66
11,60,1,1:17.290,39
11,93,5,1:17.430,63
11,100,4,1:17.537,67
11,105,9,1:17.681,66
11,87,10,1:17.697,66
11,12,4,1:17.741,60
11,89,7,1:17.745,65
11,104,9,1:17.762,66
11,106,7,1:17.852,64
11,75,6,1:17.867,66
11,70,5,1:17.910,66
11,101,6,1:17.941,64
11,79,3,1:18.262,22
11,103,8,1:18.861,35
11,107,8,1:18.934,36
12,79,3,1:20.012,46
12,60,1,1:20.056,70
12,6,1,1:20.292,55
12,57,2,1:21.107,63
12,70,5,1:21.261,69
12,87,10,1:21.302,60
12,104,9,1:21.685,64
12,83,2,1:21.736,39
12,12,4,1:22.090,68
12,67,10,1:22.606,58
12,105,9,1:22.612,62
12,103,8,1:22.660,51
12,93,5,1:22.774,58
12,101,6,1:22.876,63
12,100,4,1:23.077,46
