flag_yellow_count,flag_double_yellow_count,flag_red_count,flag_clear_count,safety_car_deployments,virtual_safety_car_deployments,race_id,session,total_sc_laps,total_vsc_laps
3,1,0,4,0,0,21,FP1,,
2,0,0,2,0,0,21,FP2,,
4,1,0,5,0,0,21,FP3,,
0,0,0,0,0,0,21,Qualifying,,
6,5,0,12,1,1,21,Race,4.0,2.0
1,0,0,2,0,0,1,FP1,,
10,3,1,6,0,0,1,FP2,,
0,1,0,1,0,0,1,FP3,,
7,0,1,5,0,0,1,Qualifying,,
9,5,0,11,1,1,1,Race,4.0,0.0
1,1,0,2,0,0,9,FP1,,
6,0,1,7,0,0,9,FP2,,
5,3,0,5,0,0,9,FP3,,
4,0,0,4,0,0,9,Qualifying,,
8,7,0,15,0,1,9,Race,0.0,2.0
12,4,0,18,0,1,4,FP1,,
16,1,0,16,0,0,4,FP2,,
13,5,1,14,0,0,4,FP3,,
13,8,0,19,0,0,4,Qualifying,,
12,10,0,22,2,0,4,Race,13.0,0.0
5,7,1,12,0,0,2,FP1,,
8,5,2,13,0,0,2,FP2,,
1,1,0,2,0,0,2,FP3,,
3,0,1,4,0,0,2,Qualifying,,
5,10,0,15,0,1,2,Race,0.0,3.0
6,2,0,4,0,0,13,FP1,,
0,1,0,1,0,0,13,FP2,,
4,1,1,6,0,0,13,FP3,,
7,0,0,8,0,0,13,Qualifying,,
2,0,0,3,1,0,13,Race,4.0,0.0
0,2,1,4,1,0,20,FP1,,
1,0,1,2,0,0,20,FP2,,
0,0,0,0,0,0,20,FP3,,
1,0,0,3,0,0,20,Qualifying,,
2,2,0,4,0,0,20,Race,0.0,0.0
5,4,1,8,0,1,7,FP1,,
4,1,1,7,0,1,7,FP2,,
1,0,0,1,0,0,7,FP3,,
0,0,0,1,0,0,7,Qualifying,,
3,3,0,8,1,0,7,Race,4.0,0.0
2,0,0,2,0,0,3,FP1,,
1,2,0,7,0,0,3,FP2,,
5,2,0,8,0,1,3,FP3,,
0,1,0,1,0,0,3,Qualifying,,
2,4,0,6,1,0,3,Race,5.0,0.0
11,3,1,11,0,0,8,FP1,,
5,3,1,9,0,1,8,FP2,,
0,0,0,21,0,0,8,FP3,,
2,0,1,4,0,0,8,Qualifying,,
9,6,0,13,1,1,8,Race,5.0,2.0
2,0,2,3,0,0,11,FP1,,
3,0,2,4,0,0,11,FP2,,
5,0,0,5,0,0,11,FP3,,
1,0,1,2,0,0,11,Qualifying,,
9,1,0,13,1,0,11,Race,6.0,0.0
12,4,0,15,0,2,10,FP1,,
6,2,1,8,0,1,10,FP2,,
1,0,1,3,0,0,10,FP3,,
2,2,1,4,0,0,10,Qualifying,,
12,7,0,16,3,0,10,Race,10.0,0.0
7,4,0,9,0,0,12,FP1,,
3,0,0,3,0,0,12,FP2,,
3,2,0,5,0,0,12,FP3,,
3,1,0,9,0,0,12,Qualifying,,
2,0,0,4,0,2,12,Race,0.0,4.0
3,1,0,4,0,1,14,FP1,,
1,2,1,3,0,0,14,FP2,,
0,0,0,0,0,0,14,FP3,,
0,0,0,0,0,0,14,Qualifying,,
3,1,0,5,1,0,14,Race,3.0,0.0
4,0,0,4,0,0,17,FP1,,
0,0,0,0,0,0,17,FP2,,
3,0,1,4,0,0,17,FP3,,
4,1,1,10,0,0,17,Qualifying,,
4,2,0,7,1,1,17,Race,4.0,2.0
2,1,0,4,0,0,19,FP1,,
1,1,0,1,0,0,19,FP2,,
2,2,0,5,0,1,19,FP3,,
0,0,0,0,0,0,19,Qualifying,,
4,0,0,7,0,3,19,Race,0.0,5.0
4,6,0,7,0,0,6,FP1,,
0,1,1,2,0,0,6,FP2,,
5,5,1,8,0,0,6,FP3,,
4,1,0,5,0,0,6,Qualifying,,
5,3,0,7,0,1,6,Race,0.0,3.0
6,1,0,4,0,1,16,FP1,,
2,0,0,2,0,0,16,FP2,,
1,0,0,1,0,0,16,FP3,,
2,0,0,2,0,0,16,Qualifying,,
6,0,0,6,0,0,16,Race,0.0,0.0
6,8,0,7,0,0,15,FP1,,
6,4,0,7,0,0,15,FP2,,
1,1,0,2,0,0,15,FP3,,
1,0,0,1,0,0,15,Qualifying,,
1,3,0,3,1,0,15,Race,4.0,0.0
14,1,0,16,0,2,5,FP1,,
11,2,0,12,0,2,5,FP2,,
5,1,1,5,0,0,5,FP3,,
4,1,0,4,0,0,5,Qualifying,,
5,3,0,8,1,1,5,Race,6.0,2.0
3,1,1,5,0,0,18,FP1,,
3,0,0,3,0,0,18,FP2,,
2,0,0,2,0,0,18,FP3,,
0,0,0,2,0,0,18,Qualifying,,
8,1,0,16,0,1,18,Race,0.0,2.0
2,1,2,13,0,0,42,FP1,,
2,2,1,4,0,0,42,FP2,,
0,0,0,0,0,0,42,FP3,,
1,0,0,1,0,0,42,Qualifying,,
1,0,0,1,0,0,42,Race,0.0,0.0
4,1,1,4,0,0,22,FP1,,
5,2,0,6,0,0,22,FP2,,
0,1,0,2,0,0,22,FP3,,
1,0,0,1,0,0,22,Qualifying,,
2,0,0,2,0,0,22,Race,0.0,0.0
0,0,1,2,0,0,30,FP1,,
8,0,2,10,0,0,30,FP2,,
0,0,0,0,0,0,30,FP3,,
0,0,0,0,0,0,30,Qualifying,,
0,0,0,0,0,0,30,Race,0.0,0.0
8,21,1,28,0,0,25,FP1,,
18,3,2,20,0,0,25,FP2,,
3,0,0,3,0,0,25,FP3,,
7,6,2,15,0,0,25,Qualifying,,
2,10,0,15,0,1,25,Race,0.0,2.0
3,4,0,6,0,0,23,FP1,,
3,5,0,7,0,0,23,FP2,,
3,5,0,7,0,0,23,FP3,,
0,0,0,0,0,0,23,Qualifying,,
11,11,0,20,1,0,23,Race,0.0,0.0
4,2,0,4,0,1,34,FP1,,
2,0,1,3,0,1,34,FP2,,
3,1,1,4,0,0,34,FP3,,
2,0,2,3,0,0,34,Qualifying,,
4,10,0,9,2,0,34,Race,5.0,0.0
2,0,1,5,0,0,41,FP1,,
4,1,2,7,0,1,41,FP2,,
0,0,0,0,0,0,41,FP3,,
1,1,0,1,0,0,41,Qualifying,,
1,6,0,8,2,0,41,Race,10.0,0.0
