driver_name,driver_id,race_id,session,avg_pace_soft,std_pace_soft,laps_on_soft,deg_rate_soft,avg_pace_medium,std_pace_medium,laps_on_medium,deg_rate_medium,avg_pace_hard,std_pace_hard,laps_on_hard,deg_rate_hard,avg_pace_intermediate,std_pace_intermediate,laps_on_intermediate,deg_rate_intermediate,avg_pace_wet,std_pace_wet,laps_on_wet,deg_rate_wet
ALO,12.0,21,FP1,116.50228571428572,15.50162596738333,7,2.1066370967741945,,,0,,,,0,,,,0,,,,0,
BOT,83.0,21,FP1,111.92614285714284,12.62674326214655,14,0.1589266484243973,,,0,,,,0,,,,0,,,,0,
ERI,89.0,21,FP1,110.33144444444444,12.705897223215436,9,0.8682358427714857,,,0,,,,0,,,,0,,,,0,
GAS,104.0,21,FP1,114.51142857142858,20.044372540207192,7,1.953476359338062,,,0,,,,0,,,,0,,,,0,
GIO,102.0,21,FP1,107.65263636363636,11.337858658436245,11,0.3217411545623835,,,0,,,,0,,,,0,,,,0,
GRO,67.0,21,FP1,106.9481,6.59076005404536,10,-0.3003307155322863,,,0,,,,0,,,,0,,,,0,
HAM,57.0,21,FP1,108.84981818181818,13.774141899147518,11,0.3211810810810813,,,0,,,,0,,,,0,,,,0,
HAR,105.0,21,FP1,115.80199999999998,13.205313344761397,15,-0.2596652328408455,,,0,,,,0,,,,0,,,,0,
HUL,70.0,21,FP1,116.91936363636364,17.59493037146949,11,-0.5524385672636409,,,0,,,,0,,,,0,,,,0,
KUB,56.0,21,FP1,119.11493333333334,17.639609237798386,15,-0.1954040764624598,,,0,,,,0,,,,0,,,,0,
MAG,87.0,21,FP1,110.697,15.643884063748365,10,1.572616441842707,,,0,,,,0,,,,0,,,,0,
OCO,101.0,21,FP1,106.943,11.06611486962305,13,-0.2781579328664572,,,0,,,,0,,,,0,,,,0,
PER,75.0,21,FP1,112.76863636363638,15.215991141336248,11,-1.018799054373523,,,0,,,,0,,,,0,,,,0,
RAI,6.0,21,FP1,109.2301,12.368359991931026,10,0.0526537743398242,,,0,,,,0,,,,0,,,,0,
RIC,79.0,21,FP1,105.734125,8.047549059146826,8,0.2620212765957443,,,0,,,,0,,,,0,,,,0,
SAI,93.0,21,FP1,103.396125,2.132944234942632,8,0.2423695955369598,,,0,,,,0,,,,0,,,,0,
STR,103.0,21,FP1,116.729625,15.101465872039544,8,0.9267035794183452,,,0,,,,0,,,,0,,,,0,
VAN,100.0,21,FP1,115.625,18.071619069075624,9,-0.6206237458193972,,,0,,,,0,,,,0,,,,0,
VER,94.0,21,FP1,108.43478571428572,14.348915216233353,14,1.461500236183278,,,0,,,,0,,,,0,,,,0,
VET,60.0,21,FP1,110.21477777777778,15.42881676731907,9,-0.1063518815052044,,,0,,,,0,,,,0,,,,0,
ALO,12.0,21,FP2,107.47084,8.905181011882917,25,0.0829215771230503,,,0,,,,0,,,,0,,,,0,
BOT,83.0,21,FP2,110.149,14.361613192813683,24,0.4650368128272252,,,0,,,,0,,,,0,,,,0,
ERI,89.0,21,FP2,105.5613181818182,8.292731430631195,22,0.0217867757555517,,,0,,,,0,,,,0,,,,0,
GAS,104.0,21,FP2,107.2124761904762,9.152508725137537,21,0.5663627586206896,,,0,,,,0,,,,0,,,,0,
GRO,67.0,21,FP2,109.11750000000002,11.009314590382091,20,0.0123719806763283,,,0,,,,0,,,,0,,,,0,
HAM,57.0,21,FP2,103.75947368421052,3.5362055097522567,19,0.1888861617158753,,,0,,,,0,,,,0,,,,0,
HAR,105.0,21,FP2,109.30176000000002,12.15528197050155,25,-0.2999171985450551,,,0,,,,0,,,,0,,,,0,
HUL,70.0,21,FP2,108.57296296296296,10.548066434998724,27,0.3804825060324026,,,0,,,,0,,,,0,,,,0,
LEC,106.0,21,FP2,111.61995652173913,15.89031382697802,23,-0.0004733535024436,,,0,,,,0,,,,0,,,,0,
MAG,87.0,21,FP2,108.03477777777776,11.262585841604324,18,0.2536653838933737,,,0,,,,0,,,,0,,,,0,
OCO,101.0,21,FP2,109.85422727272729,12.506366189526394,22,-0.7406476243711572,,,0,,,,0,,,,0,,,,0,
PER,75.0,21,FP2,110.95933333333336,13.478648315491371,21,-0.3547924354790863,,,0,,,,0,,,,0,,,,0,
RAI,6.0,21,FP2,108.54625,12.064683308332516,28,-0.2654338153503894,,,0,,,,0,,,,0,,,,0,
RIC,79.0,21,FP2,107.80819047619046,12.604227305301931,21,0.2610415041033231,,,0,,,,0,,,,0,,,,0,
SAI,93.0,21,FP2,106.88762962962964,8.756998057207559,27,0.0563322098167264,,,0,,,,0,,,,0,,,,0,
SIR,107.0,21,FP2,109.06944444444444,11.907133658047904,27,0.2163154850787847,,,0,,,,0,,,,0,,,,0,
STR,103.0,21,FP2,105.30995,3.7936728176662777,20,0.3746076561275151,,,0,,,,0,,,,0,,,,0,
VAN,100.0,21,FP2,113.34485714285712,15.947618294444664,7,-0.5073094170403579,,,0,,,,0,,,,0,,,,0,
VER,94.0,21,FP2,105.17315,7.777532631079087,20,-0.0264857166583623,,,0,,,,0,,,,0,,,,0,
VET,60.0,21,FP2,108.13666666666666,12.268362524682626,27,-0.3518457382953183,,,0,,,,0,,,,0,,,,0,
ALO,12.0,21,FP3,117.376,20.383439562546847,5,4.8467886178861805,,,0,,,,0,,,,0,,,,0,
BOT,83.0,21,FP3,116.2522,22.11020964531996,5,4.350733990147782,,,0,,,,0,,,,0,,,,0,
ERI,89.0,21,FP3,108.013625,12.348407720608153,8,0.6234678633468435,,,0,,,,0,,,,0,,,,0,
GAS,104.0,21,FP3,109.005,9.265,2,,,,0,,,,0,,,,0,,,,0,
GRO,67.0,21,FP3,117.3056,20.75112456326163,5,5.399479729729732,,,0,,,,0,,,,0,,,,0,
HAM,57.0,21,FP3,117.97060000000002,24.47447885124421,5,4.719712550607292,,,0,,,,0,,,,0,,,,0,
HAR,105.0,21,FP3,105.92620000000002,12.35346182088244,5,1.6138110599078346,,,0,,,,0,,,,0,,,,0,
HUL,70.0,21,FP3,118.8458888888889,17.422614266422336,9,-0.2652376712328774,,,0,,,,0,,,,0,,,,0,
LEC,106.0,21,FP3,129.07899999999998,17.918917726804814,4,6.585172413793101,,,0,,,,0,,,,0,,,,0,
MAG,87.0,21,FP3,115.6054,15.866910872630502,5,0.8708622754491028,,,0,,,,0,,,,0,,,,0,
OCO,101.0,21,FP3,99.156,0.1450000000000031,2,,,,0,,,,0,,,,0,,,,0,
PER,75.0,21,FP3,124.56428571428572,22.005774610408096,7,-0.053965767634855,,,0,,,,0,,,,0,,,,0,
RAI,6.0,21,FP3,107.953,11.020462875941282,8,-0.2070447761194022,,,0,,,,0,,,,0,,,,0,
