driver_name,driver_id,race_id,session,avg_pace_soft,std_pace_soft,laps_on_soft,deg_rate_soft,avg_pace_medium,std_pace_medium,laps_on_medium,deg_rate_medium,avg_pace_hard,std_pace_hard,laps_on_hard,deg_rate_hard,avg_pace_intermediate,std_pace_intermediate,laps_on_intermediate,deg_rate_intermediate,avg_pace_wet,std_pace_wet,laps_on_wet,deg_rate_wet
ALO,12.0,21,FP1,,,0,,,,0,,,,0,,,,0,,,,0,
BOT,83.0,21,FP1,,,0,,,,0,,,,0,,,,0,,,,0,
ERI,89.0,21,FP1,,,0,,,,0,,,,0,,,,0,,,,0,
GAS,104.0,21,FP1,,,0,,,,0,,,,0,,,,0,,,,0,
GIO,102.0,21,FP1,,,0,,,,0,,,,0,,,,0,,,,0,
GRO,67.0,21,FP1,,,0,,,,0,,,,0,,,,0,,,,0,
HAM,57.0,21,FP1,,,0,,,,0,,,,0,,,,0,,,,0,
HAR,105.0,21,FP1,,,0,,,,0,,,,0,,,,0,,,,0,
HUL,70.0,21,FP1,,,0,,,,0,,,,0,,,,0,,,,0,
KUB,56.0,21,FP1,,,0,,,,0,,,,0,,,,0,,,,0,
MAG,87.0,21,FP1,,,0,,,,0,,,,0,,,,0,,,,0,
OCO,101.0,21,FP1,,,0,,,,0,,,,0,,,,0,,,,0,
PER,75.0,21,FP1,,,0,,,,0,,,,0,,,,0,,,,0,
RAI,6.0,21,FP1,,,0,,,,0,,,,0,,,,0,,,,0,
RIC,79.0,21,FP1,,,0,,,,0,,,,0,,,,0,,,,0,
SAI,93.0,21,FP1,,,0,,,,0,,,,0,,,,0,,,,0,
STR,103.0,21,FP1,,,0,,,,0,,,,0,,,,0,,,,0,
VAN,100.0,21,FP1,,,0,,,,0,,,,0,,,,0,,,,0,
VER,94.0,21,FP1,,,0,,,,0,,,,0,,,,0,,,,0,
VET,60.0,21,FP1,,,0,,,,0,,,,0,,,,0,,,,0,
ALO,12.0,21,FP2,,,0,,,,0,,,,0,,,,0,,,,0,
BOT,83.0,21,FP2,,,0,,,,0,,,,0,,,,0,,,,0,
ERI,89.0,21,FP2,,,0,,,,0,,,,0,,,,0,,,,0,
GAS,104.0,21,FP2,,,0,,,,0,,,,0,,,,0,,,,0,
GRO,67.0,21,FP2,,,0,,,,0,,,,0,,,,0,,,,0,
HAM,57.0,21,FP2,,,0,,,,0,,,,0,,,,0,,,,0,
HAR,105.0,21,FP2,,,0,,,,0,,,,0,,,,0,,,,0,
HUL,70.0,21,FP2,,,0,,,,0,,,,0,,,,0,,,,0,
LEC,106.0,21,FP2,,,0,,,,0,,,,0,,,,0,,,,0,
MAG,87.0,21,FP2,,,0,,,,0,,,,0,,,,0,,,,0,
OCO,101.0,21,FP2,,,0,,,,0,,,,0,,,,0,,,,0,
PER,75.0,21,FP2,,,0,,,,0,,,,0,,,,0,,,,0,
RAI,6.0,21,FP2,,,0,,,,0,,,,0,,,,0,,,,0,
RIC,79.0,21,FP2,,,0,,,,0,,,,0,,,,0,,,,0,
SAI,93.0,21,FP2,,,0,,,,0,,,,0,,,,0,,,,0,
SIR,107.0,21,FP2,,,0,,,,0,,,,0,,,,0,,,,0,
STR,103.0,21,FP2,,,0,,,,0,,,,0,,,,0,,,,0,
VAN,100.0,21,FP2,,,0,,,,0,,,,0,,,,0,,,,0,
VER,94.0,21,FP2,,,0,,,,0,,,,0,,,,0,,,,0,
VET,60.0,21,FP2,,,0,,,,0,,,,0,,,,0,,,,0,
ALO,12.0,21,FP3,,,0,,,,0,,,,0,,,,0,,,,0,
BOT,83.0,21,FP3,,,0,,,,0,,,,0,,,,0,,,,0,
ERI,89.0,21,FP3,,,0,,,,0,,,,0,,,,0,,,,0,
GAS,104.0,21,FP3,,,0,,,,0,,,,0,,,,0,,,,0,
GRO,67.0,21,FP3,,,0,,,,0,,,,0,,,,0,,,,0,
HAM,57.0,21,FP3,,,0,,,,0,,,,0,,,,0,,,,0,
HAR,105.0,21,FP3,,,0,,,,0,,,,0,,,,0,,,,0,
HUL,70.0,21,FP3,,,0,,,,0,,,,0,,,,0,,,,0,
LEC,106.0,21,FP3,,,0,,,,0,,,,0,,,,0,,,,0,
MAG,87.0,21,FP3,,,0,,,,0,,,,0,,,,0,,,,0,
OCO,101.0,21,FP3,,,0,,,,0,,,,0,,,,0,,,,0,
PER,75.0,21,FP3,,,0,,,,0,,,,0,,,,0,,,,0,
RAI,6.0,21,FP3,,,0,,,,0,,,,0,,,,0,,,,0,
RIC,79.0,21,FP3,,,0,,,,0,,,,0,,,,0,,,,0,
SAI,93.0,21,FP3,,,0,,,,0,,,,0,,,,0,,,,0,
SIR,107.0,21,FP3,,,0,,,,0,,,,0,,,,0,,,,0,
STR,103.0,21,FP3,,,0,,,,0,,,,0,,,,0,,,,0,
VAN,100.0,21,FP3,,,0,,,,0,,,,0,,,,0,,,,0,
VER,94.0,21,FP3,,,0,,,,0,,,,0,,,,0,,,,0,
VET,60.0,21,FP3,,,0,,,,0,,,,0,,,,0,,,,0,
ALO,12.0,21,Qualifying,,,0,,,,0,,,,0,,,,0,,,,0,
BOT,83.0,21,Qualifying,,,0,,,,0,,,,0,,,,0,,,,0,
ERI,89.0,21,Qualifying,,,0,,,,0,,,,0,,,,0,,,,0,
GAS,104.0,21,Qualifying,,,0,,,,0,,,,0,,,,0,,,,0,
GRO,67.0,21,Qualifying,,,0,,,,0,,,,0,,,,0,,,,0,
HAM,57.0,21,Qualifying,,,0,,,,0,,,,0,,,,0,,,,0,
HAR,105.0,21,Qualifying,,,0,,,,0,,,,0,,,,0,,,,0,
HUL,70.0,21,Qualifying,,,0,,,,0,,,,0,,,,0,,,,0,
LEC,106.0,21,Qualifying,,,0,,,,0,,,,0,,,,0,,,,0,
MAG,87.0,21,Qualifying,,,0,,,,0,,,,0,,,,0,,,,0,
OCO,101.0,21,Qualifying,,,0,,,,0,,,,0,,,,0,,,,0,
PER,75.0,21,Qualifying,,,0,,,,0,,,,0,,,,0,,,,0,
RAI,6.0,21,Qualifying,,,0,,,,0,,,,0,,,,0,,,,0,
RIC,79.0,21,Qualifying,,,0,,,,0,,,,0,,,,0,,,,0,
SAI,93.0,21,Qualifying,,,0,,,,0,,,,0,,,,0,,,,0,
SIR,107.0,21,Qualifying,,,0,,,,0,,,,0,,,,0,,,,0,
STR,103.0,21,Qualifying,,,0,,,,0,,,,0,,,,0,,,,0,
VAN,100.0,21,Qualifying,,,0,,,,0,,,,0,,,,0,,,,0,
VER,94.0,21,Qualifying,,,0,,,,0,,,,0,,,,0,,,,0,
VET,60.0,21,Qualifying,,,0,,,,0,,,,0,,,,0,,,,0,
ALO,12.0,21,Race,,,0,,,,0,,,,0,,,,0,,,,0,
BOT,83.0,21,Race,,,0,,,,0,,,,0,,,,0,,,,0,
ERI,89.0,21,Race,,,0,,,,0,,,,0,,,,0,,,,0,
GAS,104.0,21,Race,,,0,,,,0,,,,0,,,,0,,,,0,
GRO,67.0,21,Race,,,0,,,,0,,,,0,,,,0,,,,0,
HAM,57.0,21,Race,,,0,,,,0,,,,0,,,,0,,,,0,
HAR,105.0,21,Race,,,0,,,,0,,,,0,,,,0,,,,0,
LEC,106.0,21,Race,,,0,,,,0,,,,0,,,,0,,,,0,
MAG,87.0,21,Race,,,0,,,,0,,,,0,,,,0,,,,0,
OCO,101.0,21,Race,,,0,,,,0,,,,0,,,,0,,,,0,
PER,75.0,21,Race,,,0,,,,0,,,,0,,,,0,,,,0,
RAI,6.0,21,Race,,,0,,,,0,,,,0,,,,0,,,,0,
RIC,79.0,21,Race,,,0,,,,0,,,,0,,,,0,,,,0,
SAI,93.0,21,Race,,,0,,,,0,,,,0,,,,0,,,,0,
SIR,107.0,21,Race,,,0,,,,0,,,,0,,,,0,,,,0,
STR,103.0,21,Race,,,0,,,,0,,,,0,,,,0,,,,0,
VAN,100.0,21,Race,,,0,,,,0,,,,0,,,,0,,,,0,
VER,94.0,21,Race,,,0,,,,0,,,,0,,,,0,,,,0,
VET,60.0,21,Race,,,0,,,,0,,,,0,,,,0,,,,0,
ALO,12.0,1,FP1,,,0,,,,0,,,,0,,,,0,,,,0,
BOT,83.0,1,FP1,,,0,,,,0,,,,0,,,,0,,,,0,
ERI,89.0,1,FP1,,,0,,,,0,,,,0,,,,0,,,,0,
GAS,104.0,1,FP1,,,0,,,,0,,,,0,,,,0,,,,0,
GRO,67.0,1,FP1,,,0,,,,0,,,,0,,,,0,,,,0,
HAM,57.0,1,FP1,,,0,,,,0,,,,0,,,,0,,,,0,
HAR,105.0,1,FP1,89.755,1.4469999999999956,2,,,,0,,,,0,,,,0,,,,0,
HUL,70.0,1,FP1,95.6845,8.341628513066256,4,-4.386199999999999,,,0,,,,0,,,,0,,,,0,
LEC,106.0,1,FP1,,,0,,,,0,,,,0,,,,0,,,,0,
MAG,87.0,1,FP1,,,0,,,,0,,,,0,,,,0,,,,0,
