race_id,driver_id,team_id,stop_number,stop_lap,pits_time
1,105,9,1,1,22.213
1,6,1,1,18,21.421
1,57,2,1,19,21.821
1,106,7,1,20,22.242
1,94,3,1,21,20.953
1,87,10,1,22,21.983
1,93,5,1,22,23.868
1,105,9,2,22,22.296
1,101,6,1,23,21.854
1,67,10,1,24,23.054
1,70,5,1,24,22.628
1,75,6,1,24,22.327
1,100,4,1,25,22.474
1,83,2,1,25,21.664
1,103,8,1,25,25.504
1,60,1,1,26,21.787
1,79,3,1,26,21.440
1,12,4,1,26,22.573
1,106,7,2,27,22.836
1,103,8,2,29,21.397
2,94,3,1,2,30.381
2,106,7,1,3,25.563
2,75,6,1,9,24.992
2,100,4,1,10,25.081
2,103,8,1,10,33.612
2,87,10,1,13,25.106
2,12,4,1,14,24.993
2,104,9,1,15,24.835
2,70,5,1,15,24.454
2,101,6,1,15,24.719
2,93,5,1,16,25.768
2,60,1,1,18,24.524
2,67,10,1,18,25.011
2,6,1,1,19,25.018
2,83,2,1,20,26.105
2,105,9,1,20,36.646
2,107,8,1,22,24.672
2,89,7,1,23,25.194
2,57,2,1,26,24.302
2,93,5,2,26,25.307
2,87,10,2,27,24.629
2,100,4,2,28,25.131
2,67,10,2,30,25.527
2,103,8,2,30,24.638
2,75,6,2,32,24.677
2,104,9,2,34,24.957
2,106,7,2,34,25.139
2,101,6,2,35,24.596
2,70,5,2,39,24.382
2,12,4,2,39,24.581
2,107,8,2,40,25.693
2,105,9,2,42,24.953
2,67,10,3,45,26.263
3,105,9,1,10,23.172
3,101,6,1,11,23.281
3,93,5,1,12,23.935
3,75,6,1,12,22.856
3,70,5,1,13,23.654
3,67,10,1,16,22.981
3,94,3,1,17,22.715
3,79,3,1,17,23.042
3,57,2,1,18,22.464
3,83,2,1,19,22.097
3,60,1,1,20,23.009
3,104,9,1,20,23.950
3,106,7,1,21,23.392
3,100,4,1,22,23.730
3,103,8,1,23,22.661
3,87,10,1,24,22.973
3,6,1,1,27,22.913
3,107,8,1,28,23.716
3,12,4,1,29,24.110
3,89,7,1,29,22.785
3,94,3,2,31,22.596
3,105,9,2,30,24.070
3,79,3,2,31,22.691
3,70,5,2,31,23.297
3,93,5,2,31,23.117
3,101,6,2,31,22.637
3,104,9,2,31,34.650
3,75,6,2,32,22.334
3,107,8,2,33,22.723
3,67,10,2,46,23.735
4,6,1,1,1,30.012
4,105,9,1,1,21.376
4,12,4,1,1,56.710
4,87,10,1,1,35.608
4,89,7,1,1,44.107
4,75,6,1,2,28.109
4,67,10,1,2,21.725
4,104,9,1,12,20.782
4,93,5,1,15,21.516
4,100,4,1,17,21.103
4,89,7,2,18,25.378
4,57,2,1,22,20.377
4,105,9,2,22,20.809
4,103,8,1,23,19.737
4,106,7,1,24,21.058
4,100,4,2,25,20.887
4,60,1,1,30,20.037
4,79,3,1,37,19.925
4,89,7,3,36,32.629
4,94,3,1,38,19.765
4,83,2,1,40,20.192
4,60,1,2,40,20.823
4,87,10,2,39,21.778
4,57,2,2,40,21.329
4,104,9,2,39,21.287
4,105,9,3,39,21.072
4,6,1,2,40,21.149
4,100,4,3,39,20.760
4,75,6,2,40,26.174
4,67,10,2,40,22.757
4,93,5,2,40,20.967
4,106,7,2,40,22.030
4,103,8,2,40,21.236
4,12,4,2,40,21.371
4,89,7,4,39,14.998
4,100,4,4,46,20.978
5,105,9,1,1,22.631
5,107,8,1,1,22.049
5,60,1,1,17,22.054
5,83,2,1,19,23.213
5,106,7,1,20,21.995
5,103,8,1,20,21.351
5,12,4,1,21,21.721
5,107,8,2,24,22.034
5,57,2,1,25,22.085
5,93,5,1,25,22.409
5,75,6,1,26,22.438
5,101,6,1,29,47.910
5,87,10,1,32,22.917
5,79,3,1,33,21.618
5,105,9,2,33,22.472
5,94,3,1,34,21.740
5,100,4,1,34,27.416
5,89,7,1,35,22.100
5,60,1,2,41,24.273
5,75,6,2,40,22.242
5,107,8,3,41,23.865
6,107,8,1,7,31.810
6,103,8,1,9,33.887
6,57,2,1,12,23.739
6,105,9,1,13,24.326
6,106,7,1,14,23.870
6,67,10,1,15,24.741
6,60,1,1,16,23.964
6,93,5,1,16,24.874
6,79,3,1,17,24.542
6,6,1,1,17,24.263
6,83,2,1,17,24.020
6,87,10,1,17,24.237
6,89,7,1,17,24.291
6,12,4,1,19,24.241
6,107,8,2,19,25.170
6,100,4,1,20,26.817
6,75,6,1,21,29.379
6,101,6,1,23,24.663
6,103,8,2,34,31.104
6,104,9,1,37,24.296
6,94,3,1,47,24.111
6,107,8,3,49,25.563
6,70,5,1,50,25.213
6,103,8,3,59,24.852
6,67,10,2,68,24.568
6,100,4,2,72,25.438
7,100,4,1,1,41.008
7,89,7,1,1,23.529
7,75,6,1,9,24.086
7,101,6,1,11,25.353
7,70,5,1,13,24.521
7,93,5,1,14,24.416
7,94,3,1,16,23.137
7,57,2,1,16,23.335
7,79,3,1,17,23.279
7,12,4,1,18,23.099
7,106,7,1,19,23.666
7,87,10,1,22,24.008
7,104,9,1,23,24.107
7,107,8,1,26,23.531
7,6,1,1,32,23.645
7,83,2,1,36,23.775
7,60,1,1,37,23.529
7,75,6,2,44,23.718
7,67,10,1,48,24.400
7,100,4,2,48,23.537
8,103,8,1,1,26.576
8,107,8,1,1,26.273
8,60,1,1,1,32.612
8,12,4,1,1,25.789
8,83,2,1,1,27.955
8,94,3,1,25,24.395
8,93,5,1,26,25.423
8,79,3,1,28,24.309
8,87,10,1,28,25.419
8,106,7,1,31,25.026
8,57,2,1,33,24.310
8,6,1,1,34,24.289
8,67,10,1,34,29.996
8,89,7,1,35,24.295
8,70,5,1,37,25.016
8,105,9,1,38,24.297
