date,driver_id,team_id,stop_number,stop_lap,pits_time
18 - 20 MAR 2016,87,13,1,1,27.831
18 - 20 MAR 2016,93,16,1,8,22.414
18 - 20 MAR 2016,92,3,1,10,22.701
18 - 20 MAR 2016,30,11,1,11,21.550
18 - 20 MAR 2016,98,29,1,11,26.206
18 - 20 MAR 2016,89,3,1,11,22.357
18 - 20 MAR 2016,51,22,1,12,21.531
18 - 20 MAR 2016,79,14,1,12,22.245
18 - 20 MAR 2016,12,2,1,12,21.796
18 - 20 MAR 2016,97,13,1,12,23.286
18 - 20 MAR 2016,99,29,1,12,23.224
18 - 20 MAR 2016,60,1,1,13,21.339
18 - 20 MAR 2016,94,16,1,13,22.303
18 - 20 MAR 2016,14,2,1,15,22.616
18 - 20 MAR 2016,6,1,1,16,22.508
18 - 20 MAR 2016,57,22,1,16,21.940
18 - 20 MAR 2016,70,20,1,16,22.167
18 - 20 MAR 2016,75,20,1,16,24.719
18 - 20 MAR 2016,83,11,1,17,21.376
18 - 20 MAR 2016,87,13,2,16,22.079
18 - 20 MAR 2016,60,1,2,18,18:09.312
18 - 20 MAR 2016,51,22,2,18,18:09.303
18 - 20 MAR 2016,6,1,2,18,18:09.365
18 - 20 MAR 2016,79,14,2,18,18:09.822
18 - 20 MAR 2016,94,16,2,18,18:09.372
18 - 20 MAR 2016,93,16,2,18,18:09.971
18 - 20 MAR 2016,57,22,2,18,18:10.087
18 - 20 MAR 2016,30,11,2,18,18:09.805
18 - 20 MAR 2016,67,28,1,18,18:09.417
18 - 20 MAR 2016,70,20,2,18,18:09.155
18 - 20 MAR 2016,83,11,2,18,18:08.989
18 - 20 MAR 2016,97,13,2,18,18:08.294
18 - 20 MAR 2016,75,20,2,18,18:07.311
18 - 20 MAR 2016,89,3,2,18,18:06.875
18 - 20 MAR 2016,14,2,2,18,18:04.466
18 - 20 MAR 2016,92,3,2,18,18:02.337
18 - 20 MAR 2016,98,29,2,18,18:02.140
18 - 20 MAR 2016,87,13,3,17,15:46.318
18 - 20 MAR 2016,89,3,3,27,16.936
18 - 20 MAR 2016,14,2,3,30,21.837
18 - 20 MAR 2016,93,16,3,31,22.392
18 - 20 MAR 2016,94,16,3,32,29.066
18 - 20 MAR 2016,98,29,3,32,23.895
18 - 20 MAR 2016,60,1,3,35,24.548
18 - 20 MAR 2016,79,14,3,42,21.981
