driver_id,race_id,team_id,session,lap_time,lap_count,position
107,1,2,Practice 1,0:01:24.026000,27,1
113,1,2,Practice 1,0:01:24.577000,29,2
111,1,3,Practice 1,0:01:24.771000,26,3
108,1,1,Practice 1,0:01:24.875000,23,4
106,1,1,Practice 1,0:01:24.995000,22,5
109,1,3,Practice 1,0:01:25.063000,25,6
121,1,10,Practice 1,0:01:25.730000,24,7
110,1,4,Practice 1,0:01:25.896000,16,8
115,1,5,Practice 1,0:01:25.922000,23,9
114,1,4,Practice 1,0:01:26.482000,15,10
123,1,9,Practice 1,0:01:26.494000,25,11
125,1,8,Practice 1,0:01:26.536000,25,12
112,1,5,Practice 1,0:01:26.583000,25,13
117,1,6,Practice 1,0:01:26.605000,30,14
119,1,8,Practice 1,0:01:26.636000,30,15
116,1,6,Practice 1,0:01:26.767000,26,16
122,1,10,Practice 1,0:01:27.035000,13,17
120,1,9,Practice 1,0:01:27.745000,16,18
124,1,7,Practice 1,0:01:27.964000,28,19
118,1,7,Practice 1,0:01:28.853000,28,20
107,1,2,Practice 2,0:01:23.931000,35,1
111,1,3,Practice 2,0:01:24.058000,34,2
113,1,2,Practice 2,0:01:24.159000,34,3
108,1,1,Practice 2,0:01:24.214000,39,4
106,1,1,Practice 2,0:01:24.451000,38,5
121,1,10,Practice 2,0:01:24.648000,34,6
109,1,3,Practice 2,0:01:24.721000,28,7
110,1,4,Practice 2,0:01:25.200000,28,8
122,1,10,Practice 2,0:01:25.246000,30,9
114,1,4,Practice 2,0:01:25.285000,34,10
115,1,5,Practice 2,0:01:25.390000,35,11
116,1,6,Practice 2,0:01:25.413000,30,12
112,1,5,Practice 2,0:01:25.463000,35,13
119,1,8,Practice 2,0:01:25.543000,32,14
117,1,6,Practice 2,0:01:25.888000,33,15
120,1,9,Practice 2,0:01:25.925000,41,16
123,1,9,Practice 2,0:01:25.945000,39,17
125,1,8,Practice 2,0:01:25.974000,37,18
124,1,7,Practice 2,0:01:26.814000,31,19
118,1,7,Practice 2,0:01:26.815000,35,20
106,1,1,Practice 3,0:01:26.067000,15,1
108,1,1,Practice 3,0:01:28.499000,13,2
124,1,7,Practice 3,0:01:28.890000,14,3
111,1,3,Practice 3,0:01:31.680000,8,4
115,1,5,Practice 3,0:01:33.172000,11,5
109,1,3,Practice 3,0:01:34.043000,14,6
113,1,2,Practice 3,0:01:34.174000,14,7
107,1,2,Practice 3,0:01:34.225000,7,8
114,1,4,Practice 3,0:01:34.233000,15,9
110,1,4,Practice 3,0:01:34.298000,13,10
123,1,9,Practice 3,0:01:34.990000,16,11
120,1,9,Practice 3,0:01:35.438000,16,12
125,1,8,Practice 3,0:01:35.589000,16,13
119,1,8,Practice 3,0:01:35.828000,8,14
121,1,10,Practice 3,0:01:36.171000,6,15
118,1,7,Practice 3,0:01:36.448000,12,16
122,1,10,Practice 3,0:01:36.807000,7,17
112,1,5,Practice 3,0:01:38.482000,8,18
117,1,6,Practice 3,NULL,1,19
116,1,6,Practice 3,NULL,1,20
109,2,3,Practice 1,0:01:31.060000,14,1
113,2,2,Practice 1,0:01:31.364000,24,2
108,2,1,Practice 1,0:01:31.458000,18,3
106,2,1,Practice 1,0:01:31.470000,17,4
107,2,2,Practice 1,0:01:32.272000,21,5
121,2,10,Practice 1,0:01:32.516000,23,6
123,2,9,Practice 1,0:01:32.779000,26,7
115,2,5,Practice 1,0:01:32.885000,21,8
122,2,10,Practice 1,0:01:32.971000,19,9
112,2,5,Practice 1,0:01:33.104000,18,10
110,2,4,Practice 1,0:01:33.223000,24,11
118,2,7,Practice 1,0:01:33.278000,20,12
114,2,4,Practice 1,0:01:33.364000,25,13
119,2,8,Practice 1,0:01:33.379000,22,14
125,2,8,Practice 1,0:01:33.467000,29,15
120,2,9,Practice 1,0:01:33.497000,27,16
124,2,7,Practice 1,0:01:33.508000,22,17
116,2,6,Practice 1,0:01:33.662000,26,18
117,2,6,Practice 1,0:01:33.794000,23,19
111,2,3,Practice 1,NULL,2,20
108,2,1,Practice 2,0:01:29.817000,32,1
106,2,1,Practice 2,0:01:29.828000,37,2
113,2,2,Practice 2,0:01:30.380000,31,3
107,2,2,Practice 2,0:01:30.472000,32,4
111,2,3,Practice 2,0:01:30.745000,32,5
