race_id,driver_id,team_id,session_type,lap_time,lap_count,position
1,60,1,practice3,1:26.067,15,1
1,6,1,practice3,+2.432s,13,2
1,89,3,practice3,+2.823s,14,3
1,94,14,practice3,+5.613s,8,4
1,93,13,practice3,+7.105s,11,5
1,79,14,practice3,+7.976s,14,6
1,83,22,practice3,+8.107s,14,7
1,57,22,practice3,+8.158s,7,8
1,100,2,practice3,+8.166s,15,9
1,12,2,practice3,+8.231s,13,10
1,104,16,practice3,+8.923s,16,11
1,105,16,practice3,+9.371s,16,12
1,107,11,practice3,+9.522s,16,13
1,103,11,practice3,+9.761s,8,14
1,67,28,practice3,+10.104s,6,15
1,106,3,practice3,+10.381s,12,16
1,87,28,practice3,+10.740s,7,17
1,70,13,practice3,+12.415s,8,18
1,101,20,practice3,,1,19
1,75,20,practice3,,1,20
2,6,1,practice3,1:29.868,15,1
2,94,14,practice3,+0.525s,8,2
2,79,14,practice3,+0.584s,8,3
2,57,22,practice3,+0.823s,14,4
2,60,1,practice3,+0.851s,8,5
2,83,22,practice3,+0.913s,16,6
2,70,13,practice3,+1.276s,11,7
2,93,13,practice3,+1.332s,12,8
2,104,16,practice3,+1.570s,18,9
2,12,2,practice3,+1.577s,13,10
2,105,16,practice3,+1.592s,18,11
2,67,28,practice3,+1.645s,14,12
2,101,20,practice3,+1.686s,17,13
2,75,20,practice3,+1.696s,14,14
2,87,28,practice3,+1.869s,14,15
2,89,3,practice3,+1.991s,17,16
2,100,2,practice3,+1.992s,14,17
2,106,3,practice3,+2.179s,19,18
2,107,11,practice3,+2.595s,11,19
2,103,11,practice3,+2.997s,12,20
3,60,1,practice3,1:33.018,14,1
3,6,1,practice3,+0.451s,21,2
3,83,22,practice3,+0.743s,16,3
3,94,14,practice3,+0.951s,14,4
3,57,22,practice3,+1.039s,14,5
3,87,28,practice3,+1.311s,25,6
3,75,20,practice3,+1.427s,14,7
3,101,20,practice3,+1.438s,16,8
3,93,13,practice3,+1.564s,20,9
3,107,11,practice3,+1.723s,13,10
3,70,13,practice3,+1.823s,16,11
3,12,2,practice3,+1.833s,13,12
3,100,2,practice3,+1.959s,16,13
3,105,16,practice3,+1.973s,20,14
3,79,14,practice3,+2.043s,4,15
3,104,16,practice3,+2.061s,16,16
3,103,11,practice3,+2.357s,16,17
3,106,3,practice3,+2.479s,14,18
3,89,3,practice3,+2.661s,13,19
3,67,28,practice3,+2.738s,6,20
4,60,1,practice3,1:43.091,17,1
4,57,22,practice3,+0.361s,16,2
4,6,1,practice3,+0.402s,17,3
4,94,14,practice3,+0.428s,17,4
4,83,22,practice3,+0.478s,20,5
4,75,20,practice3,+0.845s,9,6
4,87,28,practice3,+0.867s,11,7
4,103,11,practice3,+1.032s,8,8
4,101,20,practice3,+1.129s,11,9
4,107,11,practice3,+1.443s,9,10
4,12,2,practice3,+1.672s,12,11
4,79,14,practice3,+1.770s,17,12
4,104,16,practice3,+1.814s,16,13
4,106,3,practice3,+2.127s,15,14
4,67,28,practice3,+2.170s,12,15
4,93,13,practice3,+2.341s,15,16
4,70,13,practice3,+2.365s,11,17
4,100,2,practice3,+2.414s,13,18
4,89,3,practice3,+2.819s,17,19
4,105,16,practice3,+3.095s,11,20
5,56,11,practice1,+3.362s,24,19
5,57,22,practice3,1:17.281,15,1
5,83,22,practice3,+0.013s,19,2
5,60,1,practice3,+0.269s,16,3
5,6,1,practice3,+0.300s,17,4
5,79,14,practice3,+0.700s,16,5
5,87,28,practice3,+1.076s,15,6
5,67,28,practice3,+1.425s,16,7
5,93,13,practice3,+1.502s,16,8
5,12,2,practice3,+1.566s,14,9
5,104,16,practice3,+1.605s,17,10
5,70,13,practice3,+1.624s,16,11
5,94,14,practice3,+1.732s,5,12
5,101,20,practice3,+1.840s,20,13
5,100,2,practice3,+1.955s,17,14
5,106,3,practice3,+2.011s,19,15
5,75,20,practice3,+2.095s,17,16
5,105,16,practice3,+2.147s,23,17
5,89,3,practice3,+2.463s,17,18
5,103,11,practice3,+2.619s,15,19
5,107,11,practice3,+2.628s,13,20
6,79,14,practice3,1:11.786,23,1
6,94,14,practice3,+0.001s,14,2
6,60,1,practice3,+0.237s,23,3
6,6,1,practice3,+0.356s,26,4
6,57,22,practice3,+0.487s,26,5
6,83,22,practice3,+0.570s,27,6
6,105,16,practice3,+0.966s,25,7
6,104,16,practice3,+0.975s,23,8
6,93,13,practice3,+1.064s,24,9
6,107,11,practice3,+1.068s,23,10
6,100,2,practice3,+1.088s,25,11
6,101,20,practice3,+1.154s,23,12
6,75,20,practice3,+1.239s,22,13
