race_id,driver_id,team_id,session_type,lap_time,lap_count,position
1,57,22,practice1,1:24.026,27,1
1,83,22,practice1,+0.551s,29,2
1,94,14,practice1,+0.745s,26,3
1,6,1,practice1,+0.849s,23,4
1,60,1,practice1,+0.969s,22,5
1,79,14,practice1,+1.037s,25,6
1,67,28,practice1,+1.704s,24,7
1,12,2,practice1,+1.870s,16,8
1,93,13,practice1,+1.896s,23,9
1,100,2,practice1,+2.456s,15,10
1,104,16,practice1,+2.468s,25,11
1,107,11,practice1,+2.510s,25,12
1,70,13,practice1,+2.557s,25,13
1,101,20,practice1,+2.579s,30,14
1,103,11,practice1,+2.610s,30,15
1,75,20,practice1,+2.741s,26,16
1,87,28,practice1,+3.009s,13,17
1,105,16,practice1,+3.719s,16,18
1,89,3,practice1,+3.938s,28,19
1,106,3,practice1,+4.827s,28,20
1,57,22,practice2,1:23.931,35,1
1,94,14,practice2,+0.127s,34,2
1,83,22,practice2,+0.228s,34,3
1,6,1,practice2,+0.283s,39,4
1,60,1,practice2,+0.520s,38,5
1,67,28,practice2,+0.717s,34,6
1,79,14,practice2,+0.790s,28,7
1,12,2,practice2,+1.269s,28,8
1,87,28,practice2,+1.315s,30,9
1,100,2,practice2,+1.354s,34,10
1,93,13,practice2,+1.459s,35,11
1,75,20,practice2,+1.482s,30,12
1,70,13,practice2,+1.532s,35,13
1,103,11,practice2,+1.612s,32,14
1,101,20,practice2,+1.957s,33,15
1,105,16,practice2,+1.994s,41,16
1,104,16,practice2,+2.014s,39,17
1,107,11,practice2,+2.043s,37,18
1,89,3,practice2,+2.883s,31,19
1,106,3,practice2,+2.884s,35,20
1,60,1,practice3,1:26.067,15,1
1,6,1,practice3,+2.432s,13,2
1,89,3,practice3,+2.823s,14,3
1,94,14,practice3,+5.613s,8,4
1,93,13,practice3,+7.105s,11,5
1,79,14,practice3,+7.976s,14,6
1,83,22,practice3,+8.107s,14,7
1,57,22,practice3,+8.158s,7,8
1,100,2,practice3,+8.166s,15,9
1,12,2,practice3,+8.231s,13,10
1,104,16,practice3,+8.923s,16,11
1,105,16,practice3,+9.371s,16,12
1,107,11,practice3,+9.522s,16,13
1,103,11,practice3,+9.761s,8,14
1,67,28,practice3,+10.104s,6,15
1,106,3,practice3,+10.381s,12,16
1,87,28,practice3,+10.740s,7,17
1,70,13,practice3,+12.415s,8,18
1,101,20,practice3,,1,19
1,75,20,practice3,,1,20
2,79,14,practice1,1:31.060,14,1
2,83,22,practice1,+0.304s,24,2
2,6,1,practice1,+0.398s,18,3
2,60,1,practice1,+0.410s,17,4
2,57,22,practice1,+1.212s,21,5
2,67,28,practice1,+1.456s,23,6
2,104,16,practice1,+1.719s,26,7
2,93,13,practice1,+1.825s,21,8
2,87,28,practice1,+1.911s,19,9
2,70,13,practice1,+2.044s,18,10
2,12,2,practice1,+2.163s,24,11
2,106,3,practice1,+2.218s,20,12
2,100,2,practice1,+2.304s,25,13
2,103,11,practice1,+2.319s,22,14
2,107,11,practice1,+2.407s,29,15
2,105,16,practice1,+2.437s,27,16
2,89,3,practice1,+2.448s,22,17
2,75,20,practice1,+2.602s,26,18
2,101,20,practice1,+2.734s,23,19
2,94,14,practice1,,2,20
2,6,1,practice2,1:29.817,32,1
2,60,1,practice2,+0.011s,37,2
2,83,22,practice2,+0.563s,31,3
2,57,22,practice2,+0.655s,32,4
2,94,14,practice2,+0.928s,32,5
2,79,14,practice2,+0.934s,31,6
2,70,13,practice2,+1.403s,34,7
2,104,16,practice2,+1.415s,38,8
2,12,2,practice2,+1.465s,29,9
2,100,2,practice2,+1.605s,35,10
2,67,28,practice2,+1.774s,33,11
2,93,13,practice2,+1.784s,34,12
2,101,20,practice2,+1.992s,31,13
2,75,20,practice2,+2.051s,34,14
2,87,28,practice2,+2.152s,35,15
2,106,3,practice2,+2.555s,37,16
2,103,11,practice2,+2.565s,30,17
2,107,11,practice2,+2.657s,37,18
2,89,3,practice2,+2.916s,32,19
2,105,16,practice2,+3.091s,38,20
2,6,1,practice3,1:29.868,15,1
2,94,14,practice3,+0.525s,8,2
2,79,14,practice3,+0.584s,8,3
2,57,22,practice3,+0.823s,14,4
2,60,1,practice3,+0.851s,8,5
2,83,22,practice3,+0.913s,16,6
2,70,13,practice3,+1.276s,11,7
2,93,13,practice3,+1.332s,12,8
2,104,16,practice3,+1.570s,18,9
2,12,2,practice3,+1.577s,13,10
2,105,16,practice3,+1.592s,18,11
2,67,28,practice3,+1.645s,14,12
2,101,20,practice3,+1.686s,17,13
2,75,20,practice3,+1.696s,14,14
2,87,28,practice3,+1.869s,14,15
2,89,3,practice3,+1.991s,17,16
2,100,2,practice3,+1.992s,14,17
2,106,3,practice3,+2.179s,19,18
2,107,11,practice3,+2.595s,11,19
2,103,11,practice3,+2.997s,12,20
3,57,22,practice1,1:33.999,22,1
3,6,1,practice1,+0.359s,14,2
3,83,22,practice1,+0.458s,28,3
3,79,14,practice1,+0.538s,22,4
3,94,14,practice1,+0.669s,22,5
3,60,1,practice1,+0.862s,18,6
3,87,28,practice1,+1.179s,21,7
3,93,13,practice1,+1.617s,23,8
3,67,28,practice1,+1.719s,21,9
3,70,13,practice1,+1.801s,18,10
3,104,16,practice1,+2.038s,21,11
3,12,2,practice1,+2.045s,29,12
3,75,20,practice1,+2.052s,28,13
3,101,20,practice1,+2.352s,32,14
3,107,11,practice1,+2.692s,31,15
3,105,16,practice1,+2.716s,23,16
3,106,3,practice1,+2.724s,23,17
3,100,2,practice1,+2.757s,25,18
3,89,3,practice1,+2.910s,21,19
3,103,11,practice1,+3.278s,28,20
3,57,22,practice2,1:33.482,26,1
3,6,1,practice2,+0.007s,26,2
3,83,22,practice2,+0.033s,27,3
3,60,1,practice2,+0.108s,27,4
3,94,14,practice2,+0.341s,26,5
3,70,13,practice2,+0.831s,30,6
3,87,28,practice2,+0.976s,26,7
3,93,13,practice2,+0.991s,28,8
3,79,14,practice2,+1.075s,26,9
3,12,2,practice2,+1.150s,23,10
3,75,20,practice2,+1.310s,30,11
3,104,16,practice2,+1.367s,33,12
3,101,20,practice2,+1.392s,30,13
3,100,2,practice2,+1.681s,22,14
3,105,16,practice2,+1.851s,37,15
3,107,11,practice2,+1.858s,31,16
3,89,3,practice2,+2.142s,29,17
3,106,3,practice2,+2.434s,26,18
3,67,28,practice2,+2.989s,26,19
3,103,11,practice2,+3.665s,19,20
3,60,1,practice3,1:33.018,14,1
3,6,1,practice3,+0.451s,21,2
3,83,22,practice3,+0.743s,16,3
3,94,14,practice3,+0.951s,14,4
3,57,22,practice3,+1.039s,14,5
3,87,28,practice3,+1.311s,25,6
3,75,20,practice3,+1.427s,14,7
3,101,20,practice3,+1.438s,16,8
3,93,13,practice3,+1.564s,20,9
3,107,11,practice3,+1.723s,13,10
3,70,13,practice3,+1.823s,16,11
3,12,2,practice3,+1.833s,13,12
3,100,2,practice3,+1.959s,16,13
3,105,16,practice3,+1.973s,20,14
3,79,14,practice3,+2.043s,4,15
3,104,16,practice3,+2.061s,16,16
3,103,11,practice3,+2.357s,16,17
3,106,3,practice3,+2.479s,14,18
3,89,3,practice3,+2.661s,13,19
3,67,28,practice3,+2.738s,6,20
4,83,22,practice1,1:44.242,26,1
4,79,14,practice1,+0.035s,24,2
4,75,20,practice1,+0.833s,26,3
4,57,22,practice1,+0.958s,24,4
4,101,20,practice1,+0.995s,29,5
4,94,14,practice1,+1.317s,11,6
4,12,2,practice1,+2.223s,25,7
4,107,11,practice1,+2.238s,28,8
4,104,16,practice1,+2.250s,18,9
4,60,1,practice1,+2.271s,18,10
4,103,11,practice1,+2.348s,26,11
4,105,16,practice1,+2.505s,32,12
4,70,13,practice1,+2.507s,11,13
4,67,28,practice1,+2.614s,23,14
4,6,1,practice1,+2.619s,10,15
4,106,3,practice1,+2.633s,21,16
4,89,3,practice1,+2.831s,21,17
4,87,28,practice1,+3.192s,18,18
4,100,2,practice1,+3.725s,21,19
4,93,13,practice1,+4.499s,11,20
4,79,14,practice2,1:42.795,35,1
4,6,1,practice2,+0.069s,33,2
4,94,14,practice2,+0.116s,27,3
4,83,22,practice2,+0.775s,25,4
4,57,22,practice2,+0.808s,31,5
4,12,2,practice2,+0.905s,34,6
4,101,20,practice2,+1.019s,30,7
4,93,13,practice2,+1.039s,36,8
4,87,28,practice2,+1.182s,29,9
4,70,13,practice2,+1.296s,33,10
4,60,1,practice2,+1.332s,38,11
4,75,20,practice2,+1.347s,31,12
4,67,28,practice2,+1.630s,27,13
4,103,11,practice2,+1.664s,31,14
4,104,16,practice2,+1.917s,39,15
4,106,3,practice2,+2.145s,30,16
4,107,11,practice2,+2.212s,33,17
4,105,16,practice2,+2.256s,36,18
4,100,2,practice2,+2.493s,29,19
4,89,3,practice2,+3.247s,9,20
4,60,1,practice3,1:43.091,17,1
4,57,22,practice3,+0.361s,16,2
4,6,1,practice3,+0.402s,17,3
4,94,14,practice3,+0.428s,17,4
4,83,22,practice3,+0.478s,20,5
4,75,20,practice3,+0.845s,9,6
4,87,28,practice3,+0.867s,11,7
4,103,11,practice3,+1.032s,8,8
4,101,20,practice3,+1.129s,11,9
4,107,11,practice3,+1.443s,9,10
4,12,2,practice3,+1.672s,12,11
4,79,14,practice3,+1.770s,17,12
4,104,16,practice3,+1.814s,16,13
4,106,3,practice3,+2.127s,15,14
4,67,28,practice3,+2.170s,12,15
4,93,13,practice3,+2.341s,15,16
4,70,13,practice3,+2.365s,11,17
4,100,2,practice3,+2.414s,13,18
4,89,3,practice3,+2.819s,17,19
4,105,16,practice3,+3.095s,11,20
5,83,22,practice1,1:18.148,32,1
5,57,22,practice1,+0.849s,22,2
5,60,1,practice1,+0.950s,24,3
5,94,14,practice1,+1.039s,26,4
5,6,1,practice1,+1.351s,19,5
5,12,2,practice1,+1.710s,26,6
5,79,14,practice1,+1.723s,11,7
5,67,28,practice1,+1.758s,24,8
5,100,2,practice1,+1.935s,28,9
5,104,16,practice1,+2.360s,29,10
5,87,28,practice1,+2.489s,28,11
5,106,3,practice1,+2.517s,23,12
5,75,20,practice1,+2.776s,36,13
5,89,3,practice1,+2.836s,18,14
5,93,13,practice1,+2.905s,28,15
5,101,20,practice1,+2.996s,27,16
5,70,13,practice1,+3.011s,26,17
5,105,16,practice1,+3.225s,28,18
5,56,11,practice1,+3.362s,24,19
5,103,11,practice1,+4.608s,15,20
5,57,22,practice2,1:18.259,39,1
5,79,14,practice2,+0.133s,41,2
5,94,14,practice2,+0.274s,39,3
5,60,1,practice2,+0.326s,34,4
5,83,22,practice2,+0.352s,39,5
5,6,1,practice2,+0.570s,16,6
5,67,28,practice2,+1.320s,24,7
5,87,28,practice2,+1.384s,39,8
5,100,2,practice2,+1.463s,32,9
5,75,20,practice2,+1.703s,28,10
5,101,20,practice2,+1.765s,38,11
5,12,2,practice2,+1.776s,35,12
5,70,13,practice2,+1.924s,43,13
5,104,16,practice2,+2.114s,32,14
5,89,3,practice2,+2.242s,37,15
5,106,3,practice2,+2.255s,29,16
5,93,13,practice2,+2.413s,31,17
5,105,16,practice2,+3.006s,34,18
5,103,11,practice2,+3.297s,35,19
5,107,11,practice2,+3.801s,36,20
5,57,22,practice3,1:17.281,15,1
5,83,22,practice3,+0.013s,19,2
5,60,1,practice3,+0.269s,16,3
