driver_id,race_id,team_id,q1_time,q2_time,q3_time,qual_position,qual_laps
107,1,2,0:01:22.824000,0:01:22.051000,0:01:21.164000,1,20
108,1,1,0:01:23.096000,0:01:22.507000,0:01:21.828000,2,17
106,1,1,0:01:23.348000,0:01:21.944000,0:01:21.838000,3,20
111,1,3,0:01:23.483000,0:01:22.416000,0:01:21.879000,4,18
109,1,3,0:01:23.494000,0:01:22.897000,0:01:22.152000,5,17
122,1,10,0:01:23.909000,0:01:23.300000,0:01:23.187000,6,17
121,1,10,0:01:23.671000,0:01:23.468000,0:01:23.339000,7,17
112,1,5,0:01:23.782000,0:01:23.544000,0:01:23.532000,8,16
115,1,5,0:01:23.529000,0:01:23.061000,0:01:23.577000,9,17
113,1,2,0:01:23.686000,0:01:22.089000,NULL,10,16
110,1,4,0:01:23.597000,0:01:23.692000,NULL,11,14
114,1,4,0:01:24.073000,0:01:23.853000,NULL,12,14
116,1,6,0:01:24.344000,0:01:24.005000,NULL,13,14
119,1,8,0:01:24.464000,0:01:24.230000,NULL,14,13
117,1,6,0:01:24.503000,0:01:24.786000,NULL,15,16
120,1,9,0:01:24.532000,NULL,NULL,16,8
124,1,7,0:01:24.556000,NULL,NULL,17,9
118,1,7,0:01:24.636000,NULL,NULL,18,9
125,1,8,0:01:24.922000,NULL,NULL,19,8
123,1,9,0:01:25.295000,NULL,NULL,20,7
106,2,1,0:01:29.060000,0:01:28.341000,0:01:27.958000,1,13
108,2,1,0:01:28.951000,0:01:28.515000,0:01:28.101000,2,13
113,2,2,0:01:29.275000,0:01:28.794000,0:01:28.124000,3,16
107,2,2,0:01:29.396000,0:01:28.458000,0:01:28.220000,4,16
109,2,3,0:01:29.552000,0:01:28.962000,0:01:28.398000,5,12
123,2,9,0:01:30.121000,0:01:29.836000,0:01:29.329000,6,18
122,2,10,0:01:29.594000,0:01:29.623000,0:01:29.358000,7,16
112,2,5,0:01:30.260000,0:01:29.187000,0:01:29.570000,8,15
117,2,6,0:01:30.338000,0:01:30.009000,0:01:29.874000,9,16
115,2,5,0:01:29.893000,0:01:29.802000,0:01:29.986000,10,18
120,2,9,0:01:30.412000,0:01:30.105000,NULL,11,15
116,2,6,0:01:30.218000,0:01:30.156000,NULL,12,11
110,2,4,0:01:30.530000,0:01:30.212000,NULL,13,12
114,2,4,0:01:30.479000,0:01:30.525000,NULL,14,12
111,2,3,0:01:29.374000,NULL,NULL,15,4
121,2,10,0:01:30.530000,NULL,NULL,16,7
124,2,7,0:01:31.063000,NULL,NULL,17,9
125,2,8,0:01:31.414000,NULL,NULL,18,8
118,2,7,0:01:31.420000,NULL,NULL,19,8
119,2,8,0:01:31.503000,NULL,NULL,20,8
106,3,1,0:01:32.171000,0:01:32.385000,0:01:31.095000,1,15
108,3,1,0:01:32.474000,0:01:32.286000,0:01:31.182000,2,17
113,3,2,0:01:32.921000,0:01:32.063000,0:01:31.625000,3,20
107,3,2,0:01:33.283000,0:01:31.914000,0:01:31.675000,4,17
111,3,3,0:01:32.932000,0:01:32.809000,0:01:31.796000,5,12
109,3,3,0:01:33.877000,0:01:32.688000,0:01:31.948000,6,12
112,3,5,0:01:33.545000,0:01:32.494000,0:01:32.532000,7,15
116,3,6,0:01:33.464000,0:01:32.931000,0:01:32.758000,8,13
115,3,5,0:01:33.315000,0:01:32.970000,0:01:32.819000,9,18
121,3,10,0:01:33.238000,0:01:32.524000,0:01:32.855000,10,19
122,3,10,0:01:33.359000,0:01:32.986000,NULL,11,13
117,3,6,0:01:33.585000,0:01:33.057000,NULL,12,9
110,3,4,0:01:33.428000,0:01:33.232000,NULL,13,11
114,3,4,0:01:33.824000,0:01:33.505000,NULL,14,11
120,3,9,0:01:34.013000,0:01:33.795000,NULL,15,15
125,3,8,0:01:34.062000,NULL,NULL,16,7
123,3,9,0:01:34.101000,NULL,NULL,17,9
119,3,8,0:01:34.285000,NULL,NULL,18,7
118,3,7,0:01:34.454000,NULL,NULL,19,9
124,3,7,0:01:34.914000,NULL,NULL,20,9
106,4,1,0:01:42.762000,0:01:43.015000,0:01:41.498000,1,19
107,4,2,0:01:42.693000,0:01:42.676000,0:01:41.677000,2,21
113,4,2,0:01:43.355000,0:01:42.679000,0:01:41.837000,3,21
109,4,3,0:01:42.857000,0:01:43.482000,0:01:41.911000,4,20
111,4,3,0:01:42.642000,0:01:42.901000,0:01:41.994000,5,19
108,4,1,0:01:42.538000,0:01:42.510000,0:01:42.490000,6,20
117,4,6,0:01:43.021000,0:01:42.967000,0:01:42.523000,7,20
116,4,6,0:01:43.992000,0:01:43.366000,0:01:42.547000,8,20
112,4,5,0:01:43.746000,0:01:43.232000,0:01:43.066000,9,20
115,4,5,0:01:43.426000,0:01:43.464000,0:01:43.351000,10,20
119,4,8,0:01:44.359000,0:01:43.585000,NULL,11,16
125,4,8,0:01:44.261000,0:01:43.886000,NULL,12,17
110,4,4,0:01:44.010000,0:01:44.019000,NULL,13,16
118,4,7,0:01:43.752000,0:01:44.074000,NULL,14,17
122,4,10,0:01:43.674000,0:01:44.759000,NULL,15,14
114,4,4,0:01:44.489000,NULL,NULL,16,8
123,4,9,0:01:44.496000,NULL,NULL,17,9
124,4,7,0:01:45.541000,NULL,NULL,18,10
120,4,9,0:01:57.354000,NULL,NULL,NC,5
121,4,10,NULL,NULL,NULL,NC,2
107,5,2,0:01:17.633000,0:01:17.166000,0:01:16.173000,1,17
113,5,2,0:01:17.674000,0:01:17.111000,0:01:16.213000,2,14
106,5,1,0:01:17.031000,0:01:16.802000,0:01:16.305000,3,16
108,5,1,0:01:17.483000,0:01:17.071000,0:01:16.612000,4,15
111,5,3,0:01:17.411000,0:01:17.266000,0:01:16.816000,5,15
109,5,3,0:01:17.623000,0:01:17.638000,0:01:16.818000,6,19
122,5,10,0:01:18.169000,0:01:17.618000,0:01:17.676000,7,27
110,5,4,0:01:18.276000,0:01:18.100000,0:01:17.721000,8,21
115,5,5,0:01:18.480000,0:01:17.803000,0:01:17.790000,9,19
121,5,10,0:01:18.305000,0:01:17.699000,0:01:17.835000,10,26
114,5,4,0:01:18.885000,0:01:18.323000,NULL,11,18
123,5,9,0:01:18.550000,0:01:18.463000,NULL,12,16
117,5,6,0:01:18.813000,0:01:18.696000,NULL,13,18
118,5,7,0:01:18.661000,0:01:18.910000,NULL,14,15
116,5,6,0:01:18.740000,0:01:19.098000,NULL,15,18
112,5,5,0:01:18.923000,NULL,NULL,16,6
124,5,7,0:01:19.493000,NULL,NULL,17,9
125,5,8,0:01:19.695000,NULL,NULL,18,10
119,5,8,0:01:20.225000,NULL,NULL,19,9
109,6,3,0:01:12.013000,0:01:11.278000,0:01:10.810000,1,17
106,6,1,0:01:12.415000,0:01:11.518000,0:01:11.039000,2,21
107,6,2,0:01:12.460000,0:01:11.584000,0:01:11.232000,3,22
108,6,1,0:01:12.639000,0:01:11.391000,0:01:11.266000,4,22
113,6,2,0:01:12.434000,0:01:12.002000,0:01:11.441000,5,25
117,6,6,0:01:13.028000,0:01:12.188000,0:01:12.061000,6,27
110,6,4,0:01:12.657000,0:01:12.269000,0:01:12.110000,7,26
115,6,5,0:01:12.950000,0:01:12.286000,0:01:12.130000,8,28
116,6,6,0:01:12.848000,0:01:12.194000,0:01:12.154000,9,23
123,6,9,0:01:12.941000,0:01:12.313000,0:01:12.221000,10,29
112,6,5,0:01:13.065000,0:01:12.411000,NULL,11,22
114,6,4,0:01:12.463000,0:01:12.440000,NULL,12,19
125,6,8,0:01:12.706000,0:01:12.521000,NULL,13,19
118,6,7,0:01:12.829000,0:01:12.714000,NULL,14,20
121,6,10,0:01:12.930000,0:01:12.728000,NULL,15,21
120,6,9,0:01:13.179000,NULL,NULL,16,12
124,6,7,0:01:13.265000,NULL,NULL,17,11
119,6,8,0:01:13.323000,NULL,NULL,18,10
122,6,10,0:01:13.393000,NULL,NULL,19,12
106,7,1,0:01:11.710000,0:01:11.524000,0:01:10.764000,1,18
113,7,2,0:01:11.950000,0:01:11.514000,0:01:10.857000,2,20
111,7,3,0:01:12.008000,0:01:11.472000,0:01:10.937000,3,16
107,7,2,0:01:11.835000,0:01:11.740000,0:01:10.996000,4,21
108,7,1,0:01:11.725000,0:01:11.620000,0:01:11.095000,5,20
109,7,3,0:01:12.459000,0:01:11.434000,0:01:11.116000,6,18
112,7,5,0:01:12.795000,0:01:11.916000,0:01:11.973000,7,15
117,7,6,0:01:12.577000,0:01:12.141000,0:01:12.084000,8,14
115,7,5,0:01:12.689000,0:01:12.097000,0:01:12.168000,9,15
116,7,6,0:01:12.702000,0:01:12.395000,0:01:12.671000,10,13
122,7,10,0:01:12.680000,0:01:12.606000,NULL,11,22
120,7,9,0:01:12.587000,0:01:12.635000,NULL,12,17
118,7,7,0:01:12.945000,0:01:12.661000,NULL,13,22
110,7,4,0:01:12.979000,0:01:12.856000,NULL,14,14
114,7,4,0:01:12.998000,0:01:12.865000,NULL,15,14
123,7,9,0:01:13.047000,NULL,NULL,16,8
119,7,8,0:01:13.590000,NULL,NULL,17,8
125,7,8,0:01:13.643000,NULL,NULL,18,10
124,7,7,0:01:14.593000,NULL,NULL,19,6
107,8,2,0:01:31.271000,0:01:30.645000,0:01:30.029000,1,19
113,8,2,0:01:31.776000,0:01:31.227000,0:01:30.147000,2,17
106,8,1,0:01:31.820000,0:01:30.751000,0:01:30.400000,3,22
111,8,3,0:01:31.531000,0:01:30.818000,0:01:30.705000,4,20
109,8,3,0:01:31.910000,0:01:31.538000,0:01:30.895000,5,20
108,8,1,0:01:31.567000,0:01:30.772000,0:01:31.057000,6,22
115,8,5,0:01:32.394000,0:01:32.016000,0:01:32.126000,7,23
118,8,7,0:01:32.538000,0:01:32.055000,0:01:32.635000,8,22
122,8,10,0:01:32.169000,0:01:31.510000,0:01:32.930000,9,24
121,8,10,0:01:32.083000,0:01:31.472000,NULL,10,20
