race_id,driver_id,team_id,q1_time,q2_time,q3_time,qual_position,qual_laps
1,57,22,1:22.824,1:22.051,1:21.164,1,20
1,6,1,1:23.096,1:22.507,1:21.828,2,17
1,60,1,1:23.348,1:21.944,1:21.838,3,20
1,94,14,1:23.483,1:22.416,1:21.879,4,18
1,79,14,1:23.494,1:22.897,1:22.152,5,17
1,87,28,1:23.909,1:23.300,1:23.187,6,17
1,67,28,1:23.671,1:23.468,1:23.339,7,17
1,70,13,1:23.782,1:23.544,1:23.532,8,16
1,93,13,1:23.529,1:23.061,1:23.577,9,17
1,83,22,1:23.686,1:22.089,DNF,10,16
1,12,2,1:23.597,1:23.692,,11,14
1,100,2,1:24.073,1:23.853,,12,14
1,75,20,1:24.344,1:24.005,,13,14
1,103,11,1:24.464,1:24.230,,14,13
1,101,20,1:24.503,1:24.786,,15,16
1,105,16,1:24.532,,,16,8
1,89,3,1:24.556,,,17,9
1,106,3,1:24.636,,,18,9
1,107,11,1:24.922,,,19,8
1,104,16,1:25.295,,,20,7
2,60,1,1:29.060,1:28.341,1:27.958,1,13
2,6,1,1:28.951,1:28.515,1:28.101,2,13
2,83,22,1:29.275,1:28.794,1:28.124,3,16
2,57,22,1:29.396,1:28.458,1:28.220,4,16
2,79,14,1:29.552,1:28.962,1:28.398,5,12
2,104,16,1:30.121,1:29.836,1:29.329,6,18
2,87,28,1:29.594,1:29.623,1:29.358,7,16
2,70,13,1:30.260,1:29.187,1:29.570,8,15
2,101,20,1:30.338,1:30.009,1:29.874,9,16
2,93,13,1:29.893,1:29.802,1:29.986,10,18
2,105,16,1:30.412,1:30.105,,11,15
2,75,20,1:30.218,1:30.156,,12,11
2,12,2,1:30.530,1:30.212,,13,12
2,100,2,1:30.479,1:30.525,,14,12
2,94,14,1:29.374,,,15,4
2,67,28,1:30.530,,,16,7
2,89,3,1:31.063,,,17,9
2,107,11,1:31.414,,,18,8
2,106,3,1:31.420,,,19,8
2,103,11,1:31.503,,,20,8
3,60,1,1:32.171,1:32.385,1:31.095,1,15
3,6,1,1:32.474,1:32.286,1:31.182,2,17
3,83,22,1:32.921,1:32.063,1:31.625,3,20
3,57,22,1:33.283,1:31.914,1:31.675,4,17
3,94,14,1:32.932,1:32.809,1:31.796,5,12
3,79,14,1:33.877,1:32.688,1:31.948,6,12
3,70,13,1:33.545,1:32.494,1:32.532,7,15
3,75,20,1:33.464,1:32.931,1:32.758,8,13
3,93,13,1:33.315,1:32.970,1:32.819,9,18
3,67,28,1:33.238,1:32.524,1:32.855,10,19
3,87,28,1:33.359,1:32.986,,11,13
3,101,20,1:33.585,1:33.057,,12,9
3,12,2,1:33.428,1:33.232,,13,11
3,100,2,1:33.824,1:33.505,,14,11
3,105,16,1:34.013,1:33.795,,15,15
3,107,11,1:34.062,,,16,7
3,104,16,1:34.101,,,17,9
3,103,11,1:34.285,,,18,7
3,106,3,1:34.454,,,19,9
3,89,3,1:34.914,,,20,9
4,60,1,1:42.762,1:43.015,1:41.498,1,19
4,57,22,1:42.693,1:42.676,1:41.677,2,21
4,83,22,1:43.355,1:42.679,1:41.837,3,21
4,79,14,1:42.857,1:43.482,1:41.911,4,20
4,94,14,1:42.642,1:42.901,1:41.994,5,19
4,6,1,1:42.538,1:42.510,1:42.490,6,20
4,101,20,1:43.021,1:42.967,1:42.523,7,20
4,75,20,1:43.992,1:43.366,1:42.547,8,20
4,70,13,1:43.746,1:43.232,1:43.066,9,20
4,93,13,1:43.426,1:43.464,1:43.351,10,20
4,103,11,1:44.359,1:43.585,,11,16
4,107,11,1:44.261,1:43.886,,12,17
4,12,2,1:44.010,1:44.019,,13,16
4,106,3,1:43.752,1:44.074,,14,17
4,87,28,1:43.674,1:44.759,,15,14
4,100,2,1:44.489,,,16,8
4,104,16,1:44.496,,,17,9
4,89,3,1:45.541,,,18,10
4,105,16,1:57.354,,,NC,5
4,67,28,DNF,,,NC,2
5,57,22,1:17.633,1:17.166,1:16.173,1,17
5,83,22,1:17.674,1:17.111,1:16.213,2,14
5,60,1,1:17.031,1:16.802,1:16.305,3,16
5,6,1,1:17.483,1:17.071,1:16.612,4,15
5,94,14,1:17.411,1:17.266,1:16.816,5,15
5,79,14,1:17.623,1:17.638,1:16.818,6,19
5,87,28,1:18.169,1:17.618,1:17.676,7,27
5,12,2,1:18.276,1:18.100,1:17.721,8,21
5,93,13,1:18.480,1:17.803,1:17.790,9,19
5,67,28,1:18.305,1:17.699,1:17.835,10,26
5,100,2,1:18.885,1:18.323,,11,18
5,104,16,1:18.550,1:18.463,,12,16
5,101,20,1:18.813,1:18.696,,13,18
5,106,3,1:18.661,1:18.910,,14,15
5,75,20,1:18.740,1:19.098,,15,18
5,70,13,1:18.923,,,16,6
5,89,3,1:19.493,,,17,9
5,107,11,1:19.695,,,18,10
5,103,11,1:20.225,,,19,9
6,79,14,1:12.013,1:11.278,1:10.810,1,17
6,60,1,1:12.415,1:11.518,1:11.039,2,21
6,57,22,1:12.460,1:11.584,1:11.232,3,22
6,6,1,1:12.639,1:11.391,1:11.266,4,22
6,83,22,1:12.434,1:12.002,1:11.441,5,25
6,101,20,1:13.028,1:12.188,1:12.061,6,27
6,12,2,1:12.657,1:12.269,1:12.110,7,26
6,93,13,1:12.950,1:12.286,1:12.130,8,28
6,75,20,1:12.848,1:12.194,1:12.154,9,23
6,104,16,1:12.941,1:12.313,1:12.221,10,29
6,70,13,1:13.065,1:12.411,,11,22
6,100,2,1:12.463,1:12.440,,12,19
6,107,11,1:12.706,1:12.521,,13,19
6,106,3,1:12.829,1:12.714,,14,20
6,67,28,1:12.930,1:12.728,,15,21
6,105,16,1:13.179,,,16,12
6,89,3,1:13.265,,,17,11
6,103,11,1:13.323,,,18,10
6,87,28,1:13.393,,,19,12
7,60,1,1:11.710,1:11.524,1:10.764,1,18
7,83,22,1:11.950,1:11.514,1:10.857,2,20
7,94,14,1:12.008,1:11.472,1:10.937,3,16
7,57,22,1:11.835,1:11.740,1:10.996,4,21
7,6,1,1:11.725,1:11.620,1:11.095,5,20
7,79,14,1:12.459,1:11.434,1:11.116,6,18
7,70,13,1:12.795,1:11.916,1:11.973,7,15
7,101,20,1:12.577,1:12.141,1:12.084,8,14
7,93,13,1:12.689,1:12.097,1:12.168,9,15
7,75,20,1:12.702,1:12.395,1:12.671,10,13
7,87,28,1:12.680,1:12.606,,11,22
7,105,16,1:12.587,1:12.635,,12,17
7,106,3,1:12.945,1:12.661,,13,22
7,12,2,1:12.979,1:12.856,,14,14
7,100,2,1:12.998,1:12.865,,15,14
7,104,16,1:13.047,,,16,8
7,103,11,1:13.590,,,17,8
7,107,11,1:13.643,,,18,10
7,89,3,1:14.593,,,19,6
8,57,22,1:31.271,1:30.645,1:30.029,1,19
8,83,22,1:31.776,1:31.227,1:30.147,2,17
8,60,1,1:31.820,1:30.751,1:30.400,3,22
8,94,14,1:31.531,1:30.818,1:30.705,4,20
8,79,14,1:31.910,1:31.538,1:30.895,5,20
8,6,1,1:31.567,1:30.772,1:31.057,6,22
8,93,13,1:32.394,1:32.016,1:32.126,7,23
8,106,3,1:32.538,1:32.055,1:32.635,8,22
8,87,28,1:32.169,1:31.510,1:32.930,9,24
8,67,28,1:32.083,1:31.472,DNF,10,20
8,101,20,1:32.786,1:32.075,,11,14
8,70,13,1:32.949,1:32.115,,12,15
8,75,20,1:32.692,1:32.454,,13,15
8,104,16,1:32.447,1:32.460,,14,17
8,89,3,1:32.804,1:32.820,,15,18
8,12,2,1:32.976,,,16,10
8,105,16,1:33.025,,,17,10
8,100,2,1:33.162,,,18,10
8,107,11,1:33.636,,,19,9
8,103,11,1:33.729,,,20,10
9,83,22,1:04.175,1:03.756,1:03.130,1,18
9,57,22,1:04.080,1:03.577,1:03.149,2,21
9,60,1,1:04.347,1:03.544,1:03.464,3,18
9,6,1,1:04.234,1:03.975,1:03.660,4,21
9,94,14,1:04.273,1:04.001,1:03.840,5,18
9,67,28,1:04.242,1:04.059,1:03.892,6,17
9,79,14,1:04.723,1:04.403,1:03.996,7,22
9,87,28,1:04.460,1:04.291,1:04.051,8,20
9,93,13,1:04.948,1:04.561,1:04.725,9,19
9,70,13,1:04.864,1:04.676,1:05.019,10,20
9,101,20,1:05.148,1:04.845,,11,19
9,104,16,1:05.011,1:04.874,,12,16
9,106,3,1:04.967,1:04.979,,13,19
9,12,2,1:04.965,1:05.058,,14,17
9,103,11,1:05.264,1:05.286,,15,17
9,100,2,1:05.271,,,16,9
9,75,20,1:05.279,,,17,11
9,107,11,1:05.322,,,18,10
9,105,16,1:05.366,,,19,11
9,89,3,1:05.479,,,20,11
10,57,22,1:26.818,1:26.256,1:25.892,1,16
10,60,1,1:26.585,1:26.372,1:25.936,2,17
10,6,1,1:27.549,1:26.483,1:25.990,3,17
10,83,22,1:27.025,1:26.413,1:26.217,4,15
10,94,14,1:27.309,1:27.013,1:26.602,5,14
10,79,14,1:27.979,1:27.369,1:27.099,6,14
10,87,28,1:28.143,1:27.730,1:27.244,7,19
10,67,28,1:28.086,1:27.522,1:27.455,8,20
10,106,3,1:27.962,1:27.790,1:27.879,9,19
10,101,20,1:28.279,1:27.843,1:28.194,10,20
10,70,13,1:28.017,1:27.901,,11,12
10,75,20,1:28.210,1:27.928,,12,14
10,12,2,1:28.187,1:28.139,,13,12
10,104,16,1:28.399,1:28.343,,14,15
10,89,3,1:28.249,1:28.391,,15,16
10,93,13,1:28.456,,,16,8
10,100,2,1:29.096,,,17,9
10,107,11,1:29.252,,,18,7
10,103,11,DNF,,,NC,2
11,60,1,1:12.538,1:12.505,1:11.212,1,16
11,83,22,1:12.962,1:12.152,1:11.416,2,18
11,6,1,1:12.505,1:12.336,1:11.547,3,17
11,94,14,1:13.127,1:12.188,1:11.822,4,18
11,87,28,1:13.105,1:12.523,1:12.200,5,18
11,67,28,1:12.986,1:12.722,1:12.544,6,17
11,70,13,1:13.479,1:12.946,1:12.560,7,17
11,93,13,1:13.324,1:13.032,1:12.692,8,19
11,106,3,1:13.077,1:12.995,1:12.717,9,23
11,75,20,1:13.427,1:13.072,1:12.774,10,19
11,12,2,1:13.614,1:13.657,,11,16
11,107,11,1:13.708,1:13.702,,12,13
11,89,3,1:13.562,1:13.736,,13,17
11,57,22,1:13.012,,,14,8
11,79,14,1:13.318,,,15,6
11,101,20,1:13.720,,,16,10
11,104,16,1:13.749,,,17,9
11,105,16,1:14.045,,,18,8
11,103,11,1:14.206,,,19,10
11,100,2,1:14.401,,,20,10
12,57,22,1:17.419,1:31.242,1:35.658,1,26
12,83,22,1:17.123,1:32.081,1:35.918,2,25
12,6,1,1:17.526,1:32.762,1:36.186,3,26
12,60,1,1:16.666,1:28.636,1:36.210,4,24
12,93,13,1:17.829,1:30.771,1:36.743,5,25
12,104,16,1:18.577,1:31.286,1:37.591,6,25
12,94,14,1:16.940,1:31.178,1:38.032,7,24
12,105,16,1:18.429,1:32.590,1:38.128,8,25
12,87,28,1:18.314,1:32.968,1:39.858,9,24
12,67,28,1:17.901,1:33.650,1:40.593,10,24
12,12,2,1:18.208,1:35.214,,11,19
12,79,14,1:18.540,1:36.442,,12,21
12,70,13,1:17.905,1:36.506,,13,20
12,89,3,1:18.641,1:37.075,,14,22
12,103,11,1:18.560,DNF,,15,15
12,100,2,1:18.782,,,16,11
12,106,3,1:18.817,,,17,13
12,101,20,1:19.142,,,18,12
12,75,20,1:19.200,,,19,11
12,107,11,1:19.301,,,20,12
13,57,22,1:42.977,1:41.553,1:58.179,1,19
13,60,1,1:43.035,1:41.501,1:58.905,2,18
13,101,20,1:44.003,1:43.302,2:01.851,3,16
13,75,20,1:44.004,1:43.014,2:01.894,4,14
13,67,28,1:43.597,1:43.042,2:02.122,5,20
13,6,1,1:42.585,1:41.533,2:02.671,6,13
13,94,14,1:43.199,1:42.554,2:02.769,7,11
13,79,14,1:43.604,1:43.126,2:02.939,8,16
13,87,28,1:43.834,1:43.320,2:04.933,9,19
13,83,22,1:42.805,1:42.191,DNS,10,7
13,104,16,1:44.221,1:43.844,,11,14
13,105,16,1:44.153,1:43.865,,12,13
13,106,3,1:43.654,1:44.062,,13,14
13,89,3,1:43.846,1:44.301,,14,11
13,70,13,1:44.145,,,15,3
13,93,13,1:44.489,,,16,6
13,12,2,1:44.917,,,17,6
13,107,11,1:44.998,,,18,6
13,103,11,1:45.134,,,19,6
13,100,2,1:45.307,,,20,8
14,6,1,1:20.722,1:19.846,1:19.119,1,21
14,60,1,1:20.542,1:19.629,1:19.280,2,20
14,57,22,1:20.810,1:19.798,1:19.294,3,20
14,83,22,1:21.381,1:20.427,1:19.656,4,18
14,94,14,1:21.381,1:20.333,1:20.615,5,15
14,67,28,1:21.887,1:21.239,1:20.936,6,21
14,93,13,1:21.732,1:21.552,1:21.041,7,17
14,101,20,1:21.570,1:21.315,1:21.099,8,17
14,104,16,1:21.834,1:21.667,1:21.350,9,24
14,103,11,1:21.838,1:21.494,1:21.627,10,14
14,87,28,1:21.783,1:21.669,,11,12
14,107,11,1:21.813,1:21.732,,12,13
14,12,2,1:21.850,1:22.568,,13,14
14,70,13,1:21.801,DNF,,14,12
14,79,14,1:21.280,,,15,3
14,75,20,1:21.888,,,16,5
14,106,3,1:21.889,,,17,10
14,105,16,1:21.934,,,18,12
14,89,3,1:22.048,,,19,10
14,100,2,1:22.085,,,20,9
15,57,22,1:39.403,1:37.344,1:36.015,1,17
15,94,14,1:38.751,1:37.214,1:36.334,2,14
15,60,1,1:38.218,1:37.876,1:36.628,3,17
15,83,22,1:39.291,1:37.254,1:36.702,4,20
15,6,1,1:38.534,1:37.194,1:36.794,5,17
15,79,14,1:38.153,1:37.406,1:36.996,6,12
15,75,20,1:38.814,1:38.342,1:37.985,7,19
15,67,28,1:38.685,1:38.367,1:38.320,8,15
15,101,20,1:38.912,1:38.534,1:38.365,9,20
15,70,13,1:38.932,1:38.450,1:38.588,10,18
15,12,2,1:39.022,1:38.641,,11,12
15,93,13,1:39.103,1:38.716,,12,12
15,106,3,1:39.206,1:38.747,,13,14
15,89,3,1:39.366,1:39.453,,14,14
15,104,16,1:39.614,1:39.691,,15,13
15,87,28,1:39.644,,,16,6
15,105,16,1:39.809,,,17,8
15,100,2,1:39.864,,,18,8
15,107,11,1:41.263,,,19,8
15,103,11,1:41.334,,,20,6
16,83,22,1:32.964,1:32.744,1:31.387,1,18
16,57,22,1:32.410,1:32.595,1:31.532,2,18
16,60,1,1:33.476,1:33.045,1:31.943,3,19
16,6,1,1:33.341,1:33.065,1:32.237,4,18
16,87,28,1:34.078,1:33.747,1:33.181,5,15
16,101,20,1:34.290,1:33.596,1:33.413,6,17
16,106,3,1:33.924,1:33.488,1:33.419,7,17
16,75,20,1:34.084,1:33.923,1:33.563,8,16
16,67,28,1:34.022,1:33.517,1:33.704,9,17
16,89,3,1:34.170,1:33.995,1:35.196,10,17
16,94,14,1:33.048,,,11,5
16,79,14,1:33.247,,,12,4
16,104,16,1:34.383,,,13,8
16,93,13,1:34.626,,,14,6
16,70,13,1:34.655,,,15,6
16,105,16,1:35.037,,,16,7
16,12,2,1:35.504,,,17,6
16,107,11,1:35.612,,,18,6
16,100,2,1:35.977,,,19,6
16,103,11,1:36.437,,,20,7
17,57,22,1:28.702,1:28.017,1:27.760,1,11
17,83,22,1:29.297,1:27.987,1:28.059,2,12
17,94,14,1:29.480,1:28.849,1:29.057,3,10
17,6,1,1:29.631,1:28.595,1:29.521,4,13
17,67,28,1:29.724,1:29.678,1:29.761,5,17
17,105,16,1:30.248,1:29.848,1:30.023,6,15
17,104,16,1:30.137,1:29.810,1:30.093,7,15
17,101,20,1:29.899,1:29.538,1:30.126,8,13
17,60,1,1:29.049,1:28.279,1:32.192,9,13
17,75,20,1:30.247,1:29.567,1:37.229,10,16
17,106,3,1:29.706,1:29.864,,11,12
17,87,28,1:30.219,1:30.226,,12,13
17,93,13,1:30.236,1:30.490,,13,12
17,103,11,1:30.317,1:30.714,,14,10
17,79,14,1:29.806,DNS,,15,4
17,70,13,1:30.361,,,16,7
17,107,11,1:30.372,,,17,8
17,12,2,1:30.573,,,18,6
17,100,2,1:31.041,,,19,10
17,89,3,1:31.213,,,20,4
18,57,22,1:34.130,1:33.480,1:32.237,1,20
18,60,1,1:34.569,1:33.079,1:32.298,2,18
18,6,1,1:34.703,1:32.884,1:32.307,3,15
18,83,22,1:34.518,1:33.702,1:32.616,4,17
18,79,14,1:34.755,1:34.185,1:33.494,5,14
18,101,20,1:34.876,1:34.522,1:34.145,6,18
18,70,13,1:34.932,1:34.564,1:34.215,7,18
18,67,28,1:34.892,1:34.419,1:34.250,8,17
18,106,3,1:35.069,1:34.255,1:34.420,9,17
18,75,20,1:35.193,1:34.525,1:34.594,10,17
18,93,13,1:34.891,1:34.566,,11,12
18,87,28,1:34.972,1:34.732,,12,12
18,104,16,1:34.850,DNS,,13,13
18,105,16,1:35.206,DNS,,14,13
18,94,14,1:34.766,,,15,4
18,12,2,1:35.294,,,16,6
18,107,11,1:35.362,,,17,6
18,103,11,1:35.480,,,18,8
18,89,3,1:35.536,,,19,8
18,100,2,1:35.735,,,20,6
19,79,14,1:15.866,1:15.845,1:14.759,1,16
19,94,14,1:15.756,1:15.640,1:14.785,2,16
19,57,22,1:15.673,1:15.644,1:14.894,3,21
19,60,1,1:16.089,1:15.715,1:14.970,4,16
19,83,22,1:15.580,1:15.923,1:15.160,5,22
19,6,1,1:16.446,1:15.996,1:15.330,6,20
19,70,13,1:16.498,1:16.126,1:15.827,7,18
19,93,13,1:16.813,1:16.188,1:16.084,8,18
19,106,3,1:16.862,1:16.320,1:16.189,9,20
19,89,3,1:16.701,1:16.633,1:16.513,10,20
19,101,20,1:16.252,1:16.844,,11,16
19,12,2,1:16.857,1:16.871,,12,12
19,75,20,1:16.242,1:17.167,,13,16
19,105,16,1:16.682,1:17.184,,14,12
19,104,16,1:16.828,DNS,,15,11
19,67,28,1:16.911,,,16,9
19,100,2,1:16.966,,,17,6
19,87,28,1:17.599,,,18,9
19,103,11,1:17.689,,,19,5
19,107,11,1:17.886,,,20,6
20,57,22,1:08.464,1:07.795,1:07.281,1,17
20,60,1,1:08.452,1:07.776,1:07.374,2,17
20,83,22,1:08.492,1:07.727,1:07.441,3,17
20,6,1,1:08.452,1:08.028,1:07.456,4,17
20,94,14,1:08.205,1:08.017,1:07.778,5,16
20,79,14,1:08.544,1:08.055,1:07.780,6,16
20,89,3,1:08.754,1:08.579,1:08.296,7,19
20,106,3,1:08.667,1:08.335,1:08.492,8,23
20,67,28,1:08.735,1:08.239,1:08.517,9,17
20,104,16,1:09.046,1:08.616,1:09.029,10,24
20,87,28,1:08.474,1:08.659,,11,12
20,75,20,1:09.217,1:08.741,,12,15
20,101,20,1:09.264,1:08.770,,13,18
20,70,13,1:09.009,1:08.834,,14,15
20,107,11,1:09.259,1:10.381,,15,11
20,93,13,1:09.269,,,16,9
20,105,16,1:09.280,,,17,10
20,12,2,1:09.402,,,18,9
20,103,11,1:09.441,,,19,9
20,100,2,1:09.601,,,20,9
21,57,22,1:36.828,1:35.693,1:34.794,1,19
21,83,22,1:36.789,1:36.392,1:34.956,2,19
21,60,1,1:36.775,1:36.345,1:35.125,3,18
21,6,1,1:37.010,1:36.735,1:35.365,4,18
21,79,14,1:37.117,1:36.964,1:35.401,5,16
21,94,14,1:37.195,1:36.144,1:35.589,6,14
21,67,28,1:37.575,1:36.732,1:36.192,7,15
21,106,3,1:37.124,1:36.580,1:36.237,8,20
21,101,20,1:36.936,1:36.814,1:36.540,9,18
21,70,13,1:37.569,1:36.630,1:36.542,10,15
21,93,13,1:37.757,1:36.982,,11,9
21,89,3,1:37.619,1:37.132,,12,14
21,87,28,1:37.934,1:37.309,,13,12
21,75,20,1:37.255,1:37.541,,14,12
21,12,2,1:37.890,1:37.743,,15,15
21,105,16,1:37.994,,,16,9
21,104,16,1:38.166,,,17,9
21,100,2,1:38.577,,,18,9
21,107,11,1:38.635,,,19,6
21,103,11,1:38.682,,,20,6
22,57,22,1:22.043,1:21.014,1:20.486,1,18
22,83,22,1:22.367,1:21.193,1:20.598,2,19
22,60,1,1:22.885,1:21.912,1:21.190,3,16
22,94,14,1:22.876,1:21.678,1:21.320,4,17
22,106,1,1:22.017,1:21.739,1:21.442,5,17
22,67,28,1:22.959,1:21.870,1:21.826,6,17
22,87,28,1:22.519,1:22.221,1:22.099,7,18
22,108,2,1:22.702,1:22.423,1:22.304,8,21
22,6,30,1:22.966,1:22.349,1:22.314,9,17
22,75,31,1:22.908,1:22.532,1:22.781,10,15
22,70,13,1:22.540,1:22.562,,11,10
22,79,13,1:22.921,1:22.570,,12,12
22,109,16,1:22.757,1:22.636,,13,14
22,102,30,1:22.431,1:22.714,,14,14
22,88,16,1:22.511,1:22.774,,15,13
22,103,31,1:23.017,,,16,6
22,104,14,1:23.020,,,17,6
22,93,2,1:23.084,,,18,6
22,110,11,1:24.360,,,19,9
22,56,11,1:26.067,,,20,8
23,106,1,1:28.495,1:28.046,1:27.866,1,14
23,60,1,1:28.733,1:28.356,1:28.160,2,14
23,57,22,1:29.262,1:28.578,1:28.190,3,16
23,83,22,1:29.498,1:28.830,1:28.256,4,15
23,94,14,1:29.579,1:29.109,1:28.752,5,12
23,87,28,1:29.532,1:29.017,1:28.757,6,15
23,93,2,1:29.528,1:29.055,1:28.813,7,17
23,67,28,1:29.688,1:29.249,1:29.015,8,17
23,6,30,1:29.959,1:29.471,1:29.022,9,18
23,108,2,1:29.381,1:29.258,1:29.043,10,18
23,79,13,1:29.859,1:29.488,,11,12
23,109,16,1:29.514,1:29.513,,12,15
23,104,14,1:29.900,1:29.526,,13,12
23,75,31,1:29.893,1:29.756,,14,12
23,88,16,1:29.876,1:29.854,,15,10
23,102,30,1:30.026,,,16,6
23,70,13,1:30.034,,,17,6
23,103,31,1:30.217,,,18,6
23,110,11,1:31.759,,,19,8
23,56,11,1:31.799,,,20,8
24,83,22,1:32.658,1:31.728,1:31.547,1,16
24,57,22,1:33.115,1:31.637,1:31.570,2,16
24,60,1,1:33.557,1:32.232,1:31.848,3,17
24,106,1,1:32.712,1:32.324,1:31.865,4,16
24,94,14,1:33.274,1:32.369,1:32.089,5,14
24,104,14,1:33.863,1:32.948,1:32.930,6,14
24,79,13,1:33.709,1:33.214,1:32.958,7,18
24,70,13,1:33.644,1:32.968,1:32.962,8,15
24,87,28,1:34.036,1:33.150,DNF,9,16
24,67,28,1:33.752,1:33.156,DNF,10,15
24,88,16,1:33.783,1:33.236,,11,12
24,75,31,1:34.026,1:33.299,,12,12
24,6,30,1:34.125,1:33.419,,13,12
24,93,2,1:33.686,1:33.523,,14,12
24,108,2,1:34.148,1:33.967,,15,12
24,103,31,1:34.292,,,16,6
24,110,11,1:35.253,,,17,9
24,56,11,1:35.281,,,18,9
24,102,30,DNF,,,NC,2
25,83,22,1:42.026,1:41.500,1:40.495,1,20
25,57,22,1:41.614,1:41.580,1:40.554,2,21
25,60,1,1:42.042,1:41.889,1:40.797,3,23
25,94,14,1:41.727,1:41.388,1:41.069,4,15
25,75,31,1:42.249,1:41.870,1:41.593,5,17
25,88,16,1:42.324,1:42.221,1:41.681,6,23
25,108,2,1:42.371,1:42.084,1:41.886,7,23
25,102,30,1:42.140,1:42.381,1:42.424,8,21
25,6,30,1:42.059,1:42.082,1:43.068,DQ,21
25,106,1,1:41.426,1:41.995,,9,11
25,93,2,1:41.936,1:42.398,,10,17
25,79,13,1:42.486,1:42.477,,11,15
25,109,16,1:42.154,1:42.494,,12,18
25,87,28,1:42.382,1:42.699,,13,16
25,104,14,1:41.335,,,DQ,5
25,103,31,1:42.630,,,14,8
25,67,28,1:43.407,,,15,10
25,70,13,1:43.427,,,16,8
25,110,11,1:45.062,,,17,9
25,56,11,1:45.455,,,18,8
26,83,22,1:16.979,1:15.924,1:15.406,1,18
26,57,22,1:17.292,1:16.038,1:16.040,2,17
26,60,1,1:17.425,1:16.667,1:16.272,3,18
26,94,14,1:17.244,1:16.726,1:16.357,4,12
26,106,1,1:17.388,1:16.714,1:16.588,5,19
26,104,14,1:17.862,1:16.932,1:16.708,6,17
26,67,28,1:18.042,1:17.066,1:16.911,7,16
26,87,28,1:17.669,1:17.272,1:16.922,8,15
26,88,16,1:17.914,1:17.243,1:17.573,9,20
26,79,13,1:18.385,1:17.299,1:18.106,10,19
26,108,2,1:17.611,1:17.338,,11,14
26,109,16,1:17.796,1:17.445,,12,14
26,93,2,1:17.760,1:17.599,,13,12
26,6,30,1:18.132,1:17.788,,14,14
26,75,31,1:18.286,1:17.886,,15,12
