date,driver_id,team_id,position,driver_name,points
04 MAR 2001,1,1,1,Michael Schumacher,10
04 MAR 2001,2,4,2,David Coulthard,6
04 MAR 2001,3,1,3,Rubens Barrichello,4
04 MAR 2001,4,7,4,Nick Heidfeld,3
04 MAR 2001,5,18,5,Heinz-Harald Frentzen,2
04 MAR 2001,6,7,6,Kimi Räikkönen,1
04 MAR 2001,7,19,7,Olivier Panis,0
04 MAR 2001,8,20,8,Luciano Burti,0
04 MAR 2001,9,21,9,Jean Alesi,0
04 MAR 2001,10,22,10,Jos Verstappen,0
04 MAR 2001,11,20,11,Eddie Irvine,0
04 MAR 2001,12,23,12,Fernando Alonso,0
04 MAR 2001,13,24,13,Giancarlo Fisichella,0
04 MAR 2001,14,24,14,Jenson Button,0
04 MAR 2001,15,8,NC,Juan Pablo Montoya,0
04 MAR 2001,16,18,NC,Jarno Trulli,0
04 MAR 2001,17,4,NC,Mika Hakkinen,0
04 MAR 2001,18,8,NC,Ralf Schumacher,0
04 MAR 2001,19,19,NC,Jacques Villeneuve,0
04 MAR 2001,20,23,NC,Tarso Marques,0
04 MAR 2001,21,22,NC,Enrique Bernoldi,0
04 MAR 2001,22,21,NC,Gaston Mazzacane,0
18 MAR 2001,1,1,1,Michael Schumacher,10
18 MAR 2001,3,1,2,Rubens Barrichello,6
18 MAR 2001,2,4,3,David Coulthard,4
18 MAR 2001,5,18,4,Heinz-Harald Frentzen,3
18 MAR 2001,18,8,5,Ralf Schumacher,2
18 MAR 2001,17,4,6,Mika Hakkinen,1
18 MAR 2001,10,22,7,Jos Verstappen,0
18 MAR 2001,16,18,8,Jarno Trulli,0
18 MAR 2001,9,21,9,Jean Alesi,0
18 MAR 2001,8,20,10,Luciano Burti,0
18 MAR 2001,14,24,11,Jenson Button,0
18 MAR 2001,22,21,12,Gaston Mazzacane,0
18 MAR 2001,12,23,13,Fernando Alonso,0
18 MAR 2001,20,23,14,Tarso Marques,0
18 MAR 2001,13,24,NC,Giancarlo Fisichella,0
18 MAR 2001,19,19,NC,Jacques Villeneuve,0
18 MAR 2001,4,7,NC,Nick Heidfeld,0
18 MAR 2001,21,22,NC,Enrique Bernoldi,0
18 MAR 2001,15,8,NC,Juan Pablo Montoya,0
18 MAR 2001,11,20,NC,Eddie Irvine,0
18 MAR 2001,7,19,NC,Olivier Panis,0
18 MAR 2001,6,7,NC,Kimi Räikkönen,0
01 APR 2001,2,4,1,David Coulthard,10
01 APR 2001,1,1,2,Michael Schumacher,6
01 APR 2001,4,7,3,Nick Heidfeld,4
01 APR 2001,7,19,4,Olivier Panis,3
01 APR 2001,16,18,5,Jarno Trulli,2
01 APR 2001,13,24,6,Giancarlo Fisichella,1
01 APR 2001,19,19,7,Jacques Villeneuve,0
01 APR 2001,9,21,8,Jean Alesi,0
01 APR 2001,20,23,9,Tarso Marques,0
01 APR 2001,14,24,10,Jenson Button,0
01 APR 2001,5,18,11,Heinz-Harald Frentzen,0
01 APR 2001,6,7,NC,Kimi Räikkönen,0
01 APR 2001,22,21,NC,Gaston Mazzacane,0
01 APR 2001,18,8,NC,Ralf Schumacher,0
01 APR 2001,11,20,NC,Eddie Irvine,0
01 APR 2001,15,8,NC,Juan Pablo Montoya,0
01 APR 2001,10,22,NC,Jos Verstappen,0
01 APR 2001,8,20,NC,Luciano Burti,0
01 APR 2001,12,23,NC,Fernando Alonso,0
01 APR 2001,21,22,NC,Enrique Bernoldi,0
01 APR 2001,3,1,NC,Rubens Barrichello,0
01 APR 2001,17,4,NC,Mika Hakkinen,0
15 APR 2001,18,8,1,Ralf Schumacher,10
15 APR 2001,2,4,2,David Coulthard,6
15 APR 2001,3,1,3,Rubens Barrichello,4
15 APR 2001,17,4,4,Mika Hakkinen,3
15 APR 2001,16,18,5,Jarno Trulli,2
15 APR 2001,5,18,6,Heinz-Harald Frentzen,1
15 APR 2001,4,7,7,Nick Heidfeld,0
15 APR 2001,7,19,8,Olivier Panis,0
15 APR 2001,9,21,9,Jean Alesi,0
15 APR 2001,21,22,10,Enrique Bernoldi,0
15 APR 2001,8,20,11,Luciano Burti,0
15 APR 2001,14,24,12,Jenson Button,0
15 APR 2001,20,23,NC,Tarso Marques,0
15 APR 2001,15,8,NC,Juan Pablo Montoya,0
15 APR 2001,11,20,NC,Eddie Irvine,0
15 APR 2001,13,24,NC,Giancarlo Fisichella,0
15 APR 2001,19,19,NC,Jacques Villeneuve,0
15 APR 2001,22,21,NC,Gaston Mazzacane,0
15 APR 2001,1,1,NC,Michael Schumacher,0
15 APR 2001,6,7,NC,Kimi Räikkönen,0
15 APR 2001,10,22,NC,Jos Verstappen,0
15 APR 2001,12,23,NC,Fernando Alonso,0
29 APR 2001,1,1,1,Michael Schumacher,10
29 APR 2001,15,8,2,Juan Pablo Montoya,6
29 APR 2001,19,19,3,Jacques Villeneuve,4
29 APR 2001,16,18,4,Jarno Trulli,3
29 APR 2001,2,4,5,David Coulthard,2
29 APR 2001,4,7,6,Nick Heidfeld,1
29 APR 2001,7,19,7,Olivier Panis,0
29 APR 2001,6,7,8,Kimi Räikkönen,0
29 APR 2001,17,4,9,Mika Hakkinen,0
29 APR 2001,9,21,10,Jean Alesi,0
29 APR 2001,8,21,11,Luciano Burti,0
29 APR 2001,10,22,12,Jos Verstappen,0
29 APR 2001,12,23,13,Fernando Alonso,0
29 APR 2001,13,24,14,Giancarlo Fisichella,0
29 APR 2001,14,24,15,Jenson Button,0
29 APR 2001,20,23,16,Tarso Marques,0
29 APR 2001,3,1,NC,Rubens Barrichello,0
29 APR 2001,11,20,NC,Eddie Irvine,0
29 APR 2001,18,8,NC,Ralf Schumacher,0
29 APR 2001,21,22,NC,Enrique Bernoldi,0
29 APR 2001,23,20,NC,Pedro de la Rosa,0
29 APR 2001,5,18,NC,Heinz-Harald Frentzen,0
13 MAY 2001,2,4,1,David Coulthard,10
13 MAY 2001,1,1,2,Michael Schumacher,6
