driver_id,position,driver_name,points,url_id
3,1,Michael Schumacher,10,3
4,2,David Coulthard,6,3
5,3,Rubens Barrichello,4,3
6,4,Nick Heidfeld,3,3
7,5,Heinz-Harald Frentzen,2,3
8,6,Kimi Räikkönen,1,3
9,7,Olivier Panis,0,3
10,8,Luciano Burti,0,3
11,9,Jean Alesi,0,3
12,10,Jos Verstappen,0,3
13,11,Eddie Irvine,0,3
14,12,Fernando Alonso,0,3
15,13,Giancarlo Fisichella,0,3
16,14,Jenson Button,0,3
17,NC,Juan Pablo Montoya,0,3
18,NC,Jarno Trulli,0,3
19,NC,Mika Hakkinen,0,3
20,NC,Ralf Schumacher,0,3
21,NC,Jacques Villeneuve,0,3
22,NC,Tarso Marques,0,3
23,NC,Enrique Bernoldi,0,3
24,NC,Gaston Mazzacane,0,3
3,1,Michael Schumacher,10,4
5,2,Rubens Barrichello,6,4
4,3,David Coulthard,4,4
7,4,Heinz-Harald Frentzen,3,4
20,5,Ralf Schumacher,2,4
19,6,Mika Hakkinen,1,4
12,7,Jos Verstappen,0,4
18,8,Jarno Trulli,0,4
11,9,Jean Alesi,0,4
10,10,Luciano Burti,0,4
16,11,Jenson Button,0,4
24,12,Gaston Mazzacane,0,4
14,13,Fernando Alonso,0,4
22,14,Tarso Marques,0,4
15,NC,Giancarlo Fisichella,0,4
21,NC,Jacques Villeneuve,0,4
6,NC,Nick Heidfeld,0,4
23,NC,Enrique Bernoldi,0,4
17,NC,Juan Pablo Montoya,0,4
13,NC,Eddie Irvine,0,4
9,NC,Olivier Panis,0,4
8,NC,Kimi Räikkönen,0,4
4,1,David Coulthard,10,5
3,2,Michael Schumacher,6,5
6,3,Nick Heidfeld,4,5
9,4,Olivier Panis,3,5
18,5,Jarno Trulli,2,5
15,6,Giancarlo Fisichella,1,5
21,7,Jacques Villeneuve,0,5
11,8,Jean Alesi,0,5
22,9,Tarso Marques,0,5
16,10,Jenson Button,0,5
7,11,Heinz-Harald Frentzen,0,5
8,NC,Kimi Räikkönen,0,5
24,NC,Gaston Mazzacane,0,5
20,NC,Ralf Schumacher,0,5
13,NC,Eddie Irvine,0,5
17,NC,Juan Pablo Montoya,0,5
12,NC,Jos Verstappen,0,5
10,NC,Luciano Burti,0,5
14,NC,Fernando Alonso,0,5
23,NC,Enrique Bernoldi,0,5
5,NC,Rubens Barrichello,0,5
19,NC,Mika Hakkinen,0,5
20,1,Ralf Schumacher,10,6
4,2,David Coulthard,6,6
5,3,Rubens Barrichello,4,6
19,4,Mika Hakkinen,3,6
18,5,Jarno Trulli,2,6
7,6,Heinz-Harald Frentzen,1,6
6,7,Nick Heidfeld,0,6
9,8,Olivier Panis,0,6
11,9,Jean Alesi,0,6
23,10,Enrique Bernoldi,0,6
10,11,Luciano Burti,0,6
16,12,Jenson Button,0,6
22,NC,Tarso Marques,0,6
17,NC,Juan Pablo Montoya,0,6
13,NC,Eddie Irvine,0,6
15,NC,Giancarlo Fisichella,0,6
21,NC,Jacques Villeneuve,0,6
24,NC,Gaston Mazzacane,0,6
3,NC,Michael Schumacher,0,6
8,NC,Kimi Räikkönen,0,6
12,NC,Jos Verstappen,0,6
14,NC,Fernando Alonso,0,6
3,1,Michael Schumacher,10,7
17,2,Juan Pablo Montoya,6,7
21,3,Jacques Villeneuve,4,7
18,4,Jarno Trulli,3,7
4,5,David Coulthard,2,7
6,6,Nick Heidfeld,1,7
9,7,Olivier Panis,0,7
8,8,Kimi Räikkönen,0,7
19,9,Mika Hakkinen,0,7
11,10,Jean Alesi,0,7
10,11,Luciano Burti,0,7
12,12,Jos Verstappen,0,7
14,13,Fernando Alonso,0,7
15,14,Giancarlo Fisichella,0,7
16,15,Jenson Button,0,7
22,16,Tarso Marques,0,7
5,NC,Rubens Barrichello,0,7
13,NC,Eddie Irvine,0,7
20,NC,Ralf Schumacher,0,7
23,NC,Enrique Bernoldi,0,7
25,NC,Pedro de la Rosa,0,7
7,NC,Heinz-Harald Frentzen,0,7
4,1,David Coulthard,10,8
3,2,Michael Schumacher,6,8
5,3,Rubens Barrichello,4,8
8,4,Kimi Räikkönen,3,8
9,5,Olivier Panis,2,8
12,6,Jos Verstappen,1,8
13,7,Eddie Irvine,0,8
21,8,Jacques Villeneuve,0,8
6,9,Nick Heidfeld,0,8
11,10,Jean Alesi,0,8
10,11,Luciano Burti,0,8
16,NC,Jenson Button,0,8
25,NC,Pedro de la Rosa,0,8
17,NC,Juan Pablo Montoya,0,8
14,NC,Fernando Alonso,0,8
22,NC,Tarso Marques,0,8
23,NC,Enrique Bernoldi,0,8
20,NC,Ralf Schumacher,0,8
15,NC,Giancarlo Fisichella,0,8
19,NC,Mika Hakkinen,0,8
7,NC,Heinz-Harald Frentzen,0,8
3,1,Michael Schumacher,10,9
5,2,Rubens Barrichello,6,9
13,3,Eddie Irvine,4,9
21,4,Jacques Villeneuve,3,9
4,5,David Coulthard,2,9
11,6,Jean Alesi,1,9
16,7,Jenson Button,0,9
12,8,Jos Verstappen,0,9
23,9,Enrique Bernoldi,0,9
8,10,Kimi Räikkönen,0,9
20,NC,Ralf Schumacher,0,9
22,NC,Tarso Marques,0,9
14,NC,Fernando Alonso,0,9
7,NC,Heinz-Harald Frentzen,0,9
15,NC,Giancarlo Fisichella,0,9
18,NC,Jarno Trulli,0,9
10,NC,Luciano Burti,0,9
25,NC,Pedro de la Rosa,0,9
19,NC,Mika Hakkinen,0,9
9,NC,Olivier Panis,0,9
17,NC,Juan Pablo Montoya,0,9
6,NC,Nick Heidfeld,0,9
20,1,Ralf Schumacher,10,10
3,2,Michael Schumacher,6,10
19,3,Mika Hakkinen,4,10
8,4,Kimi Räikkönen,3,10
11,5,Jean Alesi,2,10
25,6,Pedro de la Rosa,1,10
26,7,Ricardo Zonta,0,10
10,8,Luciano Burti,0,10
22,9,Tarso Marques,0,10
12,10,Jos Verstappen,0,10
18,11,Jarno Trulli,0,10
4,NC,David Coulthard,0,10
9,NC,Olivier Panis,0,10
21,NC,Jacques Villeneuve,0,10
23,NC,Enrique Bernoldi,0,10
17,NC,Juan Pablo Montoya,0,10
5,NC,Rubens Barrichello,0,10
16,NC,Jenson Button,0,10
14,NC,Fernando Alonso,0,10
6,NC,Nick Heidfeld,0,10
13,NC,Eddie Irvine,0,10
15,NC,Giancarlo Fisichella,0,10
3,1,Michael Schumacher,10,11
17,2,Juan Pablo Montoya,6,11
4,3,David Coulthard,4,11
20,4,Ralf Schumacher,3,11
5,5,Rubens Barrichello,2,11
19,6,Mika Hakkinen,1,11
13,7,Eddie Irvine,0,11
25,8,Pedro de la Rosa,0,11
21,9,Jacques Villeneuve,0,11
8,10,Kimi Räikkönen,0,11
15,11,Giancarlo Fisichella,0,11
10,12,Luciano Burti,0,11
16,13,Jenson Button,0,11
14,14,Fernando Alonso,0,11
11,15,Jean Alesi,0,11
12,NC,Jos Verstappen,0,11
6,NC,Nick Heidfeld,0,11
7,NC,Heinz-Harald Frentzen,0,11
18,NC,Jarno Trulli,0,11
23,NC,Enrique Bernoldi,0,11
9,NC,Olivier Panis,0,11
22,NC,Tarso Marques,0,11
3,1,Michael Schumacher,10,12
20,2,Ralf Schumacher,6,12
5,3,Rubens Barrichello,4,12
4,4,David Coulthard,3,12
18,5,Jarno Trulli,2,12
6,6,Nick Heidfeld,1,12
8,7,Kimi Räikkönen,0,12
7,8,Heinz-Harald Frentzen,0,12
9,9,Olivier Panis,0,12
10,10,Luciano Burti,0,12
15,11,Giancarlo Fisichella,0,12
11,12,Jean Alesi,0,12
12,13,Jos Verstappen,0,12
25,14,Pedro de la Rosa,0,12
22,15,Tarso Marques,0,12
16,16,Jenson Button,0,12
14,17,Fernando Alonso,0,12
13,NC,Eddie Irvine,0,12
17,NC,Juan Pablo Montoya,0,12
23,NC,Enrique Bernoldi,0,12
21,NC,Jacques Villeneuve,0,12
19,NC,Mika Hakkinen,0,12
19,1,Mika Hakkinen,10,13
3,2,Michael Schumacher,6,13
5,3,Rubens Barrichello,4,13
17,4,Juan Pablo Montoya,3,13
8,5,Kimi Räikkönen,2,13
6,6,Nick Heidfeld,1,13
7,7,Heinz-Harald Frentzen,0,13
21,8,Jacques Villeneuve,0,13
13,9,Eddie Irvine,0,13
12,10,Jos Verstappen,0,13
11,11,Jean Alesi,0,13
25,12,Pedro de la Rosa,0,13
15,13,Giancarlo Fisichella,0,13
23,14,Enrique Bernoldi,0,13
16,15,Jenson Button,0,13
14,16,Fernando Alonso,0,13
20,NC,Ralf Schumacher,0,13
10,NC,Luciano Burti,0,13
4,NC,David Coulthard,0,13
18,NC,Jarno Trulli,0,13
9,NC,Olivier Panis,0,13
20,1,Ralf Schumacher,10,14
5,2,Rubens Barrichello,6,14
21,3,Jacques Villeneuve,4,14
15,4,Giancarlo Fisichella,3,14
16,5,Jenson Button,2,14
11,6,Jean Alesi,1,14
9,7,Olivier Panis,0,14
23,8,Enrique Bernoldi,0,14
12,9,Jos Verstappen,0,14
14,10,Fernando Alonso,0,14
18,NC,Jarno Trulli,0,14
4,NC,David Coulthard,0,14
22,NC,Tarso Marques,0,14
17,NC,Juan Pablo Montoya,0,14
3,NC,Michael Schumacher,0,14
10,NC,Luciano Burti,0,14
8,NC,Kimi Räikkönen,0,14
13,NC,Eddie Irvine,0,14
