race_id,driver_id,team_id,start_position
1,57,22,1
1,6,1,2
1,60,1,3
1,94,14,4
1,87,28,5
1,67,28,6
1,70,13,7
1,79,14,8
1,93,13,9
1,12,2,10
1,100,2,11
1,75,20,12
1,103,11,13
1,101,20,14
1,83,22,15
1,105,16,16
1,89,3,17
1,106,3,18
1,107,11,19
1,104,16,20
2,60,1,1
2,6,1,2
2,83,22,3
2,79,14,4
2,104,16,5
2,87,28,6
2,70,13,7
2,101,20,8
2,57,22,9
2,93,13,10
2,105,16,11
2,75,20,12
2,12,2,13
2,100,2,14
2,94,14,15
2,67,28,16
2,89,3,17
2,107,11,18
2,106,3,19
2,103,11,20
3,60,1,1
3,6,1,2
3,83,22,3
3,57,22,4
3,94,14,5
3,79,14,6
3,70,13,7
3,75,20,8
3,93,13,9
3,67,28,10
3,87,28,11
3,101,20,12
3,12,2,13
3,100,2,14
3,105,16,15
3,107,11,16
3,104,16,17
3,103,11,18
3,106,3,19
3,89,3,20
4,60,1,1
4,57,22,2
4,83,22,3
4,79,14,4
4,94,14,5
4,6,1,6
4,101,20,7
4,75,20,8
4,93,13,9
4,103,11,10
4,107,11,11
4,12,2,12
4,106,3,13
4,70,13,14
4,87,28,15
4,100,2,16
4,104,16,17
4,89,3,18
4,105,16,19
4,67,28,20
5,57,22,1
5,83,22,2
5,60,1,3
5,6,1,4
5,94,14,5
5,79,14,6
5,87,28,7
5,12,2,8
5,93,13,9
5,67,28,10
5,100,2,11
5,104,16,12
5,101,20,13
5,106,3,14
5,75,20,15
5,70,13,16
5,89,3,17
5,103,11,18
5,107,11,19
5,105,16,20
6,79,14,1
6,60,1,2
6,57,22,3
6,6,1,4
6,83,22,5
6,101,20,6
6,12,2,7
6,93,13,8
6,75,20,9
6,104,16,10
6,70,13,11
6,100,2,12
6,107,11,13
6,106,3,14
6,105,16,15
6,89,3,16
6,103,11,17
6,67,28,18
6,87,28,19
6,94,14,20
7,60,1,1
7,83,22,2
7,94,14,3
7,57,22,4
7,6,1,5
7,79,14,6
7,70,13,7
7,101,20,8
7,93,13,9
7,75,20,10
7,87,28,11
7,105,16,12
7,106,3,13
7,12,2,14
7,100,2,15
7,103,11,16
7,107,11,17
7,89,3,18
7,104,16,19
7,67,28,20
8,57,22,1
8,83,22,2
8,60,1,3
8,94,14,4
8,79,14,5
8,6,1,6
8,93,13,7
8,106,3,8
8,87,28,9
8,67,28,10
8,101,20,11
8,70,13,12
8,75,20,13
8,104,16,14
8,89,3,15
8,12,2,16
8,100,2,17
8,107,11,18
8,103,11,19
8,105,16,20
9,83,22,1
9,57,22,2
9,6,1,3
9,94,14,4
9,67,28,5
9,60,1,6
9,79,14,7
9,87,28,8
9,93,13,9
9,70,13,10
9,101,20,11
9,104,16,12
9,103,11,13
9,100,2,14
9,75,20,15
9,107,11,16
9,106,3,17
9,89,3,18
9,105,16,19
9,12,2,20
10,57,22,1
10,60,1,2
10,6,1,3
10,83,22,4
10,94,14,5
10,79,14,6
10,87,28,7
10,67,28,8
10,106,3,9
10,101,20,10
10,70,13,11
10,75,20,12
10,12,2,13
10,104,16,14
10,89,3,15
10,93,13,16
10,100,2,17
11,60,1,1
11,83,22,2
11,6,1,3
11,94,14,4
11,87,28,5
11,67,28,6
11,70,13,7
11,93,13,8
11,106,3,9
11,75,20,10
11,12,2,11
11,107,11,12
11,89,3,13
11,57,22,14
11,101,20,15
11,105,16,16
11,103,11,17
11,100,2,18
11,79,14,19
11,104,16,20
12,57,22,1
12,83,22,2
12,6,1,3
12,60,1,4
12,93,13,5
12,104,16,6
12,94,14,7
12,105,16,8
12,87,28,9
12,67,28,10
12,12,2,11
12,79,14,12
12,70,13,13
12,89,3,14
12,100,2,15
12,106,3,16
12,101,20,17
12,75,20,18
12,107,11,19
12,103,11,20
13,57,22,1
13,60,1,2
13,101,20,3
13,75,20,4
13,67,28,5
13,6,1,6
13,94,14,7
13,79,14,8
13,87,28,9
13,104,16,10
13,105,16,11
13,106,3,12
13,89,3,13
13,12,2,14
13,107,11,15
13,103,11,16
13,83,22,17
13,70,13,18
13,93,13,19
13,100,2,20
14,6,1,1
14,60,1,2
14,57,22,3
14,83,22,4
14,94,14,5
14,67,28,6
14,93,13,7
14,101,20,8
14,104,16,9
14,103,11,10
14,87,28,11
14,107,11,12
14,12,2,13
14,75,20,14
14,106,3,15
14,105,16,16
14,100,2,17
14,89,3,18
14,79,14,19
14,70,13,20
15,57,22,1
15,94,14,2
15,60,1,3
15,83,22,4
15,6,1,5
15,79,14,6
15,75,20,7
15,67,28,8
15,101,20,9
15,70,13,10
15,12,2,11
15,93,13,12
15,106,3,13
15,89,3,14
15,104,16,15
15,87,28,16
15,105,16,17
15,100,2,18
15,107,11,19
15,103,11,20
16,83,22,1
16,57,22,2
16,60,1,3
16,6,1,4
16,87,28,5
16,101,20,6
16,106,3,7
16,75,20,8
16,67,28,9
16,89,3,10
16,93,13,11
16,70,13,12
16,107,11,13
16,103,11,14
16,100,2,15
16,12,2,16
16,104,16,17
16,79,14,18
16,94,14,19
16,105,16,20
17,57,22,1
17,83,22,2
17,94,14,3
17,6,1,4
17,67,28,5
17,105,16,6
17,104,16,7
17,60,1,8
17,75,20,9
17,106,3,10
17,101,20,11
17,87,28,12
17,93,13,13
17,103,11,14
17,79,14,15
17,70,13,16
17,107,11,17
17,12,2,18
17,100,2,19
17,89,3,20
18,57,22,1
18,6,1,2
18,83,22,3
18,79,14,4
18,60,1,5
18,101,20,6
18,70,13,7
18,67,28,8
18,106,3,9
18,75,20,10
18,93,13,11
18,87,28,12
18,12,2,13
18,107,11,14
18,103,11,15
18,89,3,16
18,100,2,17
18,94,14,18
18,104,16,19
18,105,16,20
19,79,14,1
19,94,14,2
19,57,22,3
19,60,1,4
19,83,22,5
19,6,1,6
19,70,13,7
19,93,13,8
19,106,3,9
19,89,3,10
19,101,20,11
19,12,2,12
19,75,20,13
19,105,16,14
19,100,2,15
19,87,28,16
19,103,11,17
19,67,28,18
19,107,11,19
19,104,16,20
20,57,22,1
20,60,1,2
20,83,22,3
20,6,1,4
20,94,14,5
20,89,3,6
20,106,3,7
20,67,28,8
20,104,16,9
20,87,28,10
20,79,14,11
20,75,20,12
20,70,13,13
20,107,11,14
20,93,13,15
20,105,16,16
20,12,2,17
20,101,20,18
20,103,11,19
20,100,2,20
21,57,22,1
21,83,22,2
21,60,1,3
21,6,1,4
21,79,14,5
21,94,14,6
21,67,28,7
21,106,3,8
21,101,20,9
21,70,13,10
21,93,13,11
21,89,3,12
21,87,28,13
21,75,20,14
21,12,2,15
21,105,16,16
21,104,16,17
21,100,2,18
21,107,11,19
21,103,11,20
22,57,22,1
22,83,22,2
22,60,1,3
22,94,14,4
22,106,1,5
22,67,28,6
22,87,28,7
22,108,2,8
22,6,30,9
22,75,31,10
22,70,13,11
22,79,13,12
22,109,16,13
22,102,30,14
22,88,16,15
22,103,31,16
22,104,14,17
22,93,2,18
22,110,11,19
22,56,11,20
23,106,1,1
23,60,1,2
23,57,22,3
23,83,22,4
23,94,14,5
23,87,28,6
23,93,2,7
23,6,30,8
23,108,2,9
23,79,13,10
23,67,28,11
23,109,16,12
23,104,14,13
23,75,31,14
23,88,16,15
23,102,30,16
23,70,13,17
23,103,31,18
23,110,11,19
23,56,11,20
24,83,22,1
24,57,22,2
24,60,1,3
24,106,1,4
24,94,14,5
24,104,14,6
24,79,13,7
24,70,13,8
24,87,28,9
24,67,28,10
24,88,16,11
24,75,31,12
24,6,30,13
24,93,2,14
24,108,2,15
24,103,31,16
24,110,11,17
24,56,11,18
24,102,30,19
24,109,16,20
25,83,22,1
25,57,22,2
25,60,1,3
25,94,14,4
25,75,31,5
25,88,16,6
25,108,2,7
25,106,1,8
25,93,2,9
25,79,13,10
25,109,16,11
25,87,28,12
25,103,31,13
25,67,28,14
25,70,13,15
25,110,11,16
25,102,30,17
25,56,11,18
25,6,30,19
25,104,14,20
26,83,22,1
26,57,22,2
26,60,1,3
26,94,14,4
26,106,1,5
26,104,14,6
26,67,28,7
26,87,28,8
26,88,16,9
26,108,2,10
26,109,16,11
26,93,2,12
26,79,13,13
26,6,30,14
26,75,31,15
26,103,31,16
26,56,11,17
26,102,30,18
26,110,11,19
26,70,13,20
27,57,22,1
27,83,22,2
27,94,14,3
27,60,1,4
27,87,28,5
27,79,13,6
27,88,16,7
27,104,14,8
27,93,2,9
27,109,16,10
27,70,13,11
27,108,2,12
27,67,28,13
27,6,30,14
27,106,1,15
27,75,31,16
27,103,31,17
27,102,30,18
27,110,11,19
27,56,11,20
28,60,1,1
28,57,22,2
28,106,1,3
28,79,13,4
28,104,14,5
28,83,22,6
28,70,13,7
28,108,2,8
28,94,14,9
28,88,16,10
28,93,2,11
28,102,30,12
28,109,16,13
28,67,28,14
28,75,31,15
28,6,30,16
28,103,31,17
28,110,11,18
28,56,11,19
28,87,28,20
29,57,22,1
29,83,22,2
29,106,1,3
29,94,14,4
29,108,2,5
29,93,2,6
29,60,1,7
29,79,13,8
29,104,14,9
29,102,30,10
29,109,16,11
29,6,30,12
29,70,13,13
29,75,31,14
29,87,28,15
29,67,28,16
29,103,31,17
29,56,11,18
29,88,16,19
29,110,11,20
30,106,1,1
30,94,14,2
30,83,22,3
30,57,22,4
30,108,2,5
30,6,30,6
30,102,30,7
30,104,14,8
30,60,1,9
30,87,28,10
30,67,28,11
30,79,13,12
30,75,31,13
30,103,31,14
30,70,13,15
30,88,16,16
30,56,11,17
30,109,16,18
30,93,2,19
30,110,11,20
31,83,22,1
31,57,22,2
31,106,1,3
31,94,14,4
31,104,14,5
31,60,1,6
31,79,13,7
31,108,2,8
31,109,16,9
31,70,13,10
31,102,30,11
31,6,30,12
31,93,2,13
31,67,28,14
31,75,31,15
31,87,28,16
31,88,16,17
31,103,31,18
31,110,11,19
31,56,11,20
32,57,22,1
32,94,14,2
32,83,22,3
32,104,14,4
32,6,30,5
32,67,28,6
32,93,2,7
32,75,31,8
32,70,13,9
32,106,1,10
32,102,30,11
32,87,28,12
32,79,13,13
32,88,16,14
32,103,31,15
32,109,16,16
32,110,11,17
32,56,11,18
32,108,2,19
32,60,1,20
33,94,14,1
33,83,22,2
33,57,22,3
33,106,1,4
33,60,1,5
33,104,14,6
33,108,2,7
33,93,2,8
33,67,28,9
33,6,30,10
33,70,13,11
33,109,16,12
33,88,16,13
33,87,28,14
33,110,11,15
33,75,31,16
33,102,30,17
33,103,31,18
33,56,11,19
33,79,13,20
34,106,1,1
34,60,1,2
34,57,22,3
34,83,22,4
34,94,14,5
34,6,30,6
34,75,31,7
34,87,28,8
34,67,28,9
34,79,13,10
34,108,2,11
34,70,13,12
34,104,16,13
34,110,11,14
34,93,2,15
34,103,31,16
34,109,14,17
34,102,30,18
34,88,16,19
34,56,11,20
35,106,1,1
35,57,22,2
35,83,22,3
35,60,1,4
35,79,13,5
35,70,13,6
35,93,2,7
35,109,14,8
35,103,31,9
35,102,30,10
35,87,28,11
35,88,16,12
35,67,28,13
35,110,11,14
35,56,11,15
35,108,2,16
35,104,16,17
35,75,31,18
35,94,14,19
35,6,30,20
36,106,1,1
36,57,22,2
36,60,1,3
36,94,14,4
36,83,22,5
36,109,14,6
36,93,2,7
36,70,13,8
36,108,2,9
36,102,30,10
36,104,16,11
36,6,30,12
36,87,28,13
36,88,16,14
36,75,31,15
36,103,31,16
36,67,28,17
36,110,11,18
36,56,11,19
36,79,13,20
37,106,1,1
37,57,22,2
37,60,1,3
37,83,22,4
37,93,2,5
37,70,13,6
37,108,2,7
37,67,28,8
37,94,14,9
37,79,13,10
37,75,31,11
37,102,30,12
37,87,28,13
37,103,31,14
37,6,30,15
37,104,16,16
37,110,11,17
37,56,11,18
37,88,16,19
37,109,14,20
38,60,1,1
38,106,1,2
38,83,22,3
38,57,22,4
38,94,14,5
38,109,14,6
38,93,2,7
38,108,2,8
38,104,16,9
38,67,28,10
38,102,30,11
38,103,31,12
38,6,30,13
38,88,16,14
38,70,13,15
38,79,13,16
38,75,31,17
38,110,11,18
