driverid,driver_name,avg_position,std_position,total_points,avg_points,std_points,CLAS_rate,NC_rate,DQ_rate
1,Michael Schumacher,7.0,6.85,888.0,5.45,4.24,0.84,0.16,0.0
2,David Coulthard,10.21,6.04,241.0,1.72,2.44,0.72,0.28,0.0
3,Rubens Barrichello,9.15,6.01,519.0,2.68,3.3,0.84,0.16,0.0
4,Nick Heidfeld,10.19,5.22,259.0,1.55,2.45,0.79,0.21,0.0
5,Heinz-Harald Frentzen,12.6,5.28,21.0,0.5,1.27,0.6,0.4,0.0
6,Kimi Räikkönen,7.77,6.26,1565.0,5.75,5.61,0.79,0.21,0.0
7,Olivier Panis,12.85,4.73,20.0,0.3,0.86,0.58,0.42,0.0
8,Luciano Burti,13.15,4.28,0.0,0.0,0.0,0.62,0.38,0.0
9,Jean Alesi,9.59,4.06,5.0,0.29,0.59,0.94,0.06,0.0
10,Jos Verstappen,13.12,3.61,1.0,0.03,0.17,0.67,0.33,0.0
11,Eddie Irvine,13.06,5.74,14.0,0.42,1.12,0.39,0.61,0.0
12,Fernando Alonso,7.86,6.24,1849.0,6.33,6.65,0.82,0.18,0.0
13,Giancarlo Fisichella,10.99,5.54,208.0,1.34,2.3,0.74,0.26,0.0
14,Jenson Button,9.53,5.95,1223.0,4.22,6.07,0.8,0.2,0.0
15,Juan Pablo Montoya,8.27,6.48,307.0,3.34,3.31,0.67,0.33,0.0
16,Jarno Trulli,12.03,6.05,229.5,1.2,2.04,0.7,0.3,0.0
17,Mika Hakkinen,10.59,8.04,37.0,2.18,3.24,0.59,0.41,0.0
18,Ralf Schumacher,9.36,5.91,243.0,2.15,2.79,0.74,0.26,0.0
19,Jacques Villeneuve,11.7,4.67,38.0,0.46,1.12,0.65,0.35,0.0
20,Tarso Marques,14.38,3.71,0.0,0.0,0.0,0.46,0.54,0.0
21,Enrique Bernoldi,15.7,4.15,0.0,0.0,0.0,0.33,0.67,0.0
22,Gaston Mazzacane,16.25,4.65,0.0,0.0,0.0,0.25,0.75,0.0
23,Pedro de la Rosa,15.34,5.72,32.0,0.44,1.41,0.62,0.38,0.0
24,Ricardo Zonta,14.38,4.78,0.0,0.0,0.0,0.5,0.5,0.0
25,Tomas Enge,15.0,3.61,0.0,0.0,0.0,0.67,0.33,0.0
26,Alex Yoong,15.0,3.55,0.0,0.0,0.0,0.43,0.57,0.0
27,Mark Webber,9.75,6.42,1047.5,4.85,6.81,0.74,0.26,0.0
